sentence,words,tip,translation_en
"Was sind Sie von Beruf?","Was|sind|Sie|von|Beruf|?","'von Beruf' is the standard phrase for asking someone's job.","What is your profession? (formal)"
"Was bist du von Beruf?","Was|bist|du|von|Beruf|?","Informal way to ask for a profession.","What is your profession? (informal)"
"Ich bin Pilot von Beruf.","Ich|bin|Pilot|von|Beruf|.","State your profession without 'ein/eine'.","I am a pilot by profession."
"Er arbeitet als Architekt.","Er|arbeitet|als|Architekt|.","Use 'als' (as) when stating your job role.","He works as an architect."
"Sie arbeitet als Köchin.","Sie|arbeitet|als|Köchin|.","Feminine professions usually end in '-in'.","She works as a cook."
"Der Chef ist heute nicht da.","Der|Chef|ist|heute|nicht|da|.","'Chef' means boss, not cook!","The boss is not here today."
"Wir haben ein Meeting mit dem Chef.","Wir|haben|ein|Meeting|mit|dem|Chef|.","'mit' requires the dative case (dem Chef).","We have a meeting with the boss."
"Mein neuer Kollege ist sehr nett.","Mein|neuer|Kollege|ist|sehr|nett|.","'Kollege' is a weak masculine noun.","My new colleague is very nice."
"Die Kolleginnen arbeiten gut zusammen.","Die|Kolleginnen|arbeiten|gut|zusammen|.","Plural feminine form of colleague.","The female colleagues work well together."
"Wo ist dein Arbeitsplatz?","Wo|ist|dein|Arbeitsplatz|?","'Arbeitsplatz' means workplace or desk.","Where is your workplace?"
"Ich mache ein Praktikum in Berlin.","Ich|mache|ein|Praktikum|in|Berlin|.","'Praktikum' is neutral.","I am doing an internship in Berlin."
"Der Praktikant lernt hier sehr viel.","Der|Praktikant|lernt|hier|sehr|viel|.","'Praktikant' is a weak noun.","The intern learns a lot here."
"Sie sucht eine Ausbildung.","Sie|sucht|eine|Ausbildung|.","'Ausbildung' means vocational training/apprenticeship.","She is looking for an apprenticeship."
"Er macht eine Ausbildung zum Koch.","Er|macht|eine|Ausbildung|zum|Koch|.","'zum' (zu dem) is used for the target profession.","He is doing an apprenticeship to become a cook."
"Wann hast du heute Feierabend?","Wann|hast|du|heute|Feierabend|?","'Feierabend' is the end of the working day.","When do you get off work today?"
"Ich habe um fünf Uhr Feierabend.","Ich|habe|um|fünf|Uhr|Feierabend|.","Time expression with 'um'.","I get off work at five o'clock."
"Wir wünschen einen schönen Feierabend!","Wir|wünschen|einen|schönen|Feierabend|!","Common phrase when leaving the office.","We wish you a nice evening after work!"
"Ich arbeite in einer großen Firma.","Ich|arbeite|in|einer|großen|Firma|.","Dative feminine (in einer Firma) for location.","I work in a big company."
"Das Gehalt ist hier sehr gut.","Das|Gehalt|ist|hier|sehr|gut|.","'Gehalt' means salary.","The salary is very good here."
"Mein Job ist leider manchmal stressig.","Mein|Job|ist|leider|manchmal|stressig|.","'stressig' means stressful.","My job is unfortunately sometimes stressful."
"Bist du mit dem Job zufrieden?","Bist|du|mit|dem|Job|zufrieden|?","'zufrieden mit' means satisfied with.","Are you satisfied with the job?"
"Der Arzt untersucht den Patienten.","Der|Arzt|untersucht|den|Patienten|.","'Arzt' is masculine.","The doctor examines the patient."
