test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich null im Bett bleiben.","soll","sollen","should (I)","I should stay in bed.","Modal verb 'sollen': The 1st person singular has no ending (ich soll)."
"Was null du heute tun?","sollst","sollen","should (you)","What are you supposed to do today?","Modal verb 'sollen': The 'du' form adds '-st' (du sollst)."
"Der Patient null viel Wasser trinken.","soll","sollen","should (he)","The patient should drink a lot of water.","Modal verbs: The 3rd person singular (er/sie/es) is identical to the 'ich' form (er soll)."
"Wir null die Vokabeln lernen.","sollen","sollen","should (we)","We should learn the vocabulary.","Modal verbs: The 'wir' form is identical to the infinitive (wir sollen)."
"null ihr das Zimmer aufräumen?","Sollt","sollen","should (you pl.)","Are you guys supposed to tidy the room?","Modal verbs: The 'ihr' form uses the original stem + 't' (ihr sollt)."
"Die Kinder null sofort schlafen.","sollen","sollen","should (they)","The children should sleep immediately.","Modal verbs: The 'sie' (plural) form is identical to the infinitive."
"Ich null heute fernsehen.","darf","dürfen","may / allowed to (I)","I am allowed to watch TV today.","Modal verb 'dürfen': The vowel changes from 'ü' to 'a'. No ending for 'ich' (ich darf)."
"null du Schokolade essen?","Darfst","dürfen","may (you)","Are you allowed to eat chocolate?","Modal verb 'dürfen': Vowel changes to 'a' and adds '-st' (du darfst)."
"Er null hier nicht rauchen.","darf","dürfen","may (he)","He is not allowed to smoke here.","Modal verbs: 3rd person singular is identical to the 'ich' form (er darf)."
"Wir null auf dem Platz spielen.","dürfen","dürfen","may (we)","We are allowed to play on the square.","Modal verbs: The 'wir' form keeps the 'ü' and is identical to the infinitive."
"null ihr ins Kino gehen?","Dürft","dürfen","may (you pl.)","Are you guys allowed to go to the cinema?","Modal verb 'dürfen': The 'ihr' form keeps the 'ü' and adds '-t' (ihr dürft)."
"Sie null das nicht tun!","dürfen","dürfen","may (formal)","You may not do that!","Modal verb 'dürfen': Formal 'Sie' is identical to the infinitive."
"Du sollst eine Tablette null.","nehmen","nehmen","to take","You should take a pill.","Word Order: A modal verb (sollst) pushes the main verb (nehmen) to the very end of the sentence."
"Darf ich das Fenster null?","aufmachen","aufmachen","to open","May I open the window?","Word Order: Separable verbs (aufmachen) DO NOT split when used with a modal verb. The whole infinitive goes to the end."
"Soll ich die Augen null?","zumachen","zumachen","to close","Should I close my eyes?","Word Order: Separable verb (zumachen) stays whole at the end with a modal verb."
"Mein Kopf null weh.","tut","wehtun","to hurt","My head hurts.","'Kopf' is a singular subject, so the verb is 'tut' (3rd person singular)."
"Meine Ohren null weh.","tun","wehtun","to hurt","My ears hurt.","'Ohren' is a plural subject, so the verb is 'tun' (3rd person plural)."
"Der Arm null weh.","tut","wehtun","to hurt","The arm hurts.","'Arm' is singular -> 'tut'."
"Die Beine null weh.","tun","wehtun","to hurt","The legs hurt.","'Beine' is plural -> 'tun'."
"Mein Bauch tut sehr null.","weh","wehtun","to hurt","My stomach hurts a lot.","Separable verb 'wehtun'. The prefix 'weh' goes to the very end of the sentence."
"Tun deine Augen null?","weh","wehtun","to hurt","Do your eyes hurt?","Prefix 'weh' at the end of the question."
"Meine Hand tut heute null.","weh","wehtun","to hurt","My hand hurts today.","Prefix 'weh' goes to the end."
"null Sie tief ein!","Atmen","einatmen","to breathe in","Breathe in deeply!","Formal imperative of a separable verb. Verb in position 1, prefix at the end."
"Atmen Sie langsam null!","aus","ausatmen","to breathe out","Breathe out slowly!","Separable verb 'ausatmen'. Prefix 'aus' goes to the end in the imperative."
"null Sie den Mund auf!","Machen","aufmachen","to open","Open your mouth!","Formal imperative. Verb in position 1."
"Machen Sie die Augen null!","zu","zumachen","to close","Close your eyes!","Separable verb 'zumachen'. Prefix 'zu' goes to the end."
"null Sie diese Tabletten!","Nehmen","nehmen","to take","Take these pills!","Formal imperative. Infinitive verb + Sie."
"null Sie im Bett!","Bleiben","bleiben","to stay","Stay in bed!","Formal imperative."
"null du einen Husten?","Hast","haben","to have","Do you have a cough?","'Husten' is treated as a noun (masculine accusative) with 'haben'."
"Ich brauche Tabletten null den Husten.","gegen","gegen","against / for","I need pills for the cough.","The preposition 'gegen' ALWAYS takes the Accusative case."
"Ein Tee null Bauchschmerzen.","gegen","gegen","against / for","A tea for stomachaches.","'gegen' + Accusative."
"Wir spielen null dieses Team.","gegen","gegen","against","We are playing against this team.","'gegen' + Accusative."
