text,question,answer,distractor1,distractor2,distractor3,translation,tip
Guten Tag, ich möchte bitte ein Doppelzimmer buchen.	Was möchte die Person buchen?	Ein Doppelzimmer	Ein Einzelzimmer	Eine Suite	Ein Appartement	Good afternoon, I would like to book a double room, please.	'Doppelzimmer' means double room.
Haben Sie ein Zimmer mit Meerblick frei?	Was für ein Zimmer möchte der Gast?	Mit Meerblick	Mit Balkon	Mit Terrasse	Ohne Fenster	Do you have a room with a sea view available?	'Meerblick' means sea view.
Wie viel kostet eine Übernachtung im Einzelzimmer?	Wonach fragt der Gast?	Nach dem Preis für eine Übernachtung	Nach dem Frühstück	Nach dem Weg zum Hotel	Nach der Handtuchausgabe	How much does an overnight stay in a single room cost?	'Übernachtung' means overnight stay.
Wir bleiben für drei Übernachtungen in diesem Hotel.	Wie lange bleiben die Gäste?	Drei Übernachtungen	Zwei Übernachtungen	Vier Übernachtungen	Eine Woche	We are staying in this hotel for three nights.	Listen for the number 'drei'.
Ist das Frühstücksbuffet im Preis inklusive?	Was möchte der Gast wissen?	Ob das Frühstücksbuffet inklusive ist.	Ob das Abendessen gut ist.	Wann das Hotel schließt.	Wo das Schwimmbad ist.	Is the breakfast buffet included in the price?	'Frühstücksbuffet' means breakfast buffet.
Entschuldigung, mir fehlt ein Handtuch im Badezimmer.	Was fehlt dem Gast?	Ein Handtuch	Die Seife	Das Toilettenpapier	Der Föhn	Excuse me, I am missing a towel in the bathroom.	'fehlen' means to be missing; 'Handtuch' is towel.
Das Bett in meinem Zimmer ist leider sehr unbequem.	Wie findet der Gast das Bett?	Sehr unbequem	Sehr bequem	Zu klein	Zu groß	The bed in my room is unfortunately very uncomfortable.	'unbequem' is the opposite of 'bequem'.
Der Fernseher ist leider kaputt. Können Sie nachsehen?	Was ist das Problem im Zimmer?	Der Fernseher ist kaputt.	Die Lampe ist kaputt.	Das Fenster ist kaputt.	Die Tür ist kaputt.	The TV is unfortunately broken. Can you check?	'kaputt' means broken.
Das Zimmer ist leider sehr laut. Ich kann nicht schlafen.	Warum kann der Gast nicht schlafen?	Das Zimmer ist sehr laut.	Das Bett ist zu hart.	Es ist zu heiß.	Es ist zu kalt.	The room is unfortunately very loud. I cannot sleep.	'laut' means loud/noisy.
Mir fehlt leider die Seife. Können Sie mir eine bringen?	Was braucht der Gast?	Seife	Ein Handtuch	Ein Glas Wasser	Einen Schlüssel	I am unfortunately missing the soap. Can you bring me one?	'Seife' means soap.
Wie ist das Wetter heute? - Die Sonne scheint den ganzen Tag.	Wie ist das Wetter?	Sonnig (die Sonne scheint)	Regnerisch	Windig	Bewölkt	How is the weather today? - The sun is shining all day.	'Sonne scheint' means the sun is shining.
Im Sommer fahre ich gerne auf eine Insel.	Wohin fährt die Person im Sommer?	Auf eine Insel	In die Berge	In die Stadt	An einen See	In summer I like to go to an island.	'Insel' means island.
Mallorca ist ein sehr berühmter Urlaubsort.	Was ist Mallorca?	Ein berühmter Urlaubsort	Eine große Stadt	Ein kaltes Land	Ein neues Hotel	Mallorca is a very famous vacation resort.	'Urlaubsort' means vacation resort.
Im Winter schneit es oft in Südtirol.	Was passiert im Winter in Südtirol?	Es schneit.	Es regnet.	Es ist sehr heiß.	Die Sonne scheint immer.	In winter it often snows in South Tyrol.	'schneien' means to snow.
Der Frühling ist meine liebste Jahreszeit.	Was ist die Lieblingsjahreszeit der Person?	Der Frühling	Der Sommer	Der Herbst	Der Winter	Spring is my favorite season.	'Frühling' is spring.
Im Herbst fallen die Blätter. Das Wetter ist oft windig.	Wie ist das Wetter oft im Herbst?	Windig	Sehr heiß	Kalt und sonnig	Nur regnerisch	In autumn the leaves fall. The weather is often windy.	'Herbst' is autumn/fall.
Das Wetter ist heute kühl und stark bewölkt.	Wie ist das Wetter heute?	Kühl und bewölkt	Heiß und sonnig	Warm und windig	Kühl und sonnig	The weather today is cool and heavily clouded.	'kühl' means cool, 'bewölkt' means cloudy.
Morgen wird das Wetter besser. Es wird wärmer.	Wie wird das Wetter morgen?	Besser und wärmer	Schlechter und kälter	Es regnet.	Es schneit.	Tomorrow the weather will get better. It will get warmer.	'besser' means better.
Wir verbringen den Urlaub dieses Jahr am Meer.	Wo verbringen sie den Urlaub?	Am Meer	In den Bergen	Zu Hause	In der Stadt	We are spending our vacation by the sea this year.	'am Meer' means by the sea.
Mein Lieblingsort ist der Strand in Holland.	Was ist der Lieblingsort der Person?	Der Strand in Holland	Die Berge in der Schweiz	Der See in Österreich	Die Insel Mallorca	My favorite place is the beach in Holland.	'Lieblingsort' means favorite place.
Die Anfahrt zum Hotel dauert exakt zwei Stunden.	Wie lange dauert die Anfahrt?	Exakt zwei Stunden	Drei Stunden	Eine Stunde	Vier Stunden	The journey to the hotel takes exactly two hours.	'Anfahrt' means journey/getting there.
Das Hotel liegt direkt am Strand. Die Lage ist spektakulär.	Wo liegt das Hotel?	Direkt am Strand	In der Innenstadt	Im Wald	Neben dem Flughafen	The hotel is located right on the beach. The location is spectacular.	'direkt am Strand' means right on the beach.
Ich trinke Kaffee auf der Terrasse und entspanne mich.	Was macht die Person auf der Terrasse?	Kaffee trinken und entspannen	Arbeiten	Ein Buch lesen	Sport machen	I drink coffee on the terrace and relax.	'entspannen' means to relax.
Der Urlaub dauert bis zu drei Wochen.	Wie lange dauert der Urlaub maximal?	Bis zu drei Wochen	Zwei Wochen	Vier Wochen	Eine Woche	The vacation lasts up to three weeks.	'bis zu' means up to.
Ich reise oft ganz allein. Das macht mir Spaß.	Wie reist die Person?	Ganz allein	Mit Freunden	Mit der Familie	Mit Kollegen	I often travel completely alone. That is fun for me.	'allein' means alone.
Erwachsene zahlen 50 Euro, Kinder zahlen die Hälfte.	Wer zahlt 50 Euro?	Erwachsene	Kinder	Senioren	Babys	Adults pay 50 euros, children pay half.	'Erwachsene' means adults.
Das ist ein perfektes Wetter für unseren Campingurlaub.	Für welchen Urlaub ist das Wetter perfekt?	Campingurlaub	Winterurlaub	Städtetrip	Strandurlaub	This is perfect weather for our camping holiday.	'Campingurlaub' means camping holiday.
Wir wohnen in einer kleinen Pension am See.	Wo übernachten sie?	In einer Pension am See	In einem Luxushotel	In einem Zelt	In einer Jugendherberge	We are staying in a small guesthouse by the lake.	'Pension' is a guesthouse.
Die Jugendherberge ist sehr günstig für junge Leute.	Wie ist die Jugendherberge?	Sehr günstig	Sehr teuer	Sehr laut	Sehr luxuriös	The youth hostel is very cheap for young people.	'Jugendherberge' means youth hostel.
Im Sommer ist es oft extrem heiß, fast 35 Grad.	Wie ist es im Sommer oft?	Extrem heiß	Sehr kühl	Immer regnerisch	Windig und kalt	In summer it is often extremely hot, almost 35 degrees.	'heiß' means hot.
Belgien ist ein Nachbarland von Deutschland.	Was ist Belgien?	Ein Nachbarland von Deutschland	Eine Stadt in Frankreich	Ein Meer	Ein Fluss	Belgium is a neighboring country of Germany.	Listen to the country name 'Belgien'.
Der Hotelier ist sehr freundlich und hilft den Gästen.	Wer ist sehr freundlich?	Der Hotelier	Der Koch	Der Kellner	Der Pilot	The hotelier is very friendly and helps the guests.	'Hotelier' is the hotel manager/owner.
Haben Sie unser Appartement schon gebucht?	Was fragt die Person?	Ob das Appartement gebucht ist.	Wie teuer das Appartement ist.	Wo das Appartement liegt.	Wie groß das Appartement ist.	Have you already booked our apartment?	'buchen' means to book.
Ich schaue im Online-Wörterbuch nach, was das Wort bedeutet.	Wo schaut die Person nach?	Im Online-Wörterbuch	Im Stadtplan	In der Zeitung	Im Reiseführer	I am looking up what the word means in the online dictionary.	'Online-Wörterbuch' is online dictionary.
Das ist ein sehr berühmter Film über eine Reise.	Worüber ist der berühmte Film?	Über eine Reise	Über Tiere	Über eine Schule	Über das Wetter	That is a very famous movie about a journey.	'berühmt' means famous.
Er ist ein Geschäftsmann und reist jede Woche.	Was macht der Geschäftsmann oft?	Er reist jede Woche.	Er kocht gern.	Er bleibt immer zu Hause.	Er liest Bücher.	He is a businessman and travels every week.	'Geschäftsmann' is businessman.
