sentence,words,tip,translation_en
"Wie spät ist es?","Wie|spät|ist|es|?","Standard question for asking the time.","What time is it?"
"Es ist genau acht Uhr.","Es|ist|genau|acht|Uhr|.","'genau' means exactly.","It is exactly eight o'clock."
"Es ist kurz nach acht.","Es|ist|kurz|nach|acht|.","'kurz nach' means shortly after.","It is shortly after eight."
"Es ist kurz vor neun.","Es|ist|kurz|vor|neun|.","'kurz vor' means shortly before.","It is shortly before nine."
"Es ist Viertel nach acht.","Es|ist|Viertel|nach|acht|.","8:15.","It is quarter past eight."
"Es ist Viertel vor neun.","Es|ist|Viertel|vor|neun|.","8:45.","It is quarter to nine."
"Es ist halb neun.","Es|ist|halb|neun|.","8:30 (halfway to nine).","It is half past eight."
"Um wie viel Uhr beginnt der Kurs?","Um|wie|viel|Uhr|beginnt|der|Kurs|?","Use 'um' for clock times.","At what time does the course begin?"
"Der Kurs beginnt um acht Uhr.","Der|Kurs|beginnt|um|acht|Uhr|.","Verb is in position 2.","The course begins at eight o'clock."
"Ich stehe um sechs Uhr auf.","Ich|stehe|um|sechs|Uhr|auf|.","Separable verb 'aufstehen'.","I get up at six o'clock."
"Wann stehst du am Wochenende auf?","Wann|stehst|du|am|Wochenende|auf|?","'am' + 'Wochenende' is a fixed time phrase.","When do you get up on the weekend?"
"Ich gehe um zehn schlafen.","Ich|gehe|um|zehn|schlafen|.","'schlafen gehen' is a common phrase.","I go to sleep at ten."
"Ich arbeite von acht bis fünf.","Ich|arbeite|von|acht|bis|fünf|.","Use 'von... bis' for durations.","I work from eight to five."
"Wann haben Sie Zeit?","Wann|haben|Sie|Zeit|?","Formal way to ask for an appointment.","When do you have time?"
"Haben Sie morgen Zeit?","Haben|Sie|morgen|Zeit|?","Yes/No question.","Do you have time tomorrow?"
"Der erste Tag ist Montag.","Der|erste|Tag|ist|Montag|.","'erste' (first) is an ordinal number.","The first day is Monday."
"Heute ist der zweite Mai.","Heute|ist|der|zweite|Mai|.","'zweite' (second).","Today is the second of May."
"Das ist das dritte Mal.","Das|ist|das|dritte|Mal|.","'dritte' (third).","That is the third time."
"Der vierte April ist mein Geburtstag.","Der|vierte|April|ist|mein|Geburtstag|.","'vierte' (fourth).","The fourth of April is my birthday."
"Wir haben die fünfte Lektion.","Wir|haben|die|fünfte|Lektion|.","'fünfte' (fifth).","We have the fifth lesson."
"Das ist der sechste Juni.","Das|ist|der|sechste|Juni|.","'sechste' (sixth).","That is the sixth of June."
"Heute ist der siebte Juli.","Heute|ist|der|siebte|Juli|.","'siebte' (seventh).","Today is the seventh of July."
"Das ist die achte Seite.","Das|ist|die|achte|Seite|.","'achte' (eighth).","That is the eighth page."
"Wir sind im neunten Monat.","Wir|sind|im|neunten|Monat|.","'neunte' (ninth).","We are in the ninth month."
"Das ist die zehnte Aufgabe.","Das|ist|die|zehnte|Aufgabe|.","'zehnte' (tenth).","That is the tenth task."
"Wann bist du geboren?","Wann|bist|du|geboren|?","Asking for birth date.","When were you born?"
"Ich bin am ersten Mai geboren.","Ich|bin|am|ersten|Mai|geboren|.","Ordinal numbers take '-en' after 'am'.","I was born on the first of May."
"Mein Geburtsdatum ist der dritte März.","Mein|Geburtsdatum|ist|der|dritte|März|.","'Geburtsdatum' is neutral.","My date of birth is the third of March."
"Wo ist dein Geburtsort?","Wo|ist|dein|Geburtsort|?","'Geburtsort' is masculine.","Where is your place of birth?"
"Mein Geburtsort ist Frankfurt.","Mein|Geburtsort|ist|Frankfurt|.","City names do not take articles.","My place of birth is Frankfurt."
"Wann ist dein Geburtstag?","Wann|ist|dein|Geburtstag|?","'Geburtstag' is masculine.","When is your birthday?"
"Gestern war ich im Kino.","Gestern|war|ich|im|Kino|.","'war' is the past tense of 'sein'.","Yesterday I was at the cinema."
"Was hast du gestern gemacht?","Was|hast|du|gestern|gemacht|?","'gemacht' is the Partizip II of 'machen'.","What did you do yesterday?"
"Ich habe Fußball gespielt.","Ich|habe|Fußball|gespielt|.","'gespielt' is the Partizip II.","I played soccer."
"Wir sind nach Hause gegangen.","Wir|sind|nach|Hause|gegangen|.","Verbs of motion use 'sind' + Partizip II.","We went home."
"Bist du gestern gelaufen?","Bist|du|gestern|gelaufen|?","'laufen' is a verb of motion.","Did you run yesterday?"
"Ich habe das Buch gelesen.","Ich|habe|das|Buch|gelesen|.","'gelesen' is Partizip II of 'lesen'.","I have read the book."
"Hast du die Aufgabe beantwortet?","Hast|du|die|Aufgabe|beantwortet|?","'beantwortet' is Partizip II.","Did you answer the task?"
"Was ist das Datum heute?","Was|ist|das|Datum|heute|?","'Datum' is neutral.","What is the date today?"
"Das Jahr ist zweitausend.","Das|Jahr|ist|zweitausend|.","'zweitausend' = 2000.","The year is two thousand."
"Ich habe dreißig Minuten Zeit.","Ich|habe|dreißig|Minuten|Zeit|.","'dreißig' = 30.","I have thirty minutes of time."
"Er ist dreizehn Jahre alt.","Er|ist|dreizehn|Jahre|alt|.","'dreizehn' = 13.","He is thirteen years old."
"Wann hast du den Test gemacht?","Wann|hast|du|den|Test|gemacht|?","Question about a past event.","When did you do the test?"
"Ich habe den Test gestern gemacht.","Ich|habe|den|Test|gestern|gemacht|.","'gemacht' at the end.","I did the test yesterday."
"Hast du ihn angerufen?","Hast|du|ihn|angerufen|?","'ihn' (accusative him). 'angerufen' is Partizip II.","Did you call him?"
"Ich habe ihn gestern angerufen.","Ich|habe|ihn|gestern|angerufen|.","Separable verbs add 'ge' in the middle (an-ge-rufen).","I called him yesterday."
"Sie hat das Fenster aufgemacht.","Sie|hat|das|Fenster|aufgemacht|.","Separable verb 'aufmachen' (to open).","She opened the window."
"Wir haben den Computer ausgemacht.","Wir|haben|den|Computer|ausgemacht|.","Separable verb 'ausmachen' (to turn off).","We turned off the computer."
"Er hat die Jacke angezogen.","Er|hat|die|Jacke|angezogen|.","'anziehen' (to put on).","He put on the jacket."
"Ich habe das Paket abgeholt.","Ich|habe|das|Paket|abgeholt|.","'abholen' (to pick up).","I picked up the package."
"Wir haben im Supermarkt eingekauft.","Wir|haben|im|Supermarkt|eingekauft|.","'einkaufen' (to shop).","We shopped at the supermarket."
"Die Sonne hat heute geschienen.","Die|Sonne|hat|heute|geschienen|.","'scheinen' (to shine).","The sun shone today."
"Es hat gestern geregnet.","Es|hat|gestern|geregnet|.","'regnen' (to rain).","It rained yesterday."
"Es hat heute geschneit.","Es|hat|heute|geschneit|.","'schneien' (to snow).","It snowed today."
"Ich habe eine Postkarte geschickt.","Ich|habe|eine|Postkarte|geschickt|.","'schicken' (to send).","I sent a postcard."
"Er hat das Lied gesungen.","Er|hat|das|Lied|gesungen|.","'singen' (to sing).","He sang the song."
"Wir haben zusammen gelernt.","Wir|haben|zusammen|gelernt|.","'lernen' (to learn).","We studied together."
"Hast du die E-Mail geschrieben?","Hast|du|die|E-Mail|geschrieben|?","'schreiben' (to write).","Did you write the email?"
"Ich habe die E-Mail geschrieben.","Ich|habe|die|E-Mail|geschrieben|.","'geschrieben' (written).","I have written the email."
"Wir haben den Plan besprochen.","Wir|haben|den|Plan|besprochen|.","'besprechen' (to discuss).","We discussed the plan."
"Er hat den Termin vergessen.","Er|hat|den|Termin|vergessen|.","'vergessen' (to forget).","He forgot the appointment."
"Hast du den Film gesehen?","Hast|du|den|Film|gesehen|?","'sehen' (to see/watch).","Did you see the movie?"
"Ich habe den Film gesehen.","Ich|habe|den|Film|gesehen|.","'gesehen' (seen).","I have seen the movie."
"Was hast du gesagt?","Was|hast|du|gesagt|?","'sagen' (to say).","What did you say?"
"Ich habe nichts gesagt.","Ich|habe|nichts|gesagt|.","'nichts' means nothing.","I said nothing."
"Wir haben uns getroffen.","Wir|haben|uns|treffen|getroffen|.","'treffen' (to meet).","We met each other."
"Wann habt ihr euch getroffen?","Wann|habt|ihr|euch|getroffen|?","Reflexive structure 'sich treffen'.","When did you meet?"
"Ich habe das Wort übersetzt.","Ich|habe|das|Wort|übersetzt|.","'übersetzen' (to translate).","I translated the word."
"Er hat den Vertrag unterschrieben.","Er|hat|den|Vertrag|unterschrieben|.","'unterschreiben' (to sign).","He signed the contract."
"Wir sind nach Hause gefahren.","Wir|sind|nach|Hause|gefahren|.","'fahren' uses 'sind' (motion).","We drove home."
"Er ist mit dem Zug gefahren.","Er|ist|mit|dem|Zug|gefahren|.","Motion verb 'fahren'.","He traveled by train."
"Ich bin heute früh aufgestanden.","Ich|bin|heute|früh|aufgestanden|.","'aufstehen' (to get up).","I got up early today."
"Wann bist du aufgestanden?","Wann|bist|du|aufgestanden|?","Separable prefix 'auf' with Partizip II.","When did you get up?"
"Wir sind in den Bus eingestiegen.","Wir|sind|in|den|Bus|eingestiegen|.","'einsteigen' (to board).","We boarded the bus."
"Sie ist am Bahnhof ausgestiegen.","Sie|ist|am|Bahnhof|ausgestiegen|.","'aussteigen' (to exit).","She got off at the train station."
