text,question,answer,distractor1,distractor2,distractor3,translation,tip
Entschuldigung, wie spät ist es? - Es ist Viertel nach acht.	Wie spät ist es?	08:15	08:45	07:45	08:30	Excuse me, what time is it? - It is quarter past eight.	'Viertel nach' means 15 minutes past the hour.
Der Deutschkurs beginnt um halb zehn.	Wann beginnt der Kurs?	09:30	10:30	09:00	10:00	The German course starts at half past nine.	'halb zehn' means 9:30, not 10:30!
Ich stehe jeden Morgen um Viertel vor sieben auf.	Wann steht die Person auf?	06:45	07:15	07:45	06:15	I get up every morning at quarter to seven.	'Viertel vor' means 15 minutes to the hour.
Der Zug fährt um 14 Uhr 20 ab.	Wann fährt der Zug ab?	14:20 Uhr	14:12 Uhr	16:20 Uhr	14:02 Uhr	The train departs at 14:20.	Listen carefully to the official time format.
Wann fängt der Film an? - Um zehn nach acht.	Wann fängt der Film an?	08:10	08:50	07:50	08:15	When does the movie start? - At ten past eight.	'zehn nach' means 10 minutes past the hour.
Es ist jetzt genau zwölf Uhr mittags.	Wie spät ist es?	12:00 Uhr	00:00 Uhr	12:30 Uhr	11:00 Uhr	It is exactly twelve noon right now.	'Mittags' means at noon.
Wir treffen uns um fünf vor halb vier am Café.	Wann treffen sie sich?	15:25	15:35	16:25	14:25	We are meeting at five to half past three at the café.	'fünf vor halb vier' is 3:25 PM (15:25).
Wie spät ist es? - Es ist kurz nach drei.	Wie spät ist es ungefähr?	Ein paar Minuten nach 3	Genau 3 Uhr	Kurz vor 3	Halb 4	What time is it? - It is shortly after three.	'Kurz nach' means slightly after the hour.
Ich räume heute die Wohnung auf.	Was macht die Person?	Sie räumt auf.	Sie schläft.	Sie kocht.	Sie arbeitet.	I am tidying up the apartment today.	'Aufräumen' is a separable verb meaning to tidy up.
Am Abend sehe ich oft fern.	Was macht die Person am Abend?	Fernsehen	Lesen	Musik hören	Schlafen	In the evening I often watch TV.	'Fernsehen' is a separable verb (ich sehe... fern).
Wann kaufst du im Supermarkt ein? - Nach der Arbeit.	Was macht die Person nach der Arbeit?	Einkaufen	Aufräumen	Fernsehen	Spazieren gehen	When do you shop in the supermarket? - After work.	'Einkaufen' means to shop.
Ich rufe meine Mutter am Wochenende an.	Wen ruft die Person an?	Die Mutter	Den Vater	Den Bruder	Die Schwester	I am calling my mother on the weekend.	'Anrufen' means to call on the phone.
Um wie viel Uhr gehst du schlafen? - Meistens um 23 Uhr.	Wann geht die Person schlafen?	Um 23 Uhr	Um 22 Uhr	Um 24 Uhr	Um 20 Uhr	At what time do you go to sleep? - Usually at 11 PM.	'Schlafen gehen' means to go to sleep.
Von 8 bis 17 Uhr arbeite ich im Büro.	Wie lange arbeitet die Person?	Von 8 bis 17 Uhr	Von 7 bis 16 Uhr	Von 9 bis 18 Uhr	Nur am Vormittag	From 8 to 17 I work in the office.	Listen to the time frame 'von ... bis ...'.
Um 13 Uhr mache ich eine Mittagspause.	Wann ist die Mittagspause?	Um 13 Uhr	Um 12 Uhr	Um 14 Uhr	Um 15 Uhr	At 1 PM I take a lunch break.	'Mittagspause' is the lunch break.
Ich trinke morgens immer einen Kaffee.	Was trinkt die Person morgens?	Kaffee	Tee	Wasser	Saft	In the morning I always drink a coffee.	'Morgens' means in the mornings.
