text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Hallo! Ich heiße Anna. Ich komme aus Berlin und ich bin Studentin. Ich lerne Deutsch und ein bisschen Englisch.","Woher kommt Anna?","Aus Berlin","Aus Hamburg","Aus München","Aus Köln","Hello! My name is Anna. I come from Berlin and I am a student. I learn German and a little English.","Listen for the name of the city."
"Guten Morgen! Ich bin Lukas. Ich komme aus Österreich, aus Wien.","Woher kommt Lukas?","Aus Österreich","Aus Deutschland","Aus der Schweiz","Aus Spanien","Good morning! I am Lukas. I come from Austria, from Vienna.","Listen for the country name after the word 'aus'."
"Hallo, mein Name ist Sara. Ich spreche Spanisch und Deutsch.","Was spricht Sara?","Spanisch und Deutsch","Nur Spanisch","Englisch und Deutsch","Spanisch und Italienisch","Hello, my name is Sara. I speak Spanish and German.","Listen carefully to the languages mentioned after 'spreche'."
"Guten Tag. Mein Vorname ist Thomas und mein Familienname ist Müller.","Wie ist der Familienname?","Müller","Thomas","Meier","Schmidt","Good afternoon. My first name is Thomas and my last name is Müller.","'Familienname' means last name or surname."
"Hi! Ich bin Lena. Ich komme aus Deutschland und wohne in München.","Wo wohnt Lena?","In München","In Berlin","In Frankfurt","In Wien","Hi! I am Lena. I come from Germany and live in Munich.","Pay attention to the city mentioned after 'in'."
"Guten Abend! Ich heiße Herr Weber. Ich bin Lehrer.","Wie heißt der Mann?","Herr Weber","Herr Müller","Herr Wagner","Herr Schmidt","Good evening! My name is Mr. Weber. I am a teacher.","Listen for the name following 'Ich heiße'."
"Hallo, wer bist du? - Ich bin Paul. Und wer bist du? - Ich bin Maria.","Wer sind die Personen?","Paul und Maria","Peter und Maria","Paul und Anna","Peter und Anna","Hello, who are you? - I am Paul. And who are you? - I am Maria.","Listen for the two names mentioned in the dialogue."
"Meine Telefonnummer ist null, eins, sieben, sechs, vier, drei.","Wie ist die Telefonnummer?","017643","016743","017634","016734","My phone number is zero, one, seven, six, four, three.","Translate the German numbers into digits."
"Ich buchstabiere: S - C - H - M - I - D - T. Schmidt.","Wie schreibt man den Namen?","Schmidt","Schmid","Schmitt","Schmit","I spell: S - C - H - M - I - D - T. Schmidt.","Listen to each letter carefully as it is spelled out."
"Meine E-Mail-Adresse ist anna punkt meier at gmx punkt de.","Wie ist die E-Mail-Adresse?","anna.meier@gmx.de","anna_meier@gmx.de","anna-meier@gmx.de","anna.meier@gmx.com","My email address is anna dot meier at gmx dot de.","Remember 'punkt' means '.' and 'at' is '@'."
"Ich spreche Arabisch, Englisch und ein bisschen Deutsch.","Welche Sprache spricht die Person ein bisschen?","Deutsch","Arabisch","Englisch","Französisch","I speak Arabic, English, and a little German.","'Ein bisschen' means 'a little'."
"Hallo, ich bin Paco. Ich komme aus Spanien.","Woher kommt Paco?","Aus Spanien","Aus Mexiko","Aus Italien","Aus Brasilien","Hello, I am Paco. I come from Spain.","Listen to the country name."
"Guten Tag, Frau Wagner! Wie geht es Ihnen? - Danke, sehr gut.","Wie geht es Frau Wagner?","Sehr gut","Nicht so gut","Schlecht","Es geht so","Good afternoon, Ms. Wagner! How are you? - Thank you, very well.","Listen for her response after 'Danke'."
"Ich komme aus der Schweiz, aus Zürich.","Aus welchem Land kommt die Person?","Aus der Schweiz","Aus Österreich","Aus Deutschland","Aus Zürich","I come from Switzerland, from Zurich.","'Die Schweiz' is the country, Zürich is the city."
"Mein Name ist Ali. A - L - I.","Wie schreibt man den Vornamen?","A-L-I","A-L-Y","A-I-L","E-L-I","My name is Ali. A - L - I.","Listen to the exact letters of the alphabet."
"Tschüs, Tom! Bis morgen! - Auf Wiedersehen, Frau Schmidt!","Wer verabschiedet sich?","Tom und Frau Schmidt","Tom und Herr Schmidt","Tim und Frau Schmidt","Tim und Herr Schmidt","Bye, Tom! See you tomorrow! - Goodbye, Ms. Schmidt!","'Verabschieden' means to say goodbye."
"Sprichst du Englisch? - Nein, ich spreche nur Spanisch.","Was spricht die Person?","Nur Spanisch","Englisch","Englisch und Spanisch","Kein Spanisch","Do you speak English? - No, I only speak Spanish.","'Nur' means 'only'."
"Guten Morgen. Ich bin neu hier. Mein Name ist Carlos.","Wann findet das Gespräch statt?","Am Morgen","Am Abend","Am Nachmittag","In der Nacht","Good morning. I am new here. My name is Carlos.","'Guten Morgen' indicates the time of day."
"Meine Handynummer ist null, eins, fünf, eins, acht, neun.","Wie ist die Nummer?","015189","015289","015198","015298","My cell phone number is zero, one, five, one, eight, nine.","Handynummer means cell phone number."
"Er heißt Jean und kommt aus Frankreich.","Woher kommt Jean?","Aus Frankreich","Aus Belgien","Aus Kanada","Aus der Schweiz","He is named Jean and comes from France.","Listen for the country after 'aus'."
"Wir lernen Deutsch. Deutsch ist super!","Was lernen sie?","Deutsch","Englisch","Spanisch","Super","We are learning German. German is great!","Listen for the language they are learning."
"Mein Name ist Yoko. Ich komme aus Japan.","Woher kommt Yoko?","Aus Japan","Aus China","Aus Korea","Aus Vietnam","My name is Yoko. I come from Japan.","Listen for the origin country."
"Wie heißen Sie? - Ich heiße Petra Huber.","Wie ist der Vorname?","Petra","Huber","Peter","Frau Huber","What is your name? - My name is Petra Huber.","'Vorname' is the first name."
"Meine E-Mail ist info at hotel minus berlin punkt de.","Wie ist die E-Mail-Adresse?","info@hotel-berlin.de","info@hotel_berlin.de","info@hotel.berlin.de","info-hotel@berlin.de","My email is info at hotel minus berlin dot de.","'minus' or 'Bindestrich' means a hyphen '-'."
"Ich spreche Polnisch und Englisch.","Spricht die Person Deutsch?","Nein","Ja","Ein bisschen","Nur Deutsch","I speak Polish and English.","The person does not mention German."
"Das ist Herr Wagner. Er kommt aus Österreich.","Wer ist das?","Herr Wagner","Frau Wagner","Herr Weber","Frau Weber","That is Mr. Wagner. He comes from Austria.","Listen to the title (Herr/Frau) and the name."
"Hallo! Ich bin Max. Und wer ist das? - Das ist Laura.","Wer wird vorgestellt?","Laura","Max","Lisa","Maria","Hello! I am Max. And who is that? - That is Laura.","Listen to the third person being introduced."
"Meine Telefonnummer ist null, zwei, zwei, eins, drei, vier.","Wie ist die Telefonnummer?","022134","021234","022143","021243","My phone number is zero, two, two, one, three, four.","Notice the double 'zwei' (two)."
"Ich komme aus den USA und ich spreche Englisch.","Woher kommt die Person?","Aus den USA","Aus England","Aus Australien","Aus Kanada","I come from the USA and I speak English.","'den USA' means the United States."
"Buchstabieren Sie bitte: M - A - I - E - R.","Wie schreibt man den Namen?","Maier","Meier","Mayer","Meyer","Please spell: M - A - I - E - R.","Pay attention to the exact spelling variation."
"Guten Tag! Ich bin Frau Yilmaz. Ich lerne Deutsch.","Wer lernt Deutsch?","Frau Yilmaz","Herr Yilmaz","Frau Schmidt","Herr Müller","Good afternoon! I am Ms. Yilmaz. I am learning German.","Listen for the full name and title of the speaker."
"Mein Name ist Luca. Ich spreche Italienisch.","Was spricht Luca?","Italienisch","Spanisch","Französisch","Deutsch","My name is Luca. I speak Italian.","Listen to the language spoken."
"Ich komme aus der Türkei, aus Istanbul.","Woher kommt die Person genau?","Aus Istanbul","Aus Ankara","Aus Izmir","Aus Antalya","I come from Turkey, from Istanbul.","'Genau' means exactly, asking for the specific city."
"Meine E-Mail ist max unterstrich meier at web punkt de.","Wie ist die E-Mail-Adresse?","max_meier@web.de","max-meier@web.de","max.meier@web.de","maxmeier@web.de","My email is max underscore meier at web dot de.","'Unterstrich' means underscore '_'."
"Sprichst du Russisch? - Ja, und ein bisschen Englisch.","Was spricht die Person ein bisschen?","Englisch","Russisch","Deutsch","Spanisch","Do you speak Russian? - Yes, and a little English.","Focus on what they speak 'a little'."
"Guten Morgen, Herr Bauer! - Guten Morgen, Frau Klein!","Wer spricht miteinander?","Herr Bauer und Frau Klein","Herr Klein und Frau Bauer","Herr Bauer und Frau Bauer","Herr Klein und Frau Klein","Good morning, Mr. Bauer! - Good morning, Ms. Klein!","Listen to both names in the greeting exchange."
"Ich bin Sofia. Ich komme aus Spanien, aus Madrid.","Wo wohnt Sofia?","In Madrid","In Barcelona","In Sevilla","In Valencia","I am Sofia. I come from Spain, from Madrid.","The city usually indicates where they live or come from."
"Meine Handynummer ist null, eins, fünf, sieben, zwei, null.","Wie ist die Nummer?","015720","015702","017520","017502","My cell phone number is zero, one, five, seven, two, zero.","Carefully track the last two digits."
"Auf Wiedersehen! - Tschüs, bis bald!","Was machen die Personen?","Sie verabschieden sich","Sie begrüßen sich","Sie fragen nach dem Namen","Sie buchstabieren","Goodbye! - Bye, see you soon!","These are typical phrases for saying goodbye (verabschieden)."
"Ich spreche Französisch. Ich komme aus Frankreich.","Woher kommt die Person?","Aus Frankreich","Aus der Schweiz","Aus Belgien","Aus Kanada","I speak French. I come from France.","Listen to the country name."
