text,question,answer,distractor1,distractor2,distractor3,translation,tip
<<<<<<< HEAD
"Hallo, ich bin Lisa. Das ist meine Familie. Das ist mein Vater, er heißt Thomas.","Wer ist Thomas?","Der Vater","Der Bruder","Der Großvater","Der Onkel","Hello, I am Lisa. This is my family. This is my father, his name is Thomas.","Listen for the family member associated with the name Thomas."
"Meine Mutter heißt Susanne. Sie ist Lehrerin von Beruf.","Was ist Susanne von Beruf?","Lehrerin","Ärztin","Studentin","Kellnerin","My mother's name is Susanne. She is a teacher by profession.","Listen for the profession mentioned after 'ist'."
"Das ist mein Bruder. Er ist zwanzig Jahre alt.","Wie alt ist der Bruder?","20","12","22","2","This is my brother. He is twenty years old.","Pay attention to the number 'zwanzig'."
"Meine Schwester heißt Anna. Sie ist noch ledig.","Ist Anna verheiratet?","Nein, sie ist ledig.","Ja, sie ist verheiratet.","Sie ist geschieden.","Sie hat Kinder.","My sister's name is Anna. She is still single.","'ledig' means single/unmarried."
"Wir haben zwei Kinder. Einen Sohn und eine Tochter.","Wie viele Kinder haben sie?","Zwei","Drei","Eins","Vier","We have two children. A son and a daughter.","Listen for the number before 'Kinder'."
"Mein Großvater ist schon achtzig Jahre alt. Er ist sehr nett.","Wie ist der Großvater?","Nett","Böse","Jung","Traurig","My grandfather is already eighty years old. He is very nice.","Listen for the adjective describing the grandfather."
"Das ist meine Tante Julia. Sie wohnt in Berlin.","Wo wohnt Tante Julia?","In Berlin","In München","In Wien","In Hamburg","This is my aunt Julia. She lives in Berlin.","Listen for the city name after 'wohnt in'."
"Mein Onkel arbeitet als Ingenieur bei Siemens.","Als was arbeitet der Onkel?","Ingenieur","Architekt","Arzt","Lehrer","My uncle works as an engineer at Siemens.","Listen for the profession following 'arbeitet als'."
"Die Eltern von Anna sind geschieden.","Wie ist der Familienstand der Eltern?","Geschieden","Verheiratet","Ledig","Verwitwet","Anna's parents are divorced.","'geschieden' means divorced."
"Ich bin verheiratet und habe ein Kind.","Hat die Person Kinder?","Ja, ein Kind.","Nein, keine Kinder.","Ja, zwei Kinder.","Ja, drei Kinder.","I am married and have one child.","Listen to the number of children mentioned."
"Wie alt bist du? - Ich bin fünfundzwanzig Jahre alt.","Wie alt ist die Person?","25","35","15","52","How old are you? - I am twenty-five years old.","Translate the number 'fünfundzwanzig'."
"Das ist Herr Weber. Er ist Architekt von Beruf.","Was macht Herr Weber?","Er ist Architekt.","Er ist Arzt.","Er ist Student.","Er ist Lehrer.","This is Mr. Weber. He is an architect by profession.","Listen for his profession."
