text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Entschuldigung, wo ist der Bahnhof? - Gehen Sie immer geradeaus.","Wo ist der Bahnhof?","Immer geradeaus","Die erste Straße links","Die zweite Straße rechts","Neben der Post","Excuse me, where is the train station? - Go straight ahead.","'geradeaus' means straight ahead."
"Ich fahre jeden Tag mit dem Fahrrad zur Arbeit.","Wie fährt die Person zur Arbeit?","Mit dem Fahrrad","Mit dem Auto","Mit dem Bus","Zu Fuß","I ride my bike to work every day.","'Fahrrad' means bicycle."
"Der Zug nach München fährt auf Gleis vier ab.","Auf welchem Gleis fährt der Zug ab?","Gleis 4","Gleis 14","Gleis 24","Gleis 40","The train to Munich departs on track four.","'Gleis' means track or platform."
"Wann kommt der Bus an? - Um fünf nach halb drei.","Wann kommt der Bus an?","14:35","14:25","15:05","15:35","When does the bus arrive? - At five past half past two.","Time review mixed with 'ankommen' (arrive)."
"Entschuldigung, wie komme ich zur Post? - Biegen Sie rechts ab.","Wohin möchte die Person?","Zur Post","Zur Bank","Zum Bahnhof","Zum Supermarkt","Excuse me, how do I get to the post office? - Turn right.","'zur Post' means to the post office."
"Wir müssen in Frankfurt umsteigen.","Was müssen sie in Frankfurt machen?","Umsteigen","Aussteigen","Einsteigen","Ankommen","We have to transfer in Frankfurt.","'umsteigen' means to change trains/transfer."
"Fahren Sie mit dem Taxi zum Flughafen. Das geht schnell.","Womit soll die Person fahren?","Mit dem Taxi","Mit dem Bus","Mit der U-Bahn","Mit dem Zug","Take a taxi to the airport. That is fast.","'Flughafen' means airport."
"Gehen Sie an der Ampel links und dann geradeaus.","Wie ist der Weg?","An der Ampel links, dann geradeaus","An der Ampel rechts, dann geradeaus","An der Ampel geradeaus, dann links","An der Kreuzung links","Go left at the traffic light and then straight.","'Ampel' means traffic light."
"Bitte einsteigen, die Türen schließen!","Was sollen die Fahrgäste machen?","Einsteigen","Aussteigen","Umsteigen","Warten","Please board, the doors are closing!","'einsteigen' means to board."
"Der nächste Bahnhof ist Berlin Hauptbahnhof. Bitte aussteigen.","Was sollen die Fahrgäste in Berlin machen?","Aussteigen","Einsteigen","Umsteigen","Weiterfahren","The next station is Berlin Main Station. Please get off.","'aussteigen' means to exit/get off."
"Nehmen Sie die Straßenbahn Linie vier bis zum Marktplatz.","Welche Linie soll die Person nehmen?","Linie 4","Linie 14","Linie 2","Linie 24","Take tram line four to the market square.","'Straßenbahn' means tram."
"Darf ich hier parken? - Nein, hier ist Parken verboten.","Darf die Person hier parken?","Nein, es ist verboten.","Ja, für eine Stunde.","Ja, es kostet aber Geld.","Nur am Wochenende.","May I park here? - No, parking is forbidden here.","'parken' means to park."
"Das Hotel ist direkt gegenüber dem Rathaus.","Wo ist das Hotel?","Gegenüber dem Rathaus","Neben der Post","Hinter dem Bahnhof","Vor der Bank","The hotel is directly opposite the town hall.","'gegenüber' means opposite."
"Fährt dieser Zug nach Hamburg? - Nein, nach Berlin.","Wohin fährt der Zug?","Nach Berlin","Nach Hamburg","Nach München","Nach Wien","Does this train go to Hamburg? - No, to Berlin.","Listen for the correction."
"Ich gehe lieber zu Fuß. Das Wetter ist so schön!","Wie kommt die Person zum Ziel?","Zu Fuß","Mit dem Fahrrad","Mit dem Auto","Mit dem Bus","I prefer to walk. The weather is so nice!","'zu Fuß' means on foot/walking."
"Die U-Bahn ist sehr schnell und praktisch.","Wie findet die Person die U-Bahn?","Schnell und praktisch","Langsam und teuer","Laut und schmutzig","Teuer, aber schnell","The subway is very fast and practical.","'U-Bahn' means subway/underground."
"Haben Sie einen Stadtplan für mich?","Was möchte der Tourist haben?","Einen Stadtplan","Ein Ticket","Ein Hotelzimmer","Einen Reiseführer","Do you have a city map for me?","'Stadtplan' means city map."
"Gehen Sie über die Brücke, dann sehen Sie das Museum.","Wie kommt man zum Museum?","Über die Brücke","Durch den Park","An der Ampel links","Immer geradeaus","Walk over the bridge, then you will see the museum.","'über die Brücke' means over the bridge."
