text	question	answer	distractor1	distractor2	distractor3	translation	tip
Entschuldigung, wo finde ich die Milch? - Im Kühlregal, gleich links.	Wo ist die Milch?	Im Kühlregal	An der Kasse	Beim Gemüse	Beim Bäcker	Excuse me, where can I find the milk? - In the refrigerated section, just to the left.	'Kühlregal' means refrigerated section.
Ich brauche zwei Kilo Kartoffeln und ein Pfund Tomaten.	Wie viele Kartoffeln braucht die Person?	Zwei Kilo	Ein Kilo	Ein Pfund	Zwei Pfund	I need two kilos of potatoes and half a kilo of tomatoes.	'Zwei Kilo' is 2 kilograms.
Was kostet ein Liter Apfelsaft? - Ein Euro zwanzig.	Wie viel kostet der Apfelsaft?	1,20 Euro	1,12 Euro	2,10 Euro	12,00 Euro	How much does a liter of apple juice cost? - One euro twenty.	Listen to the exact numbers 'ein Euro zwanzig'.
Ich trinke gern Tee, aber Kaffee mag ich nicht.	Was mag die Person nicht?	Kaffee	Tee	Wasser	Saft	I like drinking tea, but I don't like coffee.	Listen for the negation 'nicht'.
Haben wir noch Brot? - Nein, ich muss noch zum Bäcker gehen.	Wohin muss die Person gehen?	Zum Bäcker	In den Supermarkt	Auf den Markt	Zur Bank	Do we still have bread? - No, I still have to go to the baker.	'Bäcker' means baker/bakery.
Möchtest du einen Apfel oder eine Banane? - Eine Banane, bitte.	Was möchte die Person essen?	Eine Banane	Einen Apfel	Einen Kuchen	Ein Brötchen	Would you like an apple or a banana? - A banana, please.	Listen to the final decision.
Ich hätte gern 200 Gramm Käse, bitte.	Wie viel Käse möchte die Person?	200 Gramm	100 Gramm	2 Kilo	Ein Pfund	I would like 200 grams of cheese, please.	'zweihundert' means 200.
Die Dose Cola kostet 80 Cent.	Wie viel kostet die Cola?	80 Cent	18 Cent	8 Cent	1,80 Euro	The can of cola costs 80 cents.	'achtzig' is 80.
Wir brauchen eine Packung Nudeln und zwei Flaschen Wasser.	Was brauchen sie?	Nudeln und Wasser	Reis und Wasser	Nudeln und Cola	Reis und Cola	We need a package of pasta and two bottles of water.	'Packung Nudeln' means package of pasta.
Isst du gern Fleisch? - Nein, ich bin Vegetarier.	Warum isst die Person kein Fleisch?	Sie ist Vegetarier.	Fleisch ist zu teuer.	Sie mag keinen Fisch.	Sie hat keinen Hunger.	Do you like eating meat? - No, I am a vegetarian.	'Fleisch' means meat.
