text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Guten Tag, was möchten Sie trinken? - Ich nehme einen Kaffee mit Milch, bitte.","Was bestellt die Person?","Kaffee mit Milch","Kaffee schwarz","Tee mit Milch","Wasser","Good afternoon, what would you like to drink? - I'll take a coffee with milk, please.","Listen for the addition 'mit Milch' (with milk)."
"Ein Stück Apfelkuchen und ein Tee. Das macht zusammen sechs Euro zwanzig.","Wie viel kostet das?","6,20 Euro","6,12 Euro","16,20 Euro","26,00 Euro","A piece of apple cake and a tea. That comes to six euros twenty altogether.","Translate the number 'sechs Euro zwanzig'."
"Trinkst du gern Tee? - Nein, ich trinke lieber Kaffee.","Was trinkt die Person lieber?","Kaffee","Tee","Wasser","Cola","Do you like drinking tea? - No, I prefer drinking coffee.","'lieber' means 'prefer to'."
"Was essen Sie gern? - Ich esse sehr gern Schokoladenkuchen.","Was isst die Person gern?","Schokoladenkuchen","Apfelkuchen","Pizza","Käsebrötchen","What do you like to eat? - I really like eating chocolate cake.","Listen for the specific type of cake."
"Zahlen Sie zusammen oder getrennt? - Getrennt, bitte.","Wie zahlen die Personen?","Getrennt","Zusammen","Gar nicht","Mit Karte","Are you paying together or separately? - Separately, please.","'Getrennt' means separately."
"Ich möchte bitte zahlen. - Gerne. Das macht vierzehn Euro.","Wie hoch ist die Rechnung?","14 Euro","40 Euro","4 Euro","44 Euro","I would like to pay, please. - Gladly. That makes fourteen euros.","Pay close attention to 'vierzehn' (14) vs. 'vierzig' (40)."
"Nimmst du auch einen Kuchen? - Ja, ein Stück Käsekuchen, bitte.","Welchen Kuchen nimmt die Person?","Käsekuchen","Apfelkuchen","Schokoladenkuchen","Zitronenkuchen","Are you also having a cake? - Yes, a piece of cheesecake, please.","'Käsekuchen' is cheesecake."
"Entschuldigung, was kostet der Cappuccino? - Der Cappuccino kostet drei Euro fünfzig.","Wie viel kostet der Cappuccino?","3,50 Euro","3,15 Euro","5,30 Euro","13,50 Euro","Excuse me, how much is the cappuccino? - The cappuccino costs three euros fifty.","Listen to the exact price."
"Die Limonade kostet eins achtzig.","Wie viel kostet die Limonade?","1,80 Euro","1,18 Euro","8,10 Euro","80 Cent","The lemonade costs one eighty.","'Eins achtzig' is a quick way to say 1,80 Euro."
"Möchten Sie noch etwas? - Nein danke, das ist alles.","Bestellt die Person noch etwas?","Nein, das ist alles.","Ja, einen Kaffee.","Ja, ein Wasser.","Ja, einen Kuchen.","Would you like anything else? - No thank you, that is all.","'Das ist alles' means 'that is all'."
"Ich habe großen Hunger. Ich nehme ein Sandwich.","Warum nimmt die Person ein Sandwich?","Sie hat Hunger.","Sie hat Durst.","Sie ist müde.","Sie hat kein Geld.","I am very hungry. I'll take a sandwich.","'Hunger' means hunger."
"Wir möchten zwei Flaschen Mineralwasser, bitte.","Was möchten sie trinken?","Zwei Flaschen Mineralwasser","Zwei Gläser Wasser","Zwei Tassen Tee","Zwei Flaschen Cola","We would like two bottles of mineral water, please.","Listen to the quantity and the container (Flaschen)."
"Ich esse keinen Kuchen. Ich mache eine Diät.","Warum isst die Person keinen Kuchen?","Sie macht eine Diät.","Sie hat keinen Hunger.","Der Kuchen ist zu teuer.","Sie mag keinen Kuchen.","I am not eating any cake. I am on a diet.","Listen for the reason 'Diät'."
"Trinken Sie den Kaffee mit Zucker? - Nein, schwarz, bitte.","Wie trinkt die Person den Kaffee?","Schwarz (ohne Zucker)","Mit viel Zucker","Mit Milch","Mit Milch und Zucker","Do you drink the coffee with sugar? - No, black, please.","'Schwarz' means black (without milk or sugar)."
"Hast du Durst? - Ja, ich brauche ein Glas Wasser.","Was braucht die Person?","Ein Glas Wasser","Einen Kaffee","Eine Limonade","Ein Glas Wein","Are you thirsty? - Yes, I need a glass of water.","'Durst' means thirst."
"Eine Cola, bitte. - Groß oder klein? - Klein, bitte.","Welche Cola bestellt die Person?","Eine kleine Cola","Eine große Cola","Zwei kleine Colas","Gar keine Cola","A cola, please. - Large or small? - Small, please.","Listen to the size chosen."
"Was kostet der Apfelsaft? - Zwei Euro neunzig.","Wie viel kostet der Apfelsaft?","2,90 Euro","2,19 Euro","9,20 Euro","9,02 Euro","How much is the apple juice? - Two euros ninety.","Numbers above 20 are crucial here."
"Was nimmst du? - Ich weiß nicht. Vielleicht einen Orangensaft.","Was nimmt die Person vielleicht?","Orangensaft","Apfelsaft","Wasser","Kaffee","What are you having? - I don't know. Maybe an orange juice.","'Vielleicht' means maybe."
"Zwei Kaffee und ein Wasser. Das macht sieben Euro.","Wie viel kostet alles zusammen?","7 Euro","17 Euro","27 Euro","70 Euro","Two coffees and a water. That makes seven euros.","Translate the number 'sieben'."
"Der Tee ist sehr heiß. Vorsicht!","Wie ist der Tee?","Sehr heiß","Sehr kalt","Sehr süß","Sehr teuer","The tea is very hot. Careful!","'Heiß' means hot."
"Möchtest du den Apfelkuchen oder den Schokoladenkuchen? - Den Apfelkuchen.","Für welchen Kuchen entscheidet sich die Person?","Apfelkuchen","Schokoladenkuchen","Käsekuchen","Keinen Kuchen","Would you like the apple cake or the chocolate cake? - The apple cake.","Listen to the final choice."
"Wir möchten bestellen, bitte! - Ich komme sofort.","Was wollen die Gäste machen?","Bestellen","Zahlen","Gehen","Schlafen","We would like to order, please! - I am coming immediately.","'Bestellen' means to order."
"Das macht zusammen zwölf Euro fünfzehn.","Wie viel macht das?","12,15 Euro","12,50 Euro","20,15 Euro","2,15 Euro","That makes twelve euros fifteen altogether.","Listen closely to 'fünfzehn' (15)."
"Ich habe kein Geld. Kannst du für mich bezahlen?","Warum soll die andere Person bezahlen?","Weil die erste Person kein Geld hat.","Weil die andere Person reich ist.","Weil das Essen schlecht war.","Weil sie den Geldbeutel verloren hat.","I have no money. Can you pay for me?","'Kein Geld' means no money."
"Trinkst du lieber Wein oder Bier? - Ich trinke lieber Wein.","Was trinkt die Person lieber?","Wein","Bier","Wasser","Saft","Do you prefer drinking wine or beer? - I prefer drinking wine.","Focus on the drink mentioned in the reply."
"Ich esse ein Käsebrötchen und trinke einen Milchkaffee.","Was isst die Person?","Ein Käsebrötchen","Ein Schinkenbrötchen","Einen Kuchen","Eine Pizza","I am eating a cheese bread roll and drinking a milk coffee.","'Käsebrötchen' is a cheese bread roll."
"Ist der Platz hier noch frei? - Ja, bitte.","Was fragt die Person?","Ob der Platz frei ist","Wie teuer der Kaffee ist","Wie spät es ist","Wo die Toilette ist","Is the seat here still free? - Yes, please.","'Platz' means seat or place."
"Wie schmeckt der Kuchen? - Sehr lecker, danke!","Wie findet die Person den Kuchen?","Sehr lecker","Nicht gut","Zu süß","Zu teuer","How does the cake taste? - Very delicious, thank you!","'Lecker' means delicious."
"Einmal Tomatensuppe und einmal Pizza, bitte.","Was bestellt die Person?","Tomatensuppe und Pizza","Kartoffelsuppe und Pasta","Gemüsesuppe und Pizza","Nur eine Pizza","One tomato soup and one pizza, please.","'Einmal' is often used to order 'one portion of'."
"Ich nehme den Salat mit Hähnchen.","Was nimmt die Person?","Salat mit Hähnchen","Salat mit Käse","Nur Salat","Hähnchen mit Pommes","I'll take the salad with chicken.","'Hähnchen' means chicken."
"Gibt es hier auch Tee mit Zitrone? - Ja, natürlich.","Was fragt der Gast?","Nach Tee mit Zitrone","Nach Kaffee mit Milch","Nach Wasser mit Zitrone","Nach Tee mit Zucker","Is there also tea with lemon here? - Yes, of course.","'Zitrone' means lemon."
"Das Brötchen kostet achtundachtzig Cent.","Wie viel kostet das Brötchen?","88 Cent","80 Cent","18 Cent","8 Euro","The bread roll costs eighty-eight cents.","Listen to the double eight 'achtundachtzig'."
"Mein Kaffee ist leider schon kalt.","Welches Problem hat der Gast?","Der Kaffee ist kalt.","Der Kaffee ist zu heiß.","Der Kaffee ist zu teuer.","Der Kaffee schmeckt nicht.","My coffee is unfortunately already cold.","'Kalt' means cold."
"Wir möchten bitte zahlen. Wir haben wenig Zeit.","Warum wollen sie zahlen?","Sie haben wenig Zeit.","Das Essen war schlecht.","Das Café schließt.","Sie haben keinen Hunger mehr.","We would like to pay, please. We have little time.","'Wenig Zeit' means little time in a hurry."
"Zusammen, bitte. Hier sind zwanzig Euro. Stimmt so.","Wie viel Trinkgeld gibt die Person ungefähr?","Sie sagt 'Stimmt so' (Rest ist Trinkgeld)","Sie gibt kein Trinkgeld","Sie gibt 20 Euro Trinkgeld","Sie will das Geld zurück","Together, please. Here are twenty euros. Keep the change.","'Stimmt so' means 'keep the change'."
"Was isst du zum Frühstück? - Ein Brötchen mit Marmelade.","Was isst die Person zum Frühstück?","Brötchen mit Marmelade","Brötchen mit Käse","Müsli","Eier","What do you eat for breakfast? - A bread roll with jam.","'Marmelade' means jam."
"Nimmst du das Schinkenbrötchen? - Nein, das Käsebrötchen.","Welches Brötchen nimmt die Person?","Das Käsebrötchen","Das Schinkenbrötchen","Beide Brötchen","Kein Brötchen","Are you taking the ham bread roll? - No, the cheese bread roll.","Listen to the correction after 'Nein'."
"Ich möchte nur einen kleinen Salat. Ich bin nicht hungrig.","Warum bestellt die Person nur einen Salat?","Sie ist nicht hungrig.","Sie hat kein Geld.","Sie ist Vegetarierin.","Sie mag kein Fleisch.","I would only like a small salad. I am not hungry.","'Nicht hungrig' means not hungry."
"Haben Sie auch heiße Schokolade?","Nach welchem Getränk fragt die Person?","Heiße Schokolade","Heißer Tee","Kalter Kaffee","Kalter Kakao","Do you also have hot chocolate?","'Heiße Schokolade' is hot chocolate."
"Ich trinke heute keinen Kaffee. Ich nehme einen Saft.","Trinkst die Person heute Kaffee?","Nein, sie nimmt Saft.","Ja, einen Kaffee.","Ja, aber nur einen kleinen.","Nein, sie trinkt Wasser.","I am not drinking any coffee today. I'll take a juice.","'Keinen Kaffee' means no coffee."
"Was möchten Sie essen? - Ich habe keinen Hunger, danke.","Bestellt die Person etwas zu essen?","Nein","Ja, einen Kuchen","Ja, eine Pizza","Ja, einen Salat","What would you like to eat? - I have no hunger, thank you.","'Keinen Hunger' means not hungry."
"Zwei Stück Kuchen und zwei Kaffee, bitte.","Wie viele Kaffees bestellt die Person?","Zwei","Einen","Drei","Vier","Two pieces of cake and two coffees, please.","Listen for the number 'zwei'."
"Der Orangensaft ist sehr frisch und lecker.","Wie ist der Orangensaft?","Frisch und lecker","Warm und süß","Kalt und sauer","Teuer und schlecht","The orange juice is very fresh and delicious.","'Frisch' means fresh."
"Ich hätte gern eine Tasse Tee.","Was bestellt die Person?","Eine Tasse Tee","Ein Glas Wasser","Eine Kanne Kaffee","Ein Stück Kuchen","I would like to have a cup of tea.","'Eine Tasse' means a cup."
"Das Croissant kostet ein Euro zehn.","Wie teuer ist das Croissant?","1,10 Euro","1,01 Euro","10 Euro","11 Euro","The croissant costs one euro ten.","'Ein Euro zehn' means 1.10."
"Möchten Sie die Rechnung? - Ja, bitte.","Was möchte der Gast?","Die Rechnung","Die Speisekarte","Noch ein Wasser","Einen Kaffee","Would you like the bill? - Yes, please.","'Die Rechnung' is the bill/check."
"Ich nehme ein Glas Rotwein.","Was trinkt die Person?","Rotwein","Weißwein","Wasser","Bier","I'll take a glass of red wine.","'Rotwein' is red wine."
"Das Essen ist sehr gut hier. Wir kommen gerne wieder.","Wie findet die Person das Essen?","Sehr gut","Nicht so gut","Zu teuer","Zu salzig","The food is very good here. We gladly come back.","'Sehr gut' implies high satisfaction."
"Wie viel macht das? - Neun Euro fünfundvierzig.","Wie hoch ist der Preis?","9,45 Euro","9,54 Euro","4,95 Euro","5,49 Euro","How much does that make? - Nine euros forty-five.","Listen carefully to 'fünfundvierzig' (45)."
"Das ist ein schönes Café. Gehen wir rein?","Was möchte die Person machen?","Ins Café gehen","Nach Hause gehen","Weitergehen","Im Park sitzen","That is a beautiful café. Shall we go in?","'Gehen wir rein?' means 'shall we go in?'."
