text,question,answer,distractor1,distractor2,distractor3,translation,tip
<<<<<<< HEAD
"Mein Wohnzimmer ist sehr groß und hell. Ich liebe es!","Wie ist das Wohnzimmer?","Groß und hell","Klein und dunkel","Groß und dunkel","Klein und hell","My living room is very big and bright. I love it!","'hell' means bright or light."
"Entschuldigung, was kostet das Sofa? - Das Sofa kostet 299 Euro.","Wie viel kostet das Sofa?","299 Euro","209 Euro","199 Euro","992 Euro","Excuse me, how much is the sofa? - The sofa costs 299 euros.","Listen closely to 'zweihundertneunundneunzig'."
"Ist das ein Schrank? - Nein, das ist kein Schrank. Das ist ein Regal.","Was ist das?","Ein Regal","Ein Schrank","Ein Sofa","Ein Tisch","Is that a cabinet? - No, that is not a cabinet. That is a shelf.","Listen for the correction after 'Nein'."
"Welche Farbe hat der Teppich? - Er ist rot.","Welche Farbe hat der Teppich?","Rot","Blau","Grün","Gelb","What color is the carpet? - It is red.","'Farbe' means color, and 'rot' means red."
"Die Küche ist leider sehr klein, aber sie ist schön.","Wie ist die Küche?","Klein, aber schön","Groß und schön","Klein und hässlich","Groß und hässlich","The kitchen is unfortunately very small, but it is beautiful.","Listen for 'klein' (small) and 'schön' (beautiful)."
"Ich brauche vier Stühle für meinen Balkon.","Wie viele Stühle braucht die Person?","Vier","Drei","Zwei","Fünf","I need four chairs for my balcony.","'Stühle' is the plural of 'Stuhl' (chair)."
"Das Bett ist sehr bequem und gar nicht teuer.","Wie ist das Bett?","Bequem und nicht teuer","Unbequem und teuer","Bequem und teuer","Unbequem und billig","The bed is very comfortable and not at all expensive.","'bequem' means comfortable."
"Haben Sie keinen Tisch? - Doch, hier ist ein Tisch!","Hat die Person einen Tisch?","Ja, sie hat einen.","Nein, sie hat keinen.","Sie sucht einen.","Sie kauft einen.","Do you not have a table? - Yes (on the contrary), here is a table!","'Doch' is used to contradict a negative question."
"Die Lampe ist ganz neu und sehr modern.","Wie ist die Lampe?","Neu und modern","Alt und modern","Neu und hässlich","Alt und klassisch","The lamp is brand new and very modern.","'neu' means new."
"Wie groß ist die Wohnung? - Sie hat 80 Quadratmeter.","Wie groß ist die Wohnung?","80 Quadratmeter","18 Quadratmeter","100 Quadratmeter","8 Quadratmeter","How big is the apartment? - It has 80 square meters.","'achtzig' is 80."
"Entschuldigung, wo ist das Bad? - Das Bad ist hier links.","Wo ist das Bad?","Links","Rechts","Geradeaus","Oben","Excuse me, where is the bathroom? - The bathroom is here on the left.","'links' means left."
"Wir suchen einen Sessel. - Hier haben wir einen. Er ist blau.","Welche Farbe hat der Sessel?","Blau","Grün","Schwarz","Rot","We are looking for an armchair. - Here we have one. It is blue.","'Sessel' is an armchair."
"Das ist ein Fernseher. Er ist schwarz und sehr groß.","Welche Farbe hat der Fernseher?","Schwarz","Weiß","Grau","Silber","That is a TV. It is black and very big.","'Fernseher' means television."
"Wie findest du den Schrank? - Ich finde ihn zu groß für das Schlafzimmer.","Wie findet die Person den Schrank?","Zu groß","Zu klein","Genau richtig","Sehr schön","How do you like the cabinet? - I find it too big for the bedroom.","'zu groß' means too big."
