test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich null gestern Fußball gespielt.","habe","haben","to have","I played soccer yesterday.","Perfekt auxiliary: Most verbs use 'haben'. ich → habe"
"null du das Buch gelesen?","Hast","haben","to have","Did you read the book?","Perfekt auxiliary: du → hast. Position 1 for yes/no questions."
"Er null die Aufgabe beantwortet.","hat","haben","to have","He answered the task.","Perfekt auxiliary: er/sie/es → hat"
"Wir null eine E-Mail geschrieben.","haben","haben","to have","We wrote an email.","Perfekt auxiliary: wir → haben"
"Was null ihr am Wochenende gemacht?","habt","haben","to have","What did you do on the weekend?","Perfekt auxiliary: ihr → habt"
"Sie null den Test bestanden.","haben","haben","to have","They passed the test.","Perfekt auxiliary: sie (plural) / Sie (formal) → haben"
"Ich habe gestern Pizza null.","gegessen","essen","to eat","I ate pizza yesterday.","Perfekt: Irregular Partizip II of 'essen' → gegessen. Placed at the end."
"Hast du den Film null?","gesehen","sehen","to see / watch","Did you watch the movie?","Perfekt: Irregular Partizip II of 'sehen' → gesehen. Placed at the end."
"Wir haben den Plan null.","besprochen","besprechen","to discuss","We discussed the plan.","Perfekt: Inseparable verbs (be-, ver-, etc.) do NOT take a 'ge-' prefix."
"Sie hat den Termin null.","vergessen","vergessen","to forget","She forgot the appointment.","Perfekt: Inseparable verb. Partizip II remains 'vergessen'."
"Ich habe das Fenster null.","aufgemacht","aufmachen","to open","I opened the window.","Perfekt: Separable verbs put '-ge-' between the prefix and the stem (auf-ge-macht)."
"Er hat im Supermarkt null.","eingekauft","einkaufen","to shop","He shopped at the supermarket.","Perfekt: Separable verb. '-ge-' goes in the middle (ein-ge-kauft)."
"Habt ihr die Küche null?","aufgeräumt","aufräumen","to tidy up","Did you tidy up the kitchen?","Perfekt: Separable verb. '-ge-' goes in the middle (auf-ge-räumt)."
"Ich habe den Text null.","übersetzt","übersetzen","to translate","I translated the text.","Perfekt: Inseparable verb ending in -ieren/-etzen. No 'ge-' prefix."
"Er hat den Vertrag null.","unterschrieben","unterschreiben","to sign","He signed the contract.","Perfekt: Inseparable verb. Irregular Partizip II → unterschrieben."
"Ich habe lange null.","geschlafen","schlafen","to sleep","I slept for a long time.","Perfekt: Irregular Partizip II of 'schlafen' → geschlafen."
"Wir haben viel null.","gelacht","lachen","to laugh","We laughed a lot.","Perfekt: Regular (weak) verb. ge + stem + t → gelacht."
"Hast du etwas null?","gesagt","sagen","to say","Did you say something?","Perfekt: Regular verb. ge + sag + t → gesagt."
"Ich null nach Hause gegangen.","bin","sein","to be","I went home.","Perfekt auxiliary: Verbs of motion (gehen) use 'sein'. ich → bin"
