test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich null Maria.","heiße","heißen","to be called","My name is Maria.","Present tense: ich → -e ending"
"Wie null du?","heißt","heißen","to be called","What is your name?","Present tense: du → -t ending (verbs ending in -ß drop the 's' in the -st ending)"
"Wie null Sie?","heißen","heißen","to be called","What is your name? (formal)","Formal 'Sie' takes the infinitive -en ending"
"Er null Thomas.","heißt","heißen","to be called","His name is Thomas.","Present tense: er/sie/es → -t ending"
"Ich null aus Spanien.","komme","kommen","to come","I come from Spain.","Present tense: ich → -e ending"
"Woher null du?","kommst","kommen","to come","Where do you come from?","Present tense: du → -st ending"
"Woher null Sie?","kommen","kommen","to come","Where do you come from? (formal)","Formal 'Sie' takes the infinitive -en ending"
"Sie null aus Italien.","kommt","kommen","to come","She comes from Italy.","Present tense: er/sie/es → -t ending"
"Ich null in Berlin.","wohne","wohnen","to live","I live in Berlin.","Present tense: ich → -e ending"
"Wo null du?","wohnst","wohnen","to live","Where do you live?","Present tense: du → -st ending"
"Wo null Sie?","wohnen","wohnen","to live","Where do you live? (formal)","Formal 'Sie' takes the infinitive -en ending"
"Er null in München.","wohnt","wohnen","to live","He lives in Munich.","Present tense: er/sie/es → -t ending"
"Ich null Fabio.","bin","sein","to be","I am Fabio.","Irregular verb 'sein': 'ich' form is 'bin'"
"Wer null das?","ist","sein","to be","Who is that?","Irregular verb 'sein': 3rd person singular is 'ist'"
"null du Emma?","bist","sein","to be","Are you Emma?","Irregular verb 'sein': 'du' form is 'bist' (Verb in position 1 for yes/no questions)"
"Wer null Sie?","sind","sein","to be","Who are you? (formal)","Irregular verb 'sein': 'Sie' form is 'sind'"
"Ich null Deutsch.","spreche","sprechen","to speak","I speak German.","Present tense: ich → -e ending"
"null du Englisch?","sprichst","sprechen","to speak","Do you speak English?","Irregular verb: vowel change (e → i) for 'du', plus -st ending"
"Er null Spanisch.","spricht","sprechen","to speak","He speaks Spanish.","Irregular verb: vowel change (e → i) for 'er/sie/es', plus -t ending"
"null Sie Französisch?","sprechen","sprechen","to speak","Do you speak French? (formal)","Formal 'Sie' takes the infinitive -en ending (no vowel change for formal Sie)"
"Was null du?","machst","machen","to do / to make","What are you doing?","Present tense: du → -st ending (Verb in position 2 for W-questions)"
"Ich null gerne Sport.","mache","machen","to do / to make","I like doing sports.","Present tense: ich → -e ending"
"Wir null jetzt.","starten","starten","to start","We are starting now.","'Wir' (we) takes the infinitive -en ending"
"Das Spiel null jetzt.","startet","starten","to start","The game is starting now.","Verbs ending in -t/-d add an 'e' before the -t ending for easier pronunciation (er/sie/es → -et)"
