sentence,words,tip,translation_en
"Wie spät ist es?","Wie|spät|ist|es|?","Standard phrase to ask for the time.","What time is it?"
"Entschuldigung, wie spät ist es?","Entschuldigung|,|wie|spät|ist|es|?","Polite way to ask a stranger for the time.","Excuse me, what time is it?"
"Es ist zehn Uhr.","Es|ist|zehn|Uhr|.","Standard format for telling the exact hour.","It is ten o'clock."
"Es ist Viertel nach acht.","Es|ist|Viertel|nach|acht|.","'Viertel nach' means 15 minutes past the hour.","It is a quarter past eight."
"Es ist Viertel vor neun.","Es|ist|Viertel|vor|neun|.","'Viertel vor' means 15 minutes to the hour.","It is a quarter to nine."
"Es ist halb zehn.","Es|ist|halb|zehn|.","'halb' + the NEXT hour means 30 minutes past. (halb zehn = 9:30).","It is half past nine."
"Es ist fünf nach halb elf.","Es|ist|fünf|nach|halb|elf|.","In informal German, 10:35 is 'five past half eleven'.","It is five past half past ten."
"Es ist fünf vor halb zwölf.","Es|ist|fünf|vor|halb|zwölf|.","In informal German, 11:25 is 'five to half twelve'.","It is five to half past eleven."
"Es ist kurz vor acht.","Es|ist|kurz|vor|acht|.","'kurz vor' means shortly before (e.g., 7:58).","It is shortly before eight."
"Es ist kurz nach neun.","Es|ist|kurz|nach|neun|.","'kurz nach' means shortly after (e.g., 9:02).","It is shortly after nine."
"Wann fängt der Film an?","Wann|fängt|der|Film|an|?","'anfangen' is a separable verb. The prefix 'an' goes to the end of the sentence.","When does the movie start?"
"Der Kurs fängt um neun an.","Der|Kurs|fängt|um|neun|an|.","Use 'um' for specific clock times. Separable prefix at the end.","The course starts at nine."
"Ich fange mit der Arbeit an.","Ich|fange|mit|der|Arbeit|an|.","Separable verb 'anfangen'.","I am starting with work."
"Ich stehe um sieben Uhr auf.","Ich|stehe|um|sieben|Uhr|auf|.","'aufstehen' (to wake up / get up) is a separable verb.","I get up at seven o'clock."
"Wann stehst du auf?","Wann|stehst|du|auf|?","W-Question with a separable verb.","When do you get up?"
"Am Morgen trinke ich Kaffee.","Am|Morgen|trinke|ich|Kaffee|.","Because the time phrase 'Am Morgen' is in position 1, the verb MUST stay in position 2, pushing 'ich' to position 3.","In the morning, I drink coffee."
"Ich trinke am Morgen Kaffee.","Ich|trinke|am|Morgen|Kaffee|.","Standard word order: Subject, Verb, Time, Object.","I drink coffee in the morning."
"Am Vormittag checke ich E-Mails.","Am|Vormittag|checke|ich|E-Mails|.","'Vormittag' is the time before noon. Verb in position 2.","In the morning (pre-noon), I check emails."
"Am Mittag esse ich in der Kantine.","Am|Mittag|esse|ich|in|der|Kantine|.","'Mittag' is noon.","At noon I eat in the cafeteria."
"Am Nachmittag mache ich eine Pause.","Am|Nachmittag|mache|ich|eine|Pause|.","'Nachmittag' is afternoon.","In the afternoon I take a break."
"Am Abend koche ich.","Am|Abend|koche|ich|.","'Abend' is evening.","In the evening I cook."
"In der Nacht schlafe ich.","In|der|Nacht|schlafe|ich|.","Exception! We say 'Am Morgen', but 'In der Nacht' because Nacht is feminine.","At night I sleep."
"Ich gehe um elf schlafen.","Ich|gehe|um|elf|schlafen|.","'schlafen gehen' acts like a separable verb phrase here.","I go to sleep at eleven."
"Wann gehst du schlafen?","Wann|gehst|du|schlafen|?","Asking about bedtime.","When do you go to sleep?"
"Ich arbeite von Montag bis Freitag.","Ich|arbeite|von|Montag|bis|Freitag|.","'von... bis' means 'from... to'.","I work from Monday to Friday."
"Von acht bis fünf arbeite ich.","Von|acht|bis|fünf|arbeite|ich|.","Time block in position 1. The verb 'arbeite' stays in position 2.","From eight to five I work."
"Ich rufe dich später an.","Ich|rufe|dich|später|an|.","'anrufen' (to call) is a separable verb.","I will call you later."
"Rufen Sie mich an!","Rufen|Sie|mich|an|!","Formal command with a separable verb.","Call me!"
"Wen rufst du an?","Wen|rufst|du|an|?","'Wen' means 'Who' in the accusative case (Whom are you calling?).","Who are you calling?"
"Ich mache den Computer an.","Ich|mache|den|Computer|an|.","'anmachen' means to turn on. Separable prefix at the end.","I turn on the computer."
"Machst du das Licht an?","Machst|du|das|Licht|an|?","Yes/No question with a separable verb.","Are you turning on the light?"
"Bitte machen Sie das Handy aus.","Bitte|machen|Sie|das|Handy|aus|.","'ausmachen' means to turn off.","Please turn off the mobile phone."
"Ich mache das Radio aus.","Ich|mache|das|Radio|aus|.","Separable verb 'ausmachen'.","I turn off the radio."
"Wir steigen am Bahnhof aus.","Wir|steigen|am|Bahnhof|aus|.","'aussteigen' means to get off (a vehicle).","We are getting off at the train station."
"Wo steigen Sie aus?","Wo|steigen|Sie|aus|?","Asking where to exit.","Where do you get off?"
"Bitte steigen Sie ein!","Bitte|steigen|Sie|ein|!","'einsteigen' means to get on or board.","Please get on!"
"Ich hole dich am Bahnhof ab.","Ich|hole|dich|am|Bahnhof|ab|.","'abholen' means to pick someone up. Separable prefix at the end.","I will pick you up at the train station."
