test_text,answer,test_verb,tip,meaning,grammar_tip
"Das Buch liegt auf null Tisch.","dem","(Dative)","the (masc)","The book is on the table.","'Tisch' is masculine. After 'auf' (location), the article 'der' becomes 'dem' in the Dative case."
"Die Lampe steht auf null Schrank.","dem","(Dative)","the (masc)","The lamp is on the closet.","'Schrank' is masculine. 'auf' requires Dative for location: 'dem'."
"Ich bin in null Küche.","der","(Dative)","the (fem)","I am in the kitchen.","'Küche' is feminine. After 'in' (location), the article 'die' becomes 'der' in the Dative case."
"Das Bild ist an null Wand.","der","(Dative)","the (fem)","The picture is on the wall.","'Wand' is feminine. 'an' (location) triggers Dative: 'der'."
"Der Hund liegt in null Garten.","dem","(Dative)","the (masc)","The dog is in the garden.","'Garten' is masculine. 'in' (location) triggers Dative: 'dem'."
"Wir sitzen an null Tisch.","dem","(Dative)","the (masc)","We are sitting at the table.","'Tisch' is masculine. 'an' (location) triggers Dative: 'dem'."
"Ich wohne in null Haus.","dem","(Dative)","the (neut)","I live in the house.","'Haus' is neutral. 'in' (location) triggers Dative: 'dem'."
"Das Handy liegt auf null Bett.","dem","(Dative)","the (neut)","The phone is on the bed.","'Bett' is neutral. 'auf' (location) triggers Dative: 'dem'."
"Die Frau ist in null Bad.","dem","(Dative)","the (neut)","The woman is in the bathroom.","'Bad' is neutral. 'in' (location) triggers Dative: 'dem'."
"Das Bild hängt an null Regal.","dem","(Dative)","the (neut)","The picture hangs on the shelf.","'Regal' is neutral. 'an' (location) triggers Dative: 'dem'."
"Er arbeitet in null Bäckerei.","der","(Dative)","the (fem)","He works in the bakery.","'Bäckerei' is feminine. 'in' triggers Dative: 'der'."
"Die Kinder spielen in null Schule.","der","(Dative)","the (fem)","The children play in the school.","'Schule' is feminine. 'in' triggers Dative: 'der'."
"Die Blumen sind in null Vase.","der","(Dative)","the (fem)","The flowers are in the vase.","'Vase' is feminine. 'in' triggers Dative: 'der'."
"Das ist null neu.","nicht","(Negation)","not","That is not new.","Use 'nicht' to negate adjectives."
"Das Sofa ist null modern.","nicht","(Negation)","not","The sofa is not modern.","Use 'nicht' to negate adjectives."
"Ich habe null Sofa.","kein","(Negation)","no","I have no sofa.","Use 'kein' to negate nouns with indefinite articles (ein Sofa -> kein Sofa)."
"Wir haben null Balkon.","keinen","(Negation)","no (masc)","We have no balcony.","'Balkon' is masculine. Accusative negative is 'keinen'."
"Ich brauche null Lampe.","keine","(Negation)","no (fem)","I need no lamp.","'Lampe' is feminine. Accusative negative is 'keine'."
