sentence,words,tip,translation_en
"Ich brauche einen Apfel.","Ich|brauche|einen|Apfel|.","The verb 'brauchen' requires the accusative case. 'Apfel' is masculine, so 'ein' becomes 'einen'.","I need an apple."
"Ich kaufe eine Banane.","Ich|kaufe|eine|Banane|.","'Banane' is feminine. The accusative form of 'eine' stays 'eine'.","I am buying a banana."
"Wir brauchen ein Ei.","Wir|brauchen|ein|Ei|.","'Ei' is neutral. The accusative form of 'ein' stays 'ein'.","We need an egg."
"Ich habe keinen Hunger.","Ich|habe|keinen|Hunger|.","'Hunger' is masculine. In the accusative negative, 'kein' becomes 'keinen'.","I am not hungry."
"Wir haben keine Tomaten mehr.","Wir|haben|keine|Tomaten|mehr|.","Plural nouns take 'keine' in the negative. 'mehr' adds 'anymore'.","We don't have any tomatoes anymore."
"Ich trinke Wasser.","Ich|trinke|Wasser|.","Liquids usually take the 'Nullartikel' (zero article).","I am drinking water."
"Er isst gerne Fleisch.","Er|isst|gerne|Fleisch|.","'Fleisch' is an uncountable material noun, so it takes the zero article.","He likes to eat meat."
"Was isst du zum Frühstück?","Was|isst|du|zum|Frühstück|?","'essen' is irregular: the vowel changes from e to i for 'du' (du isst).","What do you eat for breakfast?"
"Ich esse ein Brötchen mit Butter.","Ich|esse|ein|Brötchen|mit|Butter|.","'Brötchen' is neutral. 'mit' is a preposition meaning 'with'.","I am eating a bread roll with butter."
"Mein Lieblingsessen ist Pizza.","Mein|Lieblingsessen|ist|Pizza|.","Compound noun takes the gender of the last word (das Essen -> mein).","My favorite food is pizza."
"Trinkst du Kaffee oder Tee?","Trinkst|du|Kaffee|oder|Tee|?","Verb in position 1 creates a Yes/No or Choice question.","Do you drink coffee or tea?"
"Ich trinke Kaffee mit Milch und Zucker.","Ich|trinke|Kaffee|mit|Milch|und|Zucker|.","No articles are needed before milk and sugar here (Nullartikel).","I drink coffee with milk and sugar."
"Er trinkt seinen Kaffee schwarz.","Er|trinkt|seinen|Kaffee|schwarz|.","'Kaffee' is masculine accusative, so the possessive takes '-en' (seinen).","He drinks his coffee black."
"Ich esse kein Fleisch.","Ich|esse|kein|Fleisch|.","'Fleisch' is neutral. The negative article is 'kein'.","I do not eat meat."
"Ich bin Vegetarier.","Ich|bin|Vegetarier|.","Do not use 'ein' with professions or personal statuses in German.","I am a vegetarian."
"Wir gehen heute einkaufen.","Wir|gehen|heute|einkaufen|.","'einkaufen gehen' is a fixed phrase. The second verb goes to the end.","We are going shopping today."
"Was brauchen wir noch?","Was|brauchen|wir|noch|?","'noch' means 'still' or 'else' in this context.","What else do we need?"
"Schreiben Sie eine Einkaufsliste.","Schreiben|Sie|eine|Einkaufsliste|.","Formal imperative: Verb in position 1, followed by 'Sie'.","Write a shopping list."
