sentence,words,tip,translation_en
"Ich will am Wochenende Fußball spielen.","Ich|will|am|Wochenende|Fußball|spielen|.","Modal verb 'wollen' sends the main verb to the end.","I want to play soccer on the weekend."
"Was wollt ihr heute unternehmen?","Was|wollt|ihr|heute|unternehmen|?","'unternehmen' (to do/undertake) goes to the end.","What do you want to do today?"
"Wir wollen einen Ausflug machen.","Wir|wollen|einen|Ausflug|machen|.","'Ausflug' is masculine accusative.","We want to go on an excursion."
"Er will nach Deutschland reisen.","Er|will|nach|Deutschland|reisen|.","'wollen' for er/sie/es is 'will' (irregular).","He wants to travel to Germany."
"Wollt ihr einen Kaffee trinken?","Wollt|ihr|einen|Kaffee|trinken|?","'ihr' form of wollen is 'wollt'.","Do you guys want to drink a coffee?"
"Sie will das Museum besuchen.","Sie|will|das|Museum|besuchen|.","Modal verb syntax pushes 'besuchen' to the end.","She wants to visit the museum."
"Willst du mitmachen?","Willst|du|mitmachen|?","'mitmachen' means to join in.","Do you want to join in?"
"Ich mag klassische Musik.","Ich|mag|klassische|Musik|.","'mögen' (to like) is irregular: ich mag.","I like classical music."
"Magst du Sushi?","Magst|du|Sushi|?","'mögen' conjugation: du magst.","Do you like sushi?"
"Er mag Comics.","Er|mag|Comics|.","'mögen' conjugation: er/sie/es mag.","He likes comics."
"Wir mögen dieses Restaurant.","Wir|mögen|dieses|Restaurant|.","'mögen' conjugation: wir mögen.","We like this restaurant."
"Mögt ihr Gemüse?","Mögt|ihr|Gemüse|?","'mögen' conjugation: ihr mögt.","Do you guys like vegetables?"
"Ich möchte etwas essen.","Ich|möchte|etwas|essen|.","'möchte' is a polite form of 'wollen'.","I would like to eat something."
"Sie mögen bunte Farben.","Sie|mögen|bunte|Farben|.","'bunte' means colorful.","They like colorful colors."
"Was machst du in deiner Freizeit?","Was|machst|du|in|deiner|Freizeit|?","'Freizeit' is feminine.","What do you do in your free time?"
"Meine Lieblingsaktivität ist Lesen.","Meine|Lieblingsaktivität|ist|Lesen|.","Verbs used as nouns are capitalized and neutral.","My favorite activity is reading."
"Gehen wir auf den Flohmarkt?","Gehen|wir|auf|den|Flohmarkt|?","'auf den' implies movement to the market.","Are we going to the flea market?"
"Ich kaufe Schuhe auf dem Flohmarkt.","Ich|kaufe|Schuhe|auf|dem|Flohmarkt|.","'auf dem' implies a static location (dative).","I buy shoes at the flea market."
"Wir planen unsere Aktivitäten.","Wir|planen|unsere|Aktivitäten|.","Plural of 'Aktivität'.","We plan our activities."
"Er macht tolle Fotos.","Er|macht|tolle|Fotos|.","Plural of 'Foto' takes an 's'.","He takes great photos."
"Ich spiele ein Musikinstrument.","Ich|spiele|ein|Musikinstrument|.","'Musikinstrument' is neutral.","I play a musical instrument."
"Sie lernt einen Text auswendig.","Sie|lernt|einen|Text|auswendig|.","'auswendig lernen' means to learn by heart.","She learns a text by heart."
"Wir spielen abwechselnd.","Wir|spielen|abwechselnd|.","'abwechselnd' means taking turns/alternately.","We play alternately."
"Er programmiert eine App.","Er|programmiert|eine|App|.","'programmieren' means to code.","He programs an app."
"Ich schreibe einen Blog.","Ich|schreibe|einen|Blog|.","'Blog' is a masculine English loanword.","I write a blog."
"Sie liest ein Buch.","Sie|liest|ein|Buch|.","Irregular verb: lesen -> sie liest.","She reads a book."
"Er liest ein Comicheft.","Er|liest|ein|Comicheft|.","Compound noun 'Comic' + 'Heft' (neutral).","He reads a comic book."
"Wir sprechen einen Dialog.","Wir|sprechen|einen|Dialog|.","'Dialog' is masculine accusative.","We speak a dialogue."
"Wir verabreden uns für morgen.","Wir|verabreden|uns|für|morgen|.","'sich verabreden' means to arrange a meeting.","We arrange to meet for tomorrow."
"Ich bin heute verabredet.","Ich|bin|heute|verabredet|.","Means 'I have plans/an appointment'.","I have an appointment today."
"Treffen wir uns am Wochenende?","Treffen|wir|uns|am|Wochenende|?","'sich treffen' (to meet each other).","Are we meeting on the weekend?"
"Hast du heute Zeit?","Hast|du|heute|Zeit|?","Common phrase to check availability.","Do you have time today?"
"Leider habe ich keine Zeit.","Leider|habe|ich|keine|Zeit|.","'leider' in position 1 forces the subject 'ich' to position 3.","Unfortunately I have no time."
"Vielleicht komme ich später.","Vielleicht|komme|ich|später|.","'vielleicht' (maybe) forces 'ich' to position 3.","Maybe I will come later."
"Wir können etwas unternehmen.","Wir|können|etwas|unternehmen|.","'unternehmen' goes to the end.","We can do something."
"Was wollen wir unternehmen?","Was|wollen|wir|unternehmen|?","W-question with a modal verb.","What do we want to do?"
"Wir gehen zusammen ins Kino.","Wir|gehen|zusammen|ins|Kino|.","'ins' = 'in das'.","We go to the cinema together."
"Gehen wir zusammen essen?","Gehen|wir|zusammen|essen|?","'essen gehen' (to go out to eat).","Are we going to eat together?"
"Das ist eine tolle Idee!","Das|ist|eine|tolle|Idee|!","'Idee' is feminine.","That is a great idea!"
"Das ist wirklich genial!","Das|ist|wirklich|genial|!","'genial' means brilliant/genius.","That is really brilliant!"
"Ich habe großen Hunger.","Ich|habe|großen|Hunger|.","'Hunger' is masculine accusative here.","I am very hungry."
"Wir haben großen Durst.","Wir|haben|großen|Durst|.","'Durst' is masculine accusative here.","We are very thirsty."
"Ich trinke ein Glas Wasser.","Ich|trinke|ein|Glas|Wasser|.","'Glas' is neutral.","I drink a glass of water."
"Einen Espresso, bitte.","Einen|Espresso|,|bitte|.","Accusative short form for ordering.","An espresso, please."
"Wir essen ein Steak.","Wir|essen|ein|Steak|.","'Steak' is a neutral loanword.","We are eating a steak."
"Ich nehme die Nachspeise.","Ich|nehme|die|Nachspeise|.","'Nachspeise' means dessert.","I'll take the dessert."
"Das Essen schmeckt sehr gut.","Das|Essen|schmeckt|sehr|gut|.","'schmecken' expresses how food tastes.","The food tastes very good."
"Das ist eine lokale Spezialität.","Das|ist|eine|lokale|Spezialität|.","'Spezialität' is feminine.","That is a local specialty."
"Wir möchten bitte zahlen.","Wir|möchten|bitte|zahlen|.","Standard phrase in a restaurant.","We would like to pay, please."
"Zahlen Sie zusammen oder getrennt?","Zahlen|Sie|zusammen|oder|getrennt|?","Common waiter question.","Are you paying together or separately?"
"Das macht zusammen zwanzig Euro.","Das|macht|zusammen|zwanzig|Euro|.","'Das macht' = 'That comes to'.","That makes twenty euros altogether."
"Ich zahle mit Karte.","Ich|zahle|mit|Karte|.","'mit Karte' = by card.","I am paying by card."
"Haben Sie etwas Geld?","Haben|Sie|etwas|Geld|?","'etwas' means some/a little.","Do you have some money?"
"Das Geschäft ist geöffnet.","Das|Geschäft|ist|geöffnet|.","'geöffnet' means open.","The shop is open."
"Wir kaufen online ein.","Wir|kaufen|online|ein|.","'einkaufen' is a separable verb.","We shop online."
"Ich besuche einen Online-Shop.","Ich|besuche|einen|Online-Shop|.","Masculine accusative.","I visit an online shop."
"Das ist mein Lieblingsrestaurant.","Das|ist|mein|Lieblingsrestaurant|.","Compound noun (neutral).","That is my favorite restaurant."
"Das Kleid hat Eleganz.","Das|Kleid|hat|Eleganz|.","'Eleganz' is feminine.","The dress has elegance."
"Ich brauche eine neue Handtasche.","Ich|brauche|eine|neue|Handtasche|.","'Handtasche' is feminine.","I need a new handbag."
"Er sucht seine Geldbörse.","Er|sucht|seine|Geldbörse|.","'Geldbörse' means wallet.","He is looking for his wallet."
"Ich habe mein Geld vergessen.","Ich|habe|mein|Geld|vergessen|.","Perfekt tense of 'vergessen' (irregular).","I forgot my money."
"Das Buch ist secondhand.","Das|Buch|ist|secondhand|.","English loanword used as an adjective.","The book is secondhand."
"Plötzlich regnet es.","Plötzlich|regnet|es|.","'plötzlich' forces 'es' to position 3.","Suddenly it is raining."
"Das ist echt cool.","Das|ist|echt|cool|.","'echt' means really/genuine.","That is really cool."
"Alles ist klar.","Alles|ist|klar|.","Common confirmation phrase.","Everything is clear."
"Also, was machen wir?","Also|,|was|machen|wir|?","'Also' means so/well then.","So, what are we doing?"
"Ich verstehe fast alles.","Ich|verstehe|fast|alles|.","'fast' means almost.","I understand almost everything."
"Wir sehen uns bald wieder.","Wir|sehen|uns|bald|wieder|.","'wieder' means again.","We will see each other again soon."
"Der Ausflug war erfolgreich.","Der|Ausflug|war|erfolgreich|.","'erfolgreich' means successful.","The excursion was successful."
"Das ist mein neuer Fotoapparat.","Das|ist|mein|neuer|Fotoapparat|.","Masculine nominative.","That is my new camera."
"Er ist ein Experte.","Er|ist|ein|Experte|.","Weak noun (N-Deklination).","He is an expert."
"Sie arbeitet als Angestellte.","Sie|arbeitet|als|Angestellte|.","Adjectival noun.","She works as an employee."
"Ich jobbe im Sommer.","Ich|jobbe|im|Sommer|.","'jobben' means to do casual work.","I work a job in the summer."
"Im Winter fahre ich Ski.","Im|Winter|fahre|ich|Ski|.","'Ski fahren' (to ski).","In winter I go skiing."
"Die Maschine ist kaputt.","Die|Maschine|ist|kaputt|.","'Maschine' is feminine.","The machine is broken."
"Er baut ein Netzwerk auf.","Er|baut|ein|Netzwerk|auf|.","Separable verb 'aufbauen'.","He builds a network."
"Wir sind in einem Online-Netzwerk.","Wir|sind|in|einem|Online-Netzwerk|.","Dative location.","We are in an online network."
"Er arbeitet im Marketing.","Er|arbeitet|im|Marketing|.","English loanword (neutral).","He works in marketing."
"Wir arbeiten an einem Projekt.","Wir|arbeiten|an|einem|Projekt|.","'an' + dative for working ON something.","We are working on a project."
"Ich lerne Chinesisch.","Ich|lerne|Chinesisch|.","Languages are neutral.","I am learning Chinese."
"Indien ist ein großes Land.","Indien|ist|ein|großes|Land|.","Country names without articles are neutral.","India is a big country."
"Er lebt als Expat.","Er|lebt|als|Expat|.","'Expat' is masculine.","He lives as an expat."
"Wir helfen den Flüchtlingen.","Wir|helfen|den|Flüchtlingen|.","'helfen' requires the dative case (plural ends in -n).","We help the refugees."
"Die Suppenküche bietet Essen.","Die|Suppenküche|bietet|Essen|.","'bieten' means to offer.","The soup kitchen offers food."
"Ein Projekt für Straßenkinder.","Ein|Projekt|für|Straßenkinder|.","'für' takes the accusative case.","A project for street children."
"Er ist Mitglied im Club.","Er|ist|Mitglied|im|Club|.","'Mitglied' means member.","He is a member in the club."
"Die Situation ist schwierig.","Die|Situation|ist|schwierig|.","'Situation' is feminine.","The situation is difficult."
"Das ist eine gute Möglichkeit.","Das|ist|eine|gute|Möglichkeit|.","'Möglichkeit' means option/possibility.","That is a good possibility."
"Der Konnektor verbindet Sätze.","Der|Konnektor|verbindet|Sätze|.","Grammar vocabulary.","The connector connects sentences."
"Ergänzen Sie den Hauptsatz.","Ergänzen|Sie|den|Hauptsatz|.","'Hauptsatz' is masculine accusative.","Complete the main clause."
"Das ist ein Fragesatz.","Das|ist|ein|Fragesatz|.","'Fragesatz' is masculine.","That is a question sentence."
"Die Antwort ist falsch.","Die|Antwort|ist|falsch|.","'Antwort' is feminine.","The answer is wrong."
"Hast du eine Antwort?","Hast|du|eine|Antwort|?","Accusative feminine.","Do you have an answer?"
"Das ist ein absolutes Muss.","Das|ist|ein|absolutes|Muss|.","Modal verb used as a noun.","That is an absolute must."
"Mein Fuß tut weh.","Mein|Fuß|tut|weh|.","'wehtun' (to hurt) is a separable verb.","My foot hurts."
"Gib mir deine Hand.","Gib|mir|deine|Hand|.","'Hand' is feminine.","Give me your hand."
"Ich habe gute Vorsätze.","Ich|habe|gute|Vorsätze|.","'Vorsätze' means resolutions.","I have good resolutions."
"Das ist der pure Wahnsinn.","Das|ist|der|pure|Wahnsinn|.","'Wahnsinn' is masculine.","That is pure madness."
"Die Aufgaben sind verteilt.","Die|Aufgaben|sind|verteilt|.","'verteilt' means distributed.","The tasks are distributed."
"Wir bleiben in Kontakt.","Wir|bleiben|in|Kontakt|.","Common closing phrase.","We stay in contact."
"Wer bringt die Getränke?","Wer|bringt|die|Getränke|?","'bringen' means to bring.","Who is bringing the drinks?"
"Die Aktivität ist sehr beliebt.","Die|Aktivität|ist|sehr|beliebt|.","'beliebt' means popular.","The activity is very popular."
