test_text,answer,test_verb,tip,meaning,grammar_tip
"Wir haben null Käse mehr.","keinen","(Negative Article)","no (masc)","We have no cheese anymore.","'Käse' is masculine. In the accusative negative, 'kein' becomes 'keinen'."
"Er trinkt null Apfelsaft.","einen","(Indefinite Article)","a (masc)","He is drinking an apple juice.","'Apfelsaft' is masculine. The accusative form of 'ein' is 'einen'."
"Brauchst du null Kaffee?","einen","(Indefinite Article)","a (masc)","Do you need a coffee?","'Kaffee' is masculine. The accusative object requires 'einen'."
"Ich esse null Fisch.","den","(Definite Article)","the (masc)","I am eating the fish.","'Fisch' is masculine. The definite article changes from 'der' to 'den' in the accusative."
"Wir kochen null Reis.","den","(Definite Article)","the (masc)","We are cooking the rice.","'Reis' is masculine. The definite article 'der' becomes 'den' in the accusative."
"Er nimmt null Hamburger.","den","(Definite Article)","the (masc)","He takes the hamburger.","'Hamburger' is masculine. After 'nehmen', we use the accusative 'den'."
"Hast du null Apfel für mich?","einen","(Indefinite Article)","an (masc)","Do you have an apple for me?","'Apfel' is masculine. The accusative form of 'ein' is 'einen'."
"Ich kaufe null Flasche Wasser.","eine","(Indefinite Article)","a (fem)","I am buying a bottle of water.","'Flasche' is feminine. The accusative form stays exactly the same: 'eine'."
"Ich bezahle null Flasche.","die","(Definite Article)","the (fem)","I am paying for the bottle.","'Flasche' is feminine. The definite article 'die' does not change in the accusative."
"Er trinkt null Cola.","die","(Definite Article)","the (fem)","He is drinking the cola.","'Cola' is feminine. The definite article 'die' remains 'die' in the accusative."
"Brauchst du null Butter?","die","(Definite Article)","the (fem)","Do you need the butter?","'Butter' is feminine. The definite article 'die' remains 'die' in the accusative."
"Ich habe null Brötchen.","ein","(Indefinite Article)","a (neut)","I have a bread roll.","'Brötchen' is neutral. The accusative form 'ein' remains 'ein'."
"Wir essen null Eis.","ein","(Indefinite Article)","an (neut)","We are eating an ice cream.","'Eis' is neutral. The accusative form 'ein' remains 'ein'."
"Er nimmt null Wasser.","das","(Definite Article)","the (neut)","He takes the water.","'Wasser' is neutral. The definite article 'das' remains 'das' in the accusative."
"Ich koche null Gemüse.","das","(Definite Article)","the (neut)","I cook the vegetables.","'Gemüse' is neutral. The definite article 'das' remains 'das'."
"Sie kaufen null Eier.","die","(Definite Article)","the (plural)","They buy the eggs.","Plural definite articles are always 'die' in the accusative case."
"Wir brauchen null Tomaten.","die","(Definite Article)","the (plural)","We need the tomatoes.","Plural definite articles are always 'die' in the accusative case."
"Hast du null Kartoffeln?","keine","(Negative Article)","no (plural)","Do you have no potatoes?","'Kartoffeln' is plural. Plural nouns are negated with 'keine'."
"Er trinkt null Wein.","keinen","(Negative Article)","no (masc)","He drinks no wine.","'Wein' is masculine. Negating it in the accusative case requires 'keinen'."
"Wir haben null Orangensaft.","keinen","(Negative Article)","no (masc)","We have no orange juice.","'Orangensaft' is masculine. The direct object negation is 'keinen'."
"Ich esse null Banane.","keine","(Negative Article)","no (fem)","I am not eating a banana.","'Banane' is feminine. Negating it in the accusative case is 'keine'."
"Sie kocht null Suppe.","keine","(Negative Article)","no (fem)","She is cooking no soup.","'Suppe' is feminine. Negating it in the accusative case is 'keine'."
"Er möchte null Brot.","kein","(Negative Article)","no (neut)","He would like no bread.","'Brot' is neutral. Negating it in the accusative case is 'kein'."
"Wir kaufen null Toastbrot.","kein","(Negative Article)","no (neut)","We are buying no toast.","'Toastbrot' is neutral. Negating it in the accusative case is 'kein'."
"Was null ihr zum Frühstück?","esst","essen","to eat","What do you (plural) eat for breakfast?","The 'ihr' (you all) form is regular: stem 'ess' + 't' = 'esst'."
"Ich null heute Nudeln.","esse","essen","to eat","I am eating pasta today.","Regular 'ich' conjugation for 'essen'. Drop the -en, add -e."
"Sie null keinen Fisch.","isst","essen","to eat","She eats no fish.","Irregular verb! The vowel changes from 'e' to 'i' for the 'sie' (she) form."
"Die Studenten null Pizza.","essen","essen","to eat","The students are eating pizza.","The 'sie' (they) form is identical to the infinitive."
"Ihr null einen Kaffee.","möchtet","möchten","would like","You (plural) would like a coffee.","The 'ihr' (you all) form of 'möchten' is 'möchtet'."
"Du null ein Wasser.","möchtest","möchten","would like","You would like a water.","The 'du' form of 'möchten' is 'möchtest'."
"Der Kaffee null zwei Euro.","kostet","kosten","to cost","The coffee costs two euros.","Singular subjects take the singular verb ending '-et' (kostet)."
"Zwei Brötchen null einen Euro.","kosten","kosten","to cost","Two bread rolls cost one euro.","Plural subjects (Zwei Brötchen) take the plural verb ending '-en' (kosten)."
"Die Tomaten null drei Euro.","kosten","kosten","to cost","The tomatoes cost three euros.","Plural subjects take the plural verb ending '-en' (kosten)."
"Ich rufe meine Mutter null.","an","anrufen","to call","I am calling my mother.","Separable Verb: 'anrufen' splits, sending the prefix 'an' to the end."
"Wann rufst du null?","an","anrufen","to call","When are you calling?","Separable Verb: Even in W-questions, the prefix sits at the very end of the clause."
"Bitte rufen Sie mich morgen null.","an","anrufen","to call","Please call me tomorrow.","Separable Verb: In a formal command, the verb 'rufen' is in position 1, and 'an' goes to the end."
"Er ruft den Taxifahrer null.","an","anrufen","to call","He is calling the taxi driver.","Separable Verb: 'anrufen' sends the prefix 'an' to the end."
"Wir null um 8 Uhr an.","fangen","anfangen","to start","We start at 8 o'clock.","Separable Verb: The 'wir' form of the main verb is 'fangen'. The prefix 'an' is at the end."
"Der Film null um 20 Uhr an.","fängt","anfangen","to start","The movie starts at 8 PM.","Irregular Separable Verb: 'anfangen' changes its vowel (a -> ä) for er/sie/es."
"Ich fange mit der Lektion null.","an","anfangen","to start","I am starting with the lesson.","Separable Verb: 'anfangen' splits, sending 'an' to the end."
"Mach bitte die Lampe null.","an","anmachen","to turn on","Please turn on the lamp.","Separable Verb: 'anmachen' (to turn on) sends 'an' to the end."
"Er macht das Radio null.","an","anmachen","to turn on","He turns on the radio.","Separable Verb: 'anmachen' sends 'an' to the end."
"Wir machen den Drucker null.","aus","ausmachen","to turn off","We turn off the printer.","Separable Verb: 'ausmachen' (to turn off) sends 'aus' to the end."
"Machen Sie das Handy null!","aus","ausmachen","to turn off","Turn off the mobile phone!","Separable Verb: Formal command structure. Prefix at the end."
"Ich steige in die U-Bahn null.","ein","einsteigen","to get on/board","I board the subway.","Separable Verb: 'einsteigen' (to board a vehicle) splits."
"Er steigt am Bahnhof null.","ein","einsteigen","to get on/board","He gets on at the train station.","Separable Verb: 'ein' goes to the end."
"Wir steigen hier null.","aus","aussteigen","to get off/exit","We get off here.","Separable Verb: 'aussteigen' (to get off/exit) sends 'aus' to the end."
"Steigst du in Berlin null?","aus","aussteigen","to get off/exit","Are you getting off in Berlin?","Separable Verb: 'aus' goes to the end, even in Yes/No questions."
"Der Taxifahrer holt mich null.","ab","abholen","to pick up","The taxi driver picks me up.","Separable Verb: 'abholen' sends 'ab' to the end."
"Wir holen die Kinder null.","ab","abholen","to pick up","We pick up the children.","Separable Verb: 'ab' goes to the end."
"Ich stehe um 6 Uhr null.","auf","aufstehen","to get up","I get up at 6 o'clock.","Separable Verb: The prefix 'auf' detaches from 'stehen' and goes to the end."
"Wann null Sie auf?","stehen","aufstehen","to get up","When do you get up? (formal)","Separable Verb: The main verb 'stehen' is conjugated in position 2 for the question."
"Zieh dir eine Jacke null.","an","anziehen","to put on","Put on a jacket.","Separable Verb: 'anziehen' (to put on clothes) sends 'an' to the end."
"Er zieht das T-Shirt null.","an","anziehen","to put on","He puts on the T-shirt.","Separable Verb: 'an' goes to the end."
"Wir kaufen im Supermarkt null.","ein","einkaufen","to shop","We shop in the supermarket.","Separable Verb: 'einkaufen' (to shop) sends 'ein' to the end."
