sentence,words,tip,translation_en
"Wie geht es dir?","Wie|geht|es|dir|?","Common informal greeting asking 'How are you?'.","How are you?"
"Es geht, danke.","Es|geht|,|danke|.","'Es geht' is used to say 'so-so' or 'I am okay'.","So-so, thank you."
"Das Wetter ist so lala.","Das|Wetter|ist|so|lala|.","'so lala' means mediocre or so-so.","The weather is so-so."
"Das ist meine Familie.","Das|ist|meine|Familie|.","'Familie' is feminine, so we use the possessive 'meine'.","That is my family."
"Das sind meine Eltern.","Das|sind|meine|Eltern|.","'Eltern' is plural, so we use the verb 'sind' and 'meine'.","Those are my parents."
"Wo sind deine Eltern?","Wo|sind|deine|Eltern|?","'deine' is the informal possessive for plural nouns.","Where are your parents?"
"Ist das dein Bruder?","Ist|das|dein|Bruder|?","'Bruder' is masculine nominative, so we use 'dein' (no -e).","Is that your brother?"
"Nein, das ist mein Freund.","Nein|,|das|ist|mein|Freund|.","'Freund' can mean male friend or boyfriend.","No, that is my friend."
"Ich habe keine Geschwister.","Ich|habe|keine|Geschwister|.","'keine' is the negative article used for plural nouns.","I have no siblings."
"Wir sind drei Geschwister.","Wir|sind|drei|Geschwister|.","'Geschwister' means brothers and sisters.","We are three siblings."
"Meine Mutter heißt Maria.","Meine|Mutter|heißt|Maria|.","'Mutter' is feminine.","My mother is named Maria."
"Mein Vater arbeitet.","Mein|Vater|arbeitet|.","'Vater' is masculine nominative.","My father is working."
"Das ist meine Schwester.","Das|ist|meine|Schwester|.","'Schwester' is feminine.","That is my sister."
"Ich liebe meine Großeltern.","Ich|liebe|meine|Großeltern|.","'Großeltern' means grandparents.","I love my grandparents."
"Mein Großvater ist achtzig.","Mein|Großvater|ist|achtzig|.","'achtzig' is the number 80.","My grandfather is eighty."
"Meine Großmutter kocht.","Meine|Großmutter|kocht|.","'Großmutter' means grandmother.","My grandmother is cooking."
"Ist das sein Hund?","Ist|das|sein|Hund|?","'sein' is the possessive 'his'. 'Hund' is masculine.","Is that his dog?"
"Nein, das ist kein Hund.","Nein|,|das|ist|kein|Hund|.","Use 'kein' to negate nouns with indefinite articles (a dog -> not a dog).","No, that is not a dog."
"Das ist eine Katze.","Das|ist|eine|Katze|.","'Katze' is feminine, so the indefinite article is 'eine'.","That is a cat."
"Ihre Katze ist klein.","Ihre|Katze|ist|klein|.","'Ihre' means 'her' (possessive) for feminine nouns.","Her cat is small."
"Wo ist mein Handy?","Wo|ist|mein|Handy|?","'Handy' is a neutral noun (das), so we use 'mein'.","Where is my mobile phone?"
"Dein Laptop ist hier.","Dein|Laptop|ist|hier|.","'Laptop' is masculine (der), so we use 'dein'.","Your laptop is here."
"Mein Laptop ist neu.","Mein|Laptop|ist|neu|.","Simple statement using the verb 'sein' (ist).","My laptop is new."
"Ich lade die App.","Ich|lade|die|App|.","'App' is a feminine noun.","I am downloading the app."
"Speichern Sie die Datei.","Speichern|Sie|die|Datei|.","Formal command structure: Verb first, then 'Sie'.","Save the file."
"Ich habe kein Auto.","Ich|habe|kein|Auto|.","'Auto' is neutral, so its negative article is 'kein'.","I have no car."
"Das ist mein Lieblingsauto.","Das|ist|mein|Lieblingsauto|.","Compound noun takes the gender of the last word (das Auto).","That is my favorite car."
"Ich habe keine Zeit.","Ich|habe|keine|Zeit|.","'Zeit' is feminine, so the negative article is 'keine'.","I have no time."
"Wir arbeiten zusammen.","Wir|arbeiten|zusammen|.","'Wir' takes the infinitive verb ending -en.","We work together."
"Er ist Architekt.","Er|ist|Architekt|.","Do not use 'ein' with professions in German unless there is an adjective.","He is an architect."
"Der Chef ist im Meeting.","Der|Chef|ist|im|Meeting|.","'Chef' means boss, not cook.","The boss is in the meeting."
"Der Job ist gut.","Der|Job|ist|gut|.","English loanwords ending in consonants are often masculine.","The job is good."
"Er ist mein Kollege.","Er|ist|mein|Kollege|.","'Kollege' means male colleague.","He is my colleague."
"Wie alt bist du?","Wie|alt|bist|du|?","W-question structure using the verb 'sein'.","How old are you?"
"Ich bin zwanzig Jahre alt.","Ich|bin|zwanzig|Jahre|alt|.","Standard formula for stating age.","I am twenty years old."
"Das Mädchen ist zwölf.","Das|Mädchen|ist|zwölf|.","Nouns ending in -chen are always neutral (das).","The girl is twelve."
"Der Junge spielt.","Der|Junge|spielt|.","'Junge' is masculine (der).","The boy is playing."
"Ich bin fünfzehn.","Ich|bin|fünfzehn|.","You can drop 'Jahre alt' in casual speech.","I am fifteen."
"Wir sind elf Spieler.","Wir|sind|elf|Spieler|.","'elf' is the number 11.","We are eleven players."
"Es kostet hundert Euro.","Es|kostet|hundert|Euro|.","'hundert' is the number 100.","It costs a hundred euros."
"Das Haus ist sehr alt.","Das|Haus|ist|sehr|alt|.","'sehr' means very.","The house is very old."
"Ich fotografiere gerne.","Ich|fotografiere|gerne|.","Add 'gerne' after the verb to say you like doing it.","I like taking photos."
"Mein Hobby ist Lesen.","Mein|Hobby|ist|Lesen|.","Verbs used as nouns are capitalized and neutral.","My hobby is reading."
"Ich spiele gerne Badminton.","Ich|spiele|gerne|Badminton|.","Sports names are generally neutral.","I like playing badminton."
"Er spielt Squash.","Er|spielt|Squash|.","'er' takes the -t ending on regular verbs.","He plays squash."
"Yoga ist gesund.","Yoga|ist|gesund|.","'gesund' means healthy.","Yoga is healthy."
"Ich zeichne ein Haus.","Ich|zeichne|ein|Haus|.","Verbs ending in -n or -m often add an 'e' before endings.","I draw a house."
"Wir zeichnen zusammen.","Wir|zeichnen|zusammen|.","'zeichnen' means to draw.","We draw together."
"Er ist der Champion.","Er|ist|der|Champion|.","'Champion' is a masculine English loanword.","He is the champion."
"Wo ist der Bahnhof?","Wo|ist|der|Bahnhof|?","'Bahnhof' means train station.","Where is the train station?"
"Der Bahnhof ist hier.","Der|Bahnhof|ist|hier|.","Position 1: Subject, Position 2: Verb.","The train station is here."
"Nehmen Sie Platz.","Nehmen|Sie|Platz|.","A common polite phrase meaning 'Take a seat'.","Take a seat."
"Das ist mein Platz.","Das|ist|mein|Platz|.","'Platz' is masculine, so 'mein' is used.","That is my place/seat."
