test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich null mit dem Bus.","fahre","fahren","to travel","I travel by bus.","fahren: ich → fahre; mit + dative"
"null Sie links oder rechts?","Biegen","biegen","to turn","Do you turn left or right?","biegen ab (separable); Sie → biegen"
"Der Bahnhof null links.","ist","sein","to be","The station is on the left.","sein: der Bahnhof ist"
"Ich null ein Ticket.","kaufe","kaufen","to buy","I buy a ticket.","kaufen: ich → kaufe"
"null Sie geradeaus.","Gehen","gehen","to go","Go straight ahead.","imperative (formal): Gehen Sie"
"Wo null die Haltestelle?","ist","sein","to be","Where is the bus stop?","sein: die Haltestelle ist"
"Er null mit der Bahn.","fährt","fahren","to travel","He travels by train.","fahren irregular: er → fährt"
"Wie null ich zum Flughafen?","komme","kommen","to get to","How do I get to the airport?","kommen: ich → komme"
"null Sie die Straße entlang.","Gehen","gehen","to go","Go along the street.","Gehen Sie (formal imperative)"
"Das Hotel null weit.","ist","sein","to be","The hotel is far away.","sein: das Hotel ist"
"Ich null nach Hause.","gehe","gehen","to go","I go home.","nach Hause = homeward"
"null du mit dem Auto?","Fährst","fahren","to drive","Do you go by car?","fahren irregular: du → fährst"
