sentence,words,tip,translation_en
"Was kostet das Hemd?","Was|kostet|das|Hemd|?","verb-second word order","How much does the shirt cost?"
"Ich kaufe eine schwarze Hose.","Ich|kaufe|eine|schwarze|Hose|.","eine (f, accusative) + adj ending -e","I buy a black pair of trousers."
"Haben Sie die Größe 40?","Haben|Sie|die|Größe|40|?","formal polite question","Do you have size 40?"
"Die Jacke ist zu teuer.","Die|Jacke|ist|zu|teuer|.","zu = too (before adjective)","The jacket is too expensive."
"Welche Farbe magst du?","Welche|Farbe|magst|du|?","welche = which (feminine)","Which colour do you like?"
"Das Geschäft ist heute offen.","Das|Geschäft|ist|heute|offen|.","heute = today","The shop is open today."
"Ich brauche neue Schuhe.","Ich|brauche|neue|Schuhe|.","neue (pl accusative, strong ending)","I need new shoes."
"Er trägt immer ein weißes Hemd.","Er|trägt|immer|ein|weißes|Hemd|.","immer = always; weißes (n accusative)","He always wears a white shirt."
"Das ist sehr billig.","Das|ist|sehr|billig|.","sehr = very","That is very cheap."
"Ich kaufe das nicht.","Ich|kaufe|das|nicht|.","nicht = not (negates verb/clause)","I don't buy that."
