sentence,words,tip,translation_en
"Ich habe in Berlin gewohnt.","Ich|habe|in|Berlin|gewohnt|.","Perfekt: habe + past participle at end","I lived in Berlin."
"Wo bist du aufgewachsen?","Wo|bist|du|aufgewachsen|?","aufwachsen → aufgewachsen; with sein","Where did you grow up?"
"Ich habe Deutsch in der Schule gelernt.","Ich|habe|Deutsch|in|der|Schule|gelernt|.","Perfekt; in der Schule = dative","I learned German at school."
"Hast du schon ein Praktikum gemacht?","Hast|du|schon|ein|Praktikum|gemacht|?","schon = already; Perfekt question","Have you already done an internship?"
"Er ist nach München gefahren.","Er|ist|nach|München|gefahren|.","fahren → gefahren; mit sein","He went to Munich."
"Früher habe ich in Hamburg gewohnt.","Früher|habe|ich|in|Hamburg|gewohnt|.","Früher = formerly; inversion after adverb","I used to live in Hamburg."
"Ich habe dort zwei Jahre gearbeitet.","Ich|habe|dort|zwei|Jahre|gearbeitet|.","dort = there; zwei Jahre = for two years","I worked there for two years."
"Was haben Sie studiert?","Was|haben|Sie|studiert|?","formal Perfekt question","What did you study?"
"Damals war das Leben anders.","Damals|war|das|Leben|anders|.","war = was (sein in Präteritum)","Back then life was different."
"Ich habe viel Erfahrung gesammelt.","Ich|habe|viel|Erfahrung|gesammelt|.","sammeln → gesammelt","I have gained a lot of experience."
