sentence,words,tip,translation_en
"Ich kann Deutsch sprechen.","Ich|kann|Deutsch|sprechen|.","Modal verb 'können' is in position 2, the main verb 'sprechen' goes to the very end!","I can speak German."
"Kannst du Klavier spielen?","Kannst|du|Klavier|spielen|?","Yes/No question: Modal verb first, main verb at the end.","Can you play the piano?"
"Er kann sehr gut schwimmen.","Er|kann|sehr|gut|schwimmen|.","'können' is irregular. The 'er' form is exactly the same as the 'ich' form (kann).","He can swim very well."
"Sie kann leider nicht kommen.","Sie|kann|leider|nicht|kommen|.","'leider' means unfortunately. Main verb at the end.","She unfortunately cannot come."
"Wir können heute nicht spielen.","Wir|können|heute|nicht|spielen|.","The 'wir' form of modal verbs is identical to the infinitive.","We cannot play today."
"Können Sie mir helfen?","Können|Sie|mir|helfen|?","Polite request using the formal 'Sie'.","Can you help me?"
"Ich muss heute arbeiten.","Ich|muss|heute|arbeiten|.","Modal verb 'müssen' (must/have to) pushes 'arbeiten' to the end.","I have to work today."
"Musst du morgen lernen?","Musst|du|morgen|lernen|?","'müssen' changes vowel from 'ü' to 'u' for ich/du/er/sie/es.","Do you have to study tomorrow?"
"Er muss zum Arzt gehen.","Er|muss|zum|Arzt|gehen|.","'zum' is a contraction of 'zu dem'.","He has to go to the doctor."
"Wir müssen Lebensmittel einkaufen.","Wir|müssen|Lebensmittel|einkaufen|.","'einkaufen' is the main verb here and stays in its infinitive form at the end.","We have to shop for groceries."
"Müssen Sie jetzt gehen?","Müssen|Sie|jetzt|gehen|?","Formal question. 'jetzt' means now.","Do you have to go now?"
"Ich räume das Zimmer auf.","Ich|räume|das|Zimmer|auf|.","'aufräumen' is a separable verb. Prefix 'auf' goes to the end.","I am tidying up the room."
"Ich muss das Zimmer aufräumen.","Ich|muss|das|Zimmer|aufräumen|.","With a modal verb, the separable verb DOES NOT split. The whole verb goes to the end.","I must tidy up the room."
"Wir sehen am Wochenende fern.","Wir|sehen|am|Wochenende|fern|.","'fernsehen' is a separable verb.","We watch TV on the weekend."
"Ich will abends fernsehen.","Ich|will|abends|fernsehen|.","With a modal verb, 'fernsehen' stays whole at the end of the sentence.","I want to watch TV in the evenings."
"Ich lade dich zur Party ein.","Ich|lade|dich|zur|Party|ein|.","'einladen' (to invite) is a separable verb.","I am inviting you to the party."
"Am Montag arbeite ich.","Am|Montag|arbeite|ich|.","Time in Position 1 -> Verb in Position 2 -> Subject pushed to Position 3.","On Monday I work."
"Am Dienstag habe ich Sport.","Am|Dienstag|habe|ich|Sport|.","Use 'am' (an dem) for all days of the week.","On Tuesday I have sports."
"Am Mittwoch treffe ich Freunde.","Am|Mittwoch|treffe|ich|Freunde|.","'treffen' means to meet.","On Wednesday I meet friends."
"Am Donnerstag lerne ich Deutsch.","Am|Donnerstag|lerne|ich|Deutsch|.","Donnerstag = Thursday.","On Thursday I learn German."
"Am Freitag fängt das Wochenende an.","Am|Freitag|fängt|das|Wochenende|an|.","'anfangen' is separable.","On Friday the weekend begins."
"Am Samstag gehen wir tanzen.","Am|Samstag|gehen|wir|tanzen|.","Two verbs: conjugated 'gehen' in pos 2, infinitive 'tanzen' at the end.","On Saturday we go dancing."
"Am Sonntag schlafe ich lange.","Am|Sonntag|schlafe|ich|lange|.","'lange' means for a long time.","On Sunday I sleep in."
"Im Januar ist es kalt.","Im|Januar|ist|es|kalt|.","Use 'im' (in dem) for all months. Time first -> Verb second.","In January it is cold."
"Im Februar habe ich Geburtstag.","Im|Februar|habe|ich|Geburtstag|.","'Geburtstag haben' means to have a birthday.","In February I have my birthday."
"Im März beginnt der Kurs.","Im|März|beginnt|der|Kurs|.","'beginnen' is not separable.","In March the course begins."
"Im April regnet es oft.","Im|April|regnet|es|oft|.","'oft' means often.","In April it often rains."
