test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich fahre mit null Bus.","dem","(Dative)","the (masc)","I travel by bus.","'mit' ALWAYS takes the Dative case. 'Bus' is masculine, so 'der' becomes 'dem'."
"Fährst du mit null Auto?","dem","(Dative)","the (neut)","Do you travel by car?","'Auto' is neutral, so 'das' becomes 'dem' after 'mit'."
"Wir fahren mit null Straßenbahn.","der","(Dative)","the (fem)","We travel by tram.","'Straßenbahn' is feminine, so 'die' becomes 'der' after 'mit'."
"Sie fährt mit null U-Bahn.","der","(Dative)","the (fem)","She travels by subway.","'U-Bahn' is feminine, so 'die' becomes 'der' in the Dative."
"Reisen Sie mit null Zug?","dem","(Dative)","the (masc)","Do you travel by train?","'Zug' is masculine, so 'der' becomes 'dem' in the Dative."
"Er fliegt mit null Flugzeug.","dem","(Dative)","the (neut)","He flies with the airplane.","'Flugzeug' is neutral, so 'das' becomes 'dem' in the Dative."
"Fahrt ihr mit null Fahrrad?","dem","(Dative)","the (neut)","Do you travel by bike?","'Fahrrad' is neutral, so 'das' becomes 'dem' in the Dative."
"Ich reise mit null Motorrad.","dem","(Dative)","the (neut)","I travel by motorcycle.","'Motorrad' is neutral, taking 'dem' in the Dative."
"Sie fahren mit null Metro.","der","(Dative)","the (fem)","They travel by metro.","'Metro' is feminine, taking 'der' in the Dative."
"Wir fahren mit null Tuktuk.","dem","(Dative)","the (neut)","We travel by auto rickshaw.","'Tuktuk' is neutral, taking 'dem' in the Dative."
"Wie komme ich null Bahnhof?","zum","(Preposition)","to the (masc)","How do I get to the train station?","'zu' + 'dem' merges into 'zum'. Used for masculine and neutral locations."
"Wie komme ich null Apotheke?","zur","(Preposition)","to the (fem)","How do I get to the pharmacy?","'zu' + 'der' merges into 'zur'. Used for feminine locations."
"Gehen wir null Supermarkt?","zum","(Preposition)","to the (masc)","Are we going to the supermarket?","'Supermarkt' is masculine, so 'zu dem' -> 'zum'."
"Er geht null Bushaltestelle.","zur","(Preposition)","to the (fem)","He goes to the bus stop.","'Bushaltestelle' is feminine, so 'zu der' -> 'zur'."
"Fahren Sie null Hauptbahnhof.","zum","(Preposition)","to the (masc)","Drive to the main train station.","'Hauptbahnhof' is masculine -> 'zum'."
"Ich gehe null Altstadt.","zur","(Preposition)","to the (fem)","I am going to the old town.","'Altstadt' is feminine -> 'zur'."
"Wir gehen null Strandbar.","zur","(Preposition)","to the (fem)","We are going to the beach bar.","'Strandbar' is feminine -> 'zur'."
"Fährst du null Hotel?","zum","(Preposition)","to the (neut)","Are you driving to the hotel?","'Hotel' is neutral -> 'zum'."
"Wir gehen null Rathaus.","zum","(Preposition)","to the (neut)","We go to the town hall.","'Rathaus' is neutral -> 'zum'."
"Ich gehe null Hause.","nach","(Preposition)","to","I am going home.","Fixed expression: 'nach Hause' (towards home)."
"Wir reisen null Japan.","nach","(Preposition)","to","We travel to Japan.","Use 'nach' for countries and cities without articles."
"Er fliegt null Berlin.","nach","(Preposition)","to","He flies to Berlin.","Use 'nach' for cities."
"Gehen Sie null links.","nach","(Preposition)","to","Go to the left.","Use 'nach' with directions like 'links' and 'rechts'."
"Biegen Sie null rechts ab.","nach","(Preposition)","to","Turn to the right.","Use 'nach' with directions."
"null Sie geradeaus!","Gehen","gehen","to go","Go straight ahead!","Formal Imperative: Infinitive verb + 'Sie'."
"null Sie mit dem Bus.","Fahren","fahren","to drive / travel","Travel by bus.","Formal Imperative: Infinitive + 'Sie'."
"null Sie die erste Straße rechts.","Nehmen","nehmen","to take","Take the first street on the right.","Formal Imperative: Infinitive + 'Sie'."
"null Sie einen Moment.","Warten","warten","to wait","Wait a moment.","Formal Imperative: Infinitive + 'Sie'."
"null Sie mir davon.","Erzählen","erzählen","to tell","Tell me about it.","Formal Imperative: Infinitive + 'Sie'."
"null Sie hier ab.","Biegen","abbiegen","to turn","Turn off here.","Formal Imperative: Separable verb 'abbiegen'. Prefix goes to the end."
"null Sie hier aus!","Steigen","aussteigen","to get off","Get off here!","Formal Imperative: Separable verb 'aussteigen'."
"null Sie ein!","Steigen","einsteigen","to board","Board! / Get on!","Formal Imperative: Separable verb 'einsteigen'."
"null Sie gesund!","Bleiben","bleiben","to stay","Stay healthy!","Formal Imperative: Infinitive + 'Sie'."
"null geradeaus!","Geh","gehen","to go","Go straight ahead! (informal)","Informal Imperative (du): Drop the '-en' and 'du'. (gehen -> geh)"
"null mit dem Bus!","Fahr","fahren","to drive / travel","Travel by bus! (informal)","Informal Imperative (du): Irregular verbs with an umlaut (ä) drop the umlaut in the imperative (fahren -> fahr)."
"null ein Taxi!","Nimm","nehmen","to take","Take a taxi! (informal)","Informal Imperative (du): 'nehmen' is irregular (nimm)."
"null die zweite Straße links!","Nimm","nehmen","to take","Take the second street left! (informal)","Informal Imperative (du): 'nehmen' -> 'nimm'."
"null einen Moment!","Warte","warten","to wait","Wait a moment! (informal)","Informal Imperative (du): Verbs ending in -t or -d add an '-e' (warte)."
"null mir die Geschichte!","Erzähl","erzählen","to tell","Tell me the story! (informal)","Informal Imperative (du): Drop the '-en' (erzähl)."
"null hier ab!","Bieg","abbiegen","to turn","Turn off here! (informal)","Informal Imperative (du): Separable prefix goes to the end."
"null hier aus!","Steig","aussteigen","to get off","Get off here! (informal)","Informal Imperative (du): Separable verb."
"null schnell ein!","Steig","einsteigen","to board","Board quickly! (informal)","Informal Imperative (du): Separable verb."
"null zu!","Hör","hören","to listen","Listen! (informal)","Informal Imperative (du): 'hören' -> 'hör'."
"null hier!","Bleib","bleiben","to stay","Stay here! (informal)","Informal Imperative (du): 'bleiben' -> 'bleib'."
"null geradeaus!","Geht","gehen","to go","Go straight ahead! (plural)","Plural Imperative (ihr): Use the regular 'ihr' conjugation and drop the pronoun 'ihr' (geht)."
"null mit dem Bus!","Fahrt","fahren","to drive / travel","Travel by bus! (plural)","Plural Imperative (ihr): fahren -> fahrt."
"null ein Taxi!","Nehmt","nehmen","to take","Take a taxi! (plural)","Plural Imperative (ihr): nehmen -> nehmt."
"null einen Moment!","Wartet","warten","to wait","Wait a moment! (plural)","Plural Imperative (ihr): warten -> wartet."
"null mir die Geschichte!","Erzählt","erzählen","to tell","Tell me the story! (plural)","Plural Imperative (ihr): erzählen -> erzählt."
"null hier ab!","Biegt","abbiegen","to turn","Turn off here! (plural)","Plural Imperative (ihr): abbiegen -> biegt ... ab."
"null hier aus!","Steigt","aussteigen","to get off","Get off here! (plural)","Plural Imperative (ihr): aussteigen -> steigt ... aus."
"Der Zug fährt um neun null.","ab","abfahren","to depart","The train departs at nine.","Separable Verb: 'abfahren'. Prefix 'ab' goes to the end."
"Wann fahrt ihr null?","ab","abfahren","to depart","When do you depart?","Separable Verb: 'abfahren'."
"Wann kommt der Zug null?","an","ankommen","to arrive","When does the train arrive?","Separable Verb: 'ankommen'. Prefix 'an' goes to the end."
"Wir kommen um 10 Uhr null.","an","ankommen","to arrive","We arrive at 10 o'clock.","Separable Verb: 'ankommen'."
"Bitte steigen Sie null!","ein","einsteigen","to board","Please board!","Separable Verb: 'einsteigen'. Prefix 'ein' at the end."
"Wir steigen am Bahnhof null.","aus","aussteigen","to get off","We get off at the train station.","Separable Verb: 'aussteigen'."
"Sie müssen in Berlin null.","umsteigen","umsteigen","to transfer","You must transfer in Berlin.","With a modal verb (müssen), the separable verb stays whole in the infinitive at the end."
"Wir steigen in Frankfurt null.","um","umsteigen","to transfer","We transfer in Frankfurt.","Separable Verb: 'umsteigen'. Prefix 'um' goes to the end."
"Kommst du heute null?","mit","mitkommen","to come along","Are you coming along today?","Separable Verb: 'mitkommen'. Prefix 'mit' goes to the end."
"Ich komme gerne null.","mit","mitkommen","to come along","I gladly come along.","Separable Verb: 'mitkommen'."
"Der Bahnhof ist null der rechten Seite.","auf","(Preposition)","on","The train station is on the right side.","Fixed expression: 'auf der rechten Seite'."
"Das Hotel ist null der linken Seite.","auf","(Preposition)","on","The hotel is on the left side.","Fixed expression: 'auf der linken Seite'."
"Ich gehe null Fuß.","zu","(Preposition)","on","I go on foot.","Fixed expression for walking: 'zu Fuß'."
"Gehen Sie null den Marktplatz.","über","(Preposition)","across","Go across the market square.","Preposition 'über' implies crossing a surface (takes accusative here)."
"Fahren Sie null den Park.","durch","(Preposition)","through","Drive through the park.","Preposition 'durch' implies moving through something (takes accusative)."
"Gehen Sie null der Kirche vorbei.","an","(Preposition)","past","Go past the church.","'an... vorbei' means 'past'. 'an' takes the dative case here (der Kirche)."
"Gibt es hier null U-Bahn?","eine","(Article)","a (fem)","Is there a subway here?","'es gibt' takes the accusative case. 'U-Bahn' is feminine -> 'eine'."
"Gibt es hier null Bahnhof?","einen","(Article)","a (masc)","Is there a train station here?","'es gibt' takes the accusative. 'Bahnhof' is masculine -> 'einen'."
"Gibt es hier null Tuktuk?","ein","(Article)","a (neut)","Is there an auto rickshaw here?","'es gibt' takes the accusative. 'Tuktuk' is neutral -> 'ein'."
"Ich bin mit dem Zug null.","gefahren","fahren","to travel","I traveled by train.","Perfekt of motion verb 'fahren' uses 'sein' + 'gefahren'."
"Wir sind nach Rom null.","geflogen","fliegen","to fly","We flew to Rome.","Perfekt of motion verb 'fliegen' uses 'sein' + 'geflogen'."
"Er ist gestern null.","angekommen","ankommen","to arrive","He arrived yesterday.","Perfekt of 'ankommen' uses 'sein' because it shows a change of location."
