sentence,words,tip,translation_en
"Entschuldigung, wo ist der Bahnhof?","Entschuldigung|,|wo|ist|der|Bahnhof|?","Polite way to ask for directions.","Excuse me, where is the train station?"
"Wie komme ich zum Hauptbahnhof?","Wie|komme|ich|zum|Hauptbahnhof|?","'zum' is short for 'zu dem' (dative masculine).","How do I get to the main train station?"
"Gehen Sie immer geradeaus.","Gehen|Sie|immer|geradeaus|.","Formal imperative command.","Go straight ahead."
"Gehen Sie die erste Straße rechts.","Gehen|Sie|die|erste|Straße|rechts|.","Ordinal number 'erste'.","Take the first street on the right."
"Gehen Sie die zweite Straße links.","Gehen|Sie|die|zweite|Straße|links|.","Ordinal number 'zweite'.","Take the second street on the left."
"Dann gehen Sie nach links.","Dann|gehen|Sie|nach|links|.","'nach links' means to the left.","Then go to the left."
"Gehen Sie nach rechts.","Gehen|Sie|nach|rechts|.","'nach rechts' means to the right.","Go to the right."
"Biegen Sie hier links ab.","Biegen|Sie|hier|links|ab|.","'abbiegen' (to turn) is a separable verb.","Turn left here."
"Biegen Sie rechts ab.","Biegen|Sie|rechts|ab|.","Separable prefix 'ab' goes to the end.","Turn right."
"Gehen Sie über den Marktplatz.","Gehen|Sie|über|den|Marktplatz|.","'über' takes accusative for movement.","Go across the market square."
"Gehen Sie durch den Park.","Gehen|Sie|durch|den|Park|.","'durch' takes the accusative case.","Go through the park."
"Gehen Sie an der Kirche vorbei.","Gehen|Sie|an|der|Kirche|vorbei|.","'an... vorbei' means past something (takes dative).","Go past the church."
"Der Bahnhof ist auf der rechten Seite.","Der|Bahnhof|ist|auf|der|rechten|Seite|.","Phrase for 'on the right side'.","The train station is on the right side."
"Das Hotel ist auf der linken Seite.","Das|Hotel|ist|auf|der|linken|Seite|.","Phrase for 'on the left side'.","The hotel is on the left side."
"Es ist nicht weit von hier.","Es|ist|nicht|weit|von|hier|.","'weit' means far.","It is not far from here."
"Fahren Sie mit dem Bus.","Fahren|Sie|mit|dem|Bus|.","'mit' requires the dative case (der Bus -> dem Bus).","Take the bus."
"Ich fahre mit dem Auto.","Ich|fahre|mit|dem|Auto|.","'Auto' is neutral (das Auto -> dem Auto).","I drive the car."
"Wir fahren mit der U-Bahn.","Wir|fahren|mit|der|U-Bahn|.","'U-Bahn' is feminine (die Bahn -> der U-Bahn).","We travel by subway."
"Fährst du mit dem Fahrrad?","Fährst|du|mit|dem|Fahrrad|?","'Fahrrad' is neutral.","Are you going by bicycle?"
"Sie fährt mit der Straßenbahn.","Sie|fährt|mit|der|Straßenbahn|.","'Straßenbahn' is feminine.","She travels by tram."
"Ich nehme ein Taxi.","Ich|nehme|ein|Taxi|.","'nehmen' (to take) takes accusative.","I'll take a taxi."
"Nehmen Sie den Bus Linie vier.","Nehmen|Sie|den|Bus|Linie|vier|.","'Bus' is masculine accusative (den).","Take bus line four."
"Wir gehen zu Fuß.","Wir|gehen|zu|Fuß|.","Fixed expression for walking.","We are going on foot."
"Wo ist die Bushaltestelle?","Wo|ist|die|Bushaltestelle|?","'Bushaltestelle' is feminine.","Where is the bus stop?"
"Wo ist der Taxistand?","Wo|ist|der|Taxistand|?","'Taxistand' is masculine.","Where is the taxi stand?"
"Wann fährt der Zug ab?","Wann|fährt|der|Zug|ab|?","'abfahren' (to depart) is a separable verb.","When does the train depart?"
"Der Zug fährt um neun Uhr ab.","Der|Zug|fährt|um|neun|Uhr|ab|.","Separable prefix 'ab' at the end.","The train departs at nine o'clock."
"Wann kommt der Zug an?","Wann|kommt|der|Zug|an|?","'ankommen' (to arrive) is a separable verb.","When does the train arrive?"
"Der Zug kommt um zehn Uhr an.","Der|Zug|kommt|um|zehn|Uhr|an|.","Separable prefix 'an' at the end.","The train arrives at ten o'clock."
"Wo müssen wir umsteigen?","Wo|müssen|wir|umsteigen|?","'umsteigen' (to transfer/change trains). Stays whole at the end because of modal verb 'müssen'.","Where do we have to transfer?"
"Sie müssen in Frankfurt umsteigen.","Sie|müssen|in|Frankfurt|umsteigen|.","Modal verb 'müssen' pushes 'umsteigen' to the end.","You must transfer in Frankfurt."
"Bitte einsteigen!","Bitte|einsteigen|!","Command often heard at stations.","Please board!"
"Steigen Sie hier aus!","Steigen|Sie|hier|aus|!","'aussteigen' (to get off).","Get off here!"
"Der Zug fährt auf Gleis vier ab.","Der|Zug|fährt|auf|Gleis|vier|ab|.","'Gleis' means track or platform.","The train departs from track four."
"Bitte achten Sie auf die Durchsage.","Bitte|achten|Sie|auf|die|Durchsage|.","'achten auf' means to pay attention to.","Please pay attention to the announcement."
"Wie lange dauert die Fahrt?","Wie|lange|dauert|die|Fahrt|?","'dauern' means to last/take time.","How long does the journey take?"
"Die Fahrt dauert zwei Stunden.","Die|Fahrt|dauert|zwei|Stunden|.","'Stunden' means hours.","The journey takes two hours."
"Ich kaufe ein Tagesticket.","Ich|kaufe|ein|Tagesticket|.","'Tagesticket' is neutral.","I buy a day ticket."
"Wir stehen im Stau.","Wir|stehen|im|Stau|.","'im Stau' means in a traffic jam.","We are stuck in a traffic jam."
"Der Verkehr ist schrecklich.","Der|Verkehr|ist|schrecklich|.","'Verkehr' means traffic.","The traffic is terrible."
"Ich bin unterwegs.","Ich|bin|unterwegs|.","Common phrase meaning 'on the way'.","I am on my way."
"Ich mache heute Sightseeing.","Ich|mache|heute|Sightseeing|.","English loanword.","I am doing sightseeing today."
"Wir besichtigen die Altstadt.","Wir|besichtigen|die|Altstadt|.","'besichtigen' means to visit/view.","We are visiting the old town."
"Wir machen einen Stadtrundgang.","Wir|machen|einen|Stadtrundgang|.","'Stadtrundgang' is masculine accusative.","We are doing a city walking tour."
"Das ist eine berühmte Sehenswürdigkeit.","Das|ist|eine|berühmte|Sehenswürdigkeit|.","'Sehenswürdigkeit' means attraction/sight.","That is a famous attraction."
"Das Rathaus ist sehr alt.","Das|Rathaus|ist|sehr|alt|.","'Rathaus' means city hall.","The town hall is very old."
