test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich stehe um sieben Uhr null.","auf","aufstehen","to get up","I get up at seven o'clock.","Separable Verb: 'auf' moves to the end of the sentence."
"Wann null du auf?","stehst","aufstehen","to get up","When do you get up?","In questions, the main verb stays in position 2, prefix at the end."
"Der Kurs fängt um neun Uhr null.","an","anfangen","to start","The course starts at nine o'clock.","Separable Verb: 'anfangen' prefix goes to the end."
"Wann null der Film an?","fängt","anfangen","to start","When does the movie start?","Irregular Separable Verb: 'a' changes to 'ä' in the 3rd person singular."
"Ich rufe dich später null.","an","anrufen","to call","I will call you later.","Separable Verb: 'anrufen' prefix 'an' moves to the very end."
"Rufen Sie mich morgen null!","an","anrufen","to call","Call me tomorrow!","Formal Command: 'Sie' form uses the infinitive + prefix at the end."
"Wir kaufen im Supermarkt null.","ein","einkaufen","to shop","We are shopping at the supermarket.","Separable Verb: Prefix 'ein' goes to the very end."
"Mach bitte das Licht null.","an","anmachen","to turn on","Please turn on the light.","Separable Verb: 'anmachen' prefix 'an' is at the end."
"Er macht das Radio null.","aus","ausmachen","to turn off","He turns off the radio.","Separable Verb: 'ausmachen' prefix 'aus' moves to the end."
"Wir steigen am Bahnhof null.","aus","aussteigen","to get off","We get off at the train station.","Separable Verb: 'aussteigen' prefix 'aus' moves to the end."
"Bitte steigen Sie null!","ein","einsteigen","to board","Please get on!","Separable Verb: 'einsteigen' prefix 'ein' goes to the end."
"Ich hole dich am Bahnhof null.","ab","abholen","to pick up","I am picking you up at the station.","Separable Verb: 'abholen' sends prefix 'ab' to the end."
"Ich ziehe eine Jacke null.","an","anziehen","to put on","I am putting on a jacket.","Separable Verb: 'anziehen' prefix 'an' moves to the end."
"Es ist Viertel null acht. (8:15)","nach","(Time)","past","It is quarter past eight.","Telling Time: 'nach' is used for the first 30 minutes of the hour."
"Es ist Viertel null neun. (8:45)","vor","(Time)","to","It is quarter to nine.","Telling Time: 'vor' is used for the last 30 minutes of the hour."
"Es ist null zehn. (9:30)","halb","(Time)","half past","It is half past nine.","Telling Time: 'halb' refers to the next hour (9:30 is halfway to 10)."
"Es ist fünf null halb zwölf. (11:25)","vor","(Time)","to","It is five to half-twelve.","Informal Time: Relating minutes to the half-hour mark."
"Es ist kurz null acht. (7:58)","vor","(Time)","shortly before","It is shortly before eight.","'kurz vor' indicates a time very close to the hour."
"Es ist kurz null neun. (9:02)","nach","(Time)","shortly after","It is shortly after nine.","'kurz nach' indicates a time very close to the hour."
"Der Kurs beginnt null acht Uhr.","um","(Preposition)","at (time)","The course starts at eight o'clock.","Prepositions of Time: Use 'um' for specific clock times."
"null Montag arbeite ich nicht.","Am","(Preposition)","On (day)","On Monday I don't work.","Prepositions of Time: Use 'am' (an dem) for days of the week."
"null Freitag habe ich Sport.","Am","(Preposition)","On (day)","On Friday I have sports.","Prepositions of Time: Always use 'am' for days."
"Ich schlafe null der Nacht.","in","(Preposition)","at night","I sleep at night.","Exception: Use 'in der Nacht' because 'Nacht' is feminine."
"Ich arbeite null Montag bis Freitag.","von","(Preposition)","from","I work from Monday to Friday.","'von' indicates the starting point of a timeframe."
"Ich arbeite von Montag null Freitag.","bis","(Preposition)","until","I work from Monday to Friday.","'bis' indicates the end point of a timeframe."
"Ich null Deutsch sprechen.","kann","können","can (I)","I can speak German.","Modal verb 'können' (1st person singular): irregular, no ending."
"null du Gitarre spielen?","Kannst","können","can (you)","Can you play the guitar?","Modal verb 'können' (2nd person singular): vowel change + st."
"Er null sehr gut schwimmen.","kann","können","can (he)","He can swim very well.","Modal verb rule: 3rd person singular is identical to the 1st person."
"Wir null heute nicht kommen.","können","können","can (we)","We cannot come today.","Modal verb 'wir' form is identical to the infinitive."
"null ihr mir helfen?","Könnt","können","can (you pl)","Can you (plural) help me?","Modal verb 'ihr' form adds -t."
"Sie null sehr gut kochen.","können","können","can (they)","They can cook very well.","'sie' (plural) form is identical to the infinitive."
"Ich null heute arbeiten.","muss","müssen","must (I)","I must work today.","'müssen' changes 'ü' to 'u' in the singular. 1st person singular: 'ich muss'."
"null du morgen lernen?","Musst","müssen","must (you)","Do you have to study tomorrow?","'müssen' (2nd person singular): 'du musst'."
"Er null zum Arzt gehen.","muss","müssen","must (he)","He has to go to the doctor.","3rd person singular 'muss' is same as 'ich muss'."
"Wir null Lebensmittel einkaufen.","müssen","müssen","must (we)","We must buy groceries.","'wir' form is identical to the infinitive."
"null ihr jetzt gehen?","Müsst","müssen","must (you pl)","Do you have to go now?","'ihr' form is regular: 'müsst'."
"Sie null heute zu Hause bleiben.","müssen","müssen","must (they)","They must stay at home today.","'sie' (plural) is identical to the infinitive."
"Ich null das Zimmer aufräumen.","muss","müssen","must (I)","I must tidy the room.","Main verb (infinitive) at the end."
"Wir null das Zimmer aufräumen.","müssen","müssen","must (we)","We must tidy the room.","Main verb (infinitive) at the end."
"null Sie jetzt gehen?","Müssen","müssen","must (formal)","Must you go now?","Formal question, verb in position 1."
"Morgens null ich Kaffee.","trinke","trinken","to drink","In the mornings I drink coffee.","Word Order: Time adverb in Pos 1 forces subject 'ich' to move to Pos 3."
"Mittags null ich in der Kantine.","esse","essen","to eat","At noon I eat in the cafeteria.","Inversion: Time adverb + Verb + Subject."
"Abends null ich fern.","sehe","fernsehen","to watch TV","In the evenings I watch TV.","'fernsehen' is separable. Prefix 'fern' goes to the very end."
"Nachts null ich acht Stunden.","schlafe","schlafen","to sleep","At night I sleep eight hours.","Verb in Pos 2."
"Im Januar null es oft.","regnet","regnen","to rain","In January it often rains.","'Im' is used for months."
"Im Februar null ich Geburtstag.","habe","haben","to have","In February I have a birthday.","'habe' (ich) conjugation."
"Im März null der Kurs an.","fängt","anfangen","to start","In March the course starts.","Separable verb 'anfangen' at the end."
"Im April null es oft.","regnet","regnen","to rain","In April it often rains.","'regnet' is 3rd person singular."
"Im Mai null wir Urlaub.","haben","haben","to have","In May we have a vacation.","'haben' (wir) conjugation."
"Im Juni null es warm.","ist","sein","to be","In June it is warm.","'ist' (3rd person singular of sein)."
"Im Juli null wir ans Meer.","fahren","fahren","to travel","In July we travel to the sea.","'fahren' (wir) conjugation."
"Im August null es heiß.","ist","sein","to be","In August it is hot.","'ist' (3rd person singular)."
"Im September null die Schule an.","fängt","anfangen","to start","In September school begins.","Separable prefix 'an' at the end."
"Im Oktober null das Oktoberfest.","ist","sein","to be","In October is the Oktoberfest.","'ist' (3rd person singular)."
"Im November null es dunkel.","ist","sein","to be","In November it is dark.","'ist' (3rd person singular)."
"Im Dezember null wir Weihnachten.","feiern","feiern","to celebrate","In December we celebrate Christmas.","'feiern' (wir) conjugation."
"Ich null gerne Rad.","fahre","Rad fahren","ride bike","I like to ride a bike.","'Rad fahren' -> 'fahre' is conjugated, 'Rad' goes to the end."
"Gehst du am Wochenende null?","wandern","wandern","to hike","Are you going hiking on the weekend?","Activity verb 'wandern' acts like an infinitive at the end."
"Er null Computerspiele.","spielt","spielen","to play","He plays computer games.","'spielt' (er) conjugation."
"Sie null sehr gut Klavier.","spielt","spielen","to play","She plays the piano very well.","'spielt' (sie) conjugation."
"Wir null Aerobic.","machen","machen","to do","We do aerobics.","'machen' (wir) conjugation."
"Ich null im Pool.","schwimme","schwimmen","to swim","I swim in the pool.","'schwimme' (ich) conjugation."
"Kommst du in die Disco?","null","(Movement)","to","Are you coming to the disco?","'in die' implies movement to the feminine target."
"Wir gehen heute in den Club.","null","(Movement)","into","We are going into the club today.","'in den' implies movement to the masculine target."
"Wie null man das auf Deutsch?","sagt","sagen","to say","How does one say that in German?","'man' conjugation uses the 3rd person singular (-t)."
"Was kann man hier null?","machen","machen","to do","What can one do here?","Modal verb + infinitive main verb at the end."
"Ich null die Antwort nicht.","weiß","wissen","to know","I do not know the answer.","'wissen' (ich) is irregular: 'ich weiß'."
"null du, wie spät es ist?","Weißt","wissen","to know","Do you know what time it is?","'wissen' (du) is 'weißt'."
"Das ist null inoffiziell.","doch","(Flavor)","indeed","That is indeed unofficial.","'doch' as a flavor particle adds emphasis."
" null Sie die Aufgabe an!","Kreuzen","ankreuzen","to check","Check the task!","Formal imperative of a separable verb."
"null Sie die Bilder zu.","Ordnen","zuordnen","to match","Match the pictures!","Formal imperative of a separable verb."
"null Sie das Bild ab.","Decken","abdecken","to cover","Cover the picture!","Formal imperative of a separable verb."
"null Sie den Dialog noch einmal.","Hören","hören","to listen","Listen to the dialogue again!","Formal imperative."
"null wir ein Kettenspiel!","Spielen","spielen","to play","Let's play a chain game!","'Wir-Imperativ' (Let's...)."
