test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich null Kaffee.","trinke","trinken","to drink","I drink coffee.","trinken: ich → trinke"
"null du Fleisch?","Isst","essen","to eat","Do you eat meat?","essen is irregular: du → isst"
"Er null kein Fleisch.","isst","essen","to eat","He doesn't eat meat.","kein = not any (negation before noun)"
"Ich null einen Apfel.","möchte","möchten","would like","I would like an apple.","möchten: ich → möchte"
"null es gut?","Schmeckt","schmecken","to taste","Does it taste good?","schmecken: es → schmeckt"
"null du Milch?","Magst","mögen","to like","Do you like milk?","mögen is irregular: du → magst"
"Was null Sie?","möchten","möchten","would like","What would you like? (formal)","möchten: Sie → möchten"
"Wir null im Restaurant.","essen","essen","to eat","We eat in the restaurant.","essen: wir → essen"
"Ich null gern Gemüse.","esse","essen","to eat","I like eating vegetables.","gern = gladly / like to"
"Das Brot null sehr gut.","schmeckt","schmecken","to taste","The bread tastes very good.","schmecken: es/das → schmeckt"
"null du gern Äpfel?","Isst","essen","to eat","Do you like eating apples?","essen irregular: du → isst"
"Ich null keinen Kaffee.","mag","mögen","to like","I don't like coffee.","mögen irregular: ich → mag; keinen = acc. masc. negation"
