sentence,words,tip,translation_en
"Herzlichen Glückwunsch zum Geburtstag!","Herzlichen|Glückwunsch|zum|Geburtstag|!","zum = zu dem; fixed expression","Happy birthday! (lit: Heartfelt congratulations on the birthday)"
"Ich lade dich zur Party ein.","Ich|lade|dich|zur|Party|ein|.","einladen separable: ein at end; zur = zu der","I invite you to the party."
"Wir feiern meinen Geburtstag.","Wir|feiern|meinen|Geburtstag|.","meinen = accusative masculine possessive","We celebrate my birthday."
"Er bringt ein Geschenk.","Er|bringt|ein|Geschenk|.","bringen: er → bringt","He brings a gift."
"Ich schenke dir ein Buch.","Ich|schenke|dir|ein|Buch|.","dir = dative (to you); ein Buch = accusative","I give you a book as a gift."
"Danke schön!","Danke|schön|!","fixed expression: Thank you very much","Thank you very much!"
"Kommst du zur Party?","Kommst|du|zur|Party|?","zur = zu der (dative feminine)","Are you coming to the party?"
"Ich gratuliere dir herzlich.","Ich|gratuliere|dir|herzlich|.","gratulieren + dative; herzlich = warmly","I congratulate you warmly."
"Das Fest ist sehr schön.","Das|Fest|ist|sehr|schön|.","sehr = very","The celebration is very nice."
"Wir haben viele Gäste.","Wir|haben|viele|Gäste|.","viele = many; Gäste = pl. of Gast","We have many guests."
