sentence,words,tip,translation_en
"Mein Hobby ist Schwimmen.","Mein|Hobby|ist|Schwimmen|.","Hobbys are often capitalized nouns","My hobby is swimming."
"Ich höre gern Musik.","Ich|höre|gern|Musik|.","gern = gladly/like to","I like listening to music."
"Spielst du Fußball?","Spielst|du|Fußball|?","verb first in yes/no questions","Do you play football?"
"Er liest jeden Tag ein Buch.","Er|liest|jeden|Tag|ein|Buch|.","lesen irregular: er → liest","He reads a book every day."
"Wir gehen ins Kino.","Wir|gehen|ins|Kino|.","ins = in das (neuter accusative)","We go to the cinema."
"Ich fahre gern Fahrrad.","Ich|fahre|gern|Fahrrad|.","fahren: ich → fahre","I like cycling."
"Sie tanzt sehr gut.","Sie|tanzt|sehr|gut|.","sehr = very","She dances very well."
"Hast du Zeit für ein Buch?","Hast|du|Zeit|für|ein|Buch|?","für + accusative","Do you have time for a book?"
"Ich reise gern nach Deutschland.","Ich|reise|gern|nach|Deutschland|.","nach + country names","I like travelling to Germany."
"Kochen macht Spaß.","Kochen|macht|Spaß|.","infinitive as noun = das Kochen","Cooking is fun."
