pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Name,der,m,Masculine by convention for this abstract concept.,Namen,name,"Wie ist Ihr Name?","What is your name?","Mein Name ist Thomas.","My name is Thomas."
noun,Land,das,n,Many country names are neuter.,Länder,country,"Aus welchem Land kommen Sie?","Which country are you from?","Deutschland ist ein schönes Land.","Germany is a beautiful country."
noun,Stadt,die,f,die Stadt — feminine (memorize).,Städte,city,"Ich wohne in einer Stadt.","I live in a city.","Berlin ist eine große Stadt.","Berlin is a big city."
noun,Herr,der,m,Natural gender: male title.,Herren,Mr. / sir,"Guten Tag, Herr Müller!","Good day, Mr. Müller!","Kennen Sie Herrn Bauer?","Do you know Mr. Bauer?"
noun,Frau,die,f,Natural gender: female title.,Frauen,Ms. / Mrs.,"Guten Morgen, Frau Schmidt!","Good morning, Ms. Schmidt!","Das ist Frau Wagner.","That is Ms. Wagner."
noun,Sprache,die,f,Most -e nouns are feminine.,Sprachen,language,"Deutsch ist eine schöne Sprache.","German is a beautiful language.","Welche Sprachen sprechen Sie?","Which languages do you speak?"
verb,heißen,,,—,,to be called / named,"Ich heiße Anna.","My name is Anna.","Wie heißt du?","What is your name?"
verb,kommen,,,—,,to come,"Woher kommst du?","Where do you come from?","Ich komme aus Deutschland.","I come from Germany."
verb,wohnen,,,—,,to live / reside,"Wo wohnst du?","Where do you live?","Ich wohne in Berlin.","I live in Berlin."
verb,sprechen,,,—,,to speak,"Sprechen Sie Deutsch?","Do you speak German?","Er spricht gut Englisch.","He speaks English well."
verb,sein,,,—,,to be,"Ich bin Student.","I am a student.","Bist du aus Österreich?","Are you from Austria?"
verb,kommen aus,,,—,,to come from / be from,"Ich komme aus Iran.","I come from Iran.","Er kommt aus der Schweiz.","He comes from Switzerland."
adv,hier,,,—,,here,"Ich wohne hier.","I live here.","Er ist hier.","He is here."
adv,auch,,,—,,also / too,"Ich komme auch aus Berlin.","I also come from Berlin.","Sprichst du auch Französisch?","Do you speak French too?"
pron,ich,,,—,,I (1st person singular),"Ich heiße Maria.","My name is Maria.","Ich komme aus Teheran.","I come from Tehran."
pron,du,,,—,,you (informal singular),"Woher kommst du?","Where do you come from?","Wie heißt du?","What is your name?"
pron,Sie,,,—,,you (formal singular/plural),"Woher kommen Sie?","Where do you come from (formal)?","Sprechen Sie Deutsch?","Do you speak German?"
