sentence,words,tip,translation_en
"Ich stehe um 7 Uhr auf.","Ich|stehe|um|7|Uhr|auf|.","aufstehen separable: auf at end","I get up at 7 o'clock."
"Wann fängt der Unterricht an?","Wann|fängt|der|Unterricht|an|?","anfangen: fängt...an separable","When does the class start?"
"Es ist halb acht.","Es|ist|halb|acht|.","halb acht = half past seven (7:30)","It is half past seven."
"Ich frühstücke um 8 Uhr.","Ich|frühstücke|um|8|Uhr|.","um + time = at (a time)","I have breakfast at 8 o'clock."
"Sie arbeitet täglich von 9 bis 17 Uhr.","Sie|arbeitet|täglich|von|9|bis|17|Uhr|.","von...bis = from...to","She works every day from 9 to 5."
"Am Abend lese ich gern.","Am|Abend|lese|ich|gern|.","Am = An dem; inversion after time word","In the evening I like reading."
"Stehst du früh auf?","Stehst|du|früh|auf|?","auf at end of separable verb question","Do you get up early?"
"Er schläft bis 9 Uhr.","Er|schläft|bis|9|Uhr|.","bis = until","He sleeps until 9 o'clock."
"Ich lerne jeden Tag Deutsch.","Ich|lerne|jeden|Tag|Deutsch|.","jeden Tag = every day","I learn German every day."
"Die Arbeit fängt um 8 an.","Die|Arbeit|fängt|um|8|an|.","Work starts at 8.","Work starts at 8."
