test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich null einen Bruder.","habe","haben","to have","I have one brother.","haben: ich → habe"
"null du Geschwister?","Hast","haben","to have","Do you have siblings?","haben: du → hast"
"Meine Mutter null Anna.","heißt","heißen","to be called","My mother's name is Anna.","heißen: sie/er/es → heißt"
"Das null mein Sohn.","ist","sein","to be","That is my son.","sein: das/es → ist"
"null Sie Kinder?","Haben","haben","to have","Do you have children? (formal)","haben: Sie → haben"
"Mein Bruder null jung.","ist","sein","to be","My brother is young.","sein: er/sie/es → ist"
"Wir null eine große Familie.","haben","haben","to have","We have a big family.","haben: wir → haben"
"Mein Vater null aus Hamburg.","kommt","kommen","to come","My father comes from Hamburg.","kommen: er → kommt"
"Wie alt null du?","bist","sein","to be","How old are you?","sein: du → bist"
"Meine Schwester null in Hamburg.","wohnt","wohnen","to live","My sister lives in Hamburg.","wohnen: sie → wohnt"
"Ich null keine Geschwister.","habe","haben","to have","I have no siblings.","haben: ich → habe; keine = not any"
"Das Kind null im Park.","spielt","spielen","to play","The child plays in the park.","spielen: es → spielt"
