test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich null eine Hose.","kaufe","kaufen","to buy","I buy a pair of trousers.","kaufen: ich → kaufe"
"null das Hemd?","Kostet","kosten","to cost","How much does the shirt cost?","kosten: es → kostet"
"Ich null eine Jacke.","brauche","brauchen","to need","I need a jacket.","brauchen: ich → brauche"
"Er null ein rotes Hemd.","trägt","tragen","to wear","He wears a red shirt.","tragen irregular: er → trägt"
"Die Hose null schwarz.","ist","sein","to be","The trousers are black.","sein: die Hose ist"
"null du die Größe?","Kennst","kennen","to know","Do you know the size?","kennen: du → kennst"
"Ich null eine neue Jacke.","kaufe","kaufen","to buy","I buy a new jacket.","kaufen: ich → kaufe"
"Was null das?","kostet","kosten","to cost","What does that cost?","kosten: das → kostet"
"Die Schuhe null teuer.","sind","sein","to be","The shoes are expensive.","sein: die Schuhe sind"
"Welche Farbe null du?","magst","mögen","to like","Which colour do you like?","mögen irregular: du → magst"
"Ich null keine weißen Schuhe.","trage","tragen","to wear","I don't wear white shoes.","tragen: ich → trage"
"null Sie die Größe?","Haben","haben","to have","Do you have the size?","haben: Sie → haben (formal)"
