sentence,words,tip,translation_en
"Ich trinke Kaffee.","Ich|trinke|Kaffee|.","trinken: ich → trinke","I drink coffee."
"Magst du Brot?","Magst|du|Brot|?","mögen irregular: du → magst","Do you like bread?"
"Ich möchte einen Apfel.","Ich|möchte|einen|Apfel|.","einen = accusative masculine article","I would like an apple."
"Schmeckt es gut?","Schmeckt|es|gut|?","es = it (neuter subject)","Does it taste good?"
"Ich esse kein Fleisch.","Ich|esse|kein|Fleisch|.","kein = none/not any (neuter)","I don't eat meat."
"Was möchten Sie trinken?","Was|möchten|Sie|trinken|?","formal + infinitive at sentence end","What would you like to drink?"
"Er trinkt gern Tee.","Er|trinkt|gern|Tee|.","gern = gladly / likes to","He likes drinking tea."
"Das Gemüse schmeckt gut.","Das|Gemüse|schmeckt|gut|.","das Gemüse — neuter","The vegetables taste good."
"Wir essen im Restaurant.","Wir|essen|im|Restaurant|.","im = in dem (contraction, dative)","We eat at the restaurant."
"Ich mag keinen Kaffee.","Ich|mag|keinen|Kaffee|.","keinen = kein + accusative masculine","I don't like coffee."
