pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Familie,die,f,die Familie — feminine (memorize).,Familien,family,"Meine Familie ist groß.","My family is big.","Ich liebe meine Familie.","I love my family."
noun,Mutter,die,f,Natural gender: female parent.,Mütter,mother,"Meine Mutter heißt Anna.","My mother's name is Anna.","Meine Mutter arbeitet in Wien.","My mother works in Vienna."
noun,Vater,der,m,Natural gender: male parent.,Väter,father,"Mein Vater kommt aus Hamburg.","My father comes from Hamburg.","Mein Vater ist Arzt.","My father is a doctor."
noun,Bruder,der,m,Natural gender: male sibling.,Brüder,brother,"Ich habe einen Bruder.","I have one brother.","Mein Bruder ist jung.","My brother is young."
noun,Schwester,die,f,Natural gender: female sibling.,Schwestern,sister,"Meine Schwester heißt Lena.","My sister's name is Lena.","Ich habe zwei Schwestern.","I have two sisters."
noun,Sohn,der,m,Natural gender: male child.,Söhne,son,"Das ist mein Sohn.","That is my son.","Mein Sohn lernt Deutsch.","My son is learning German."
noun,Tochter,die,f,Natural gender: female child.,Töchter,daughter,"Meine Tochter ist sieben Jahre alt.","My daughter is seven years old.",,,
noun,Großmutter,die,f,Compound ending in -Mutter (feminine).,Großmütter,grandmother,"Meine Großmutter wohnt in München.","My grandmother lives in Munich.",,,
noun,Großvater,der,m,Compound ending in -Vater (masculine).,Großväter,grandfather,"Mein Großvater kocht sehr gern.","My grandfather loves to cook.",,,
noun,Kind,das,n,Grammatically neuter regardless of sex.,Kinder,child,"Das Kind spielt im Park.","The child plays in the park.","Haben Sie Kinder?","Do you have children?"
noun,Mann,der,m,Natural gender: male adult.,Männer,husband / man,"Mein Mann heißt Thomas.","My husband is called Thomas.",,,
noun,Frau,die,f,Natural gender: female adult.,Frauen,wife / woman,"Meine Frau arbeitet in Berlin.","My wife works in Berlin.",,,
noun,Geschwister,die,f,Always plural in German.,—,siblings,"Hast du Geschwister?","Do you have siblings?","Ich habe keine Geschwister.","I have no siblings."
adj,jung,,,—,,young,"Mein Bruder ist jung.","My brother is young.","Das ist ein junges Kind.","That is a young child."
adj,alt,,,—,,old,"Meine Großmutter ist alt.","My grandmother is old.","Wie alt bist du?","How old are you?"
verb,haben,,,—,,to have,"Ich habe einen Bruder.","I have one brother.","Haben Sie Kinder?","Do you have children?"
