test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich null Lehrerin.","bin","sein","to be","I am a (female) teacher.","No article before professions: Ich bin Lehrerin."
"Was null du beruflich?","machst","machen","to do","What do you do professionally?","machen: du → machst"
"Er null Medizin an der Uni.","studiert","studieren","to study","He studies medicine at university.","studieren: er → studiert"
"Wir null in einer Schule.","arbeiten","arbeiten","to work","We work in a school.","arbeiten: wir → arbeiten"
"Ich null Deutsch.","lerne","lernen","to learn","I am learning German.","lernen: ich → lerne"
"null du Fußball?","Spielst","spielen","to play","Do you play football?","spielen: du → spielst"
"Sie null Ärztin.","ist","sein","to be","She is a doctor.","sein: sie → ist"
"Wo null deine Mutter?","arbeitet","arbeiten","to work","Where does your mother work?","arbeiten: sie → arbeitet"
"Das Kind null im Park.","spielt","spielen","to play","The child plays in the park.","spielen: es → spielt"
"Was null ihr heute?","macht","machen","to do","What are you (pl.) doing today?","machen: ihr → macht"
"Ich null zur Schule.","gehe","gehen","to go","I go to school.","gehen: ich → gehe"
"null Sie Englisch?","Studieren","studieren","to study","Do you study English? (formal)","studieren: Sie → studieren"
