test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich null dir ein Geschenk.","schenke","schenken","to give (as gift)","I give you a gift.","schenken + dative person + accusative thing"
"Wir null den Geburtstag.","feiern","feiern","to celebrate","We celebrate the birthday.","feiern: wir → feiern"
"Ich null dir!","gratuliere","gratulieren","to congratulate","I congratulate you!","gratulieren + dative: dir = to you"
"Er null einen Kuchen.","bringt","bringen","to bring","He brings a cake.","bringen: er → bringt"
"null Sie heute Abend?","Feiern","feiern","to celebrate","Are you celebrating tonight? (formal)","feiern: Sie → feiern (formal)"
"Ich null die Freunde ein.","lade","einladen","to invite","I invite the friends.","einladen separable: lade...ein"
"null du mir?","Hilfst","helfen","to help","Do you help me?","helfen + dative: mir = to me"
"Ich null einen Freund.","danke","danken","to thank","I thank a friend.","danken + dative (person)"
"Das Fest null schön.","ist","sein","to be","The celebration is nice.","sein: das Fest ist"
"Ich null dir gern.","helfe","helfen","to help","I help you gladly.","helfen: ich → helfe; dir = dative"
"null du zur Party?","Kommst","kommen","to come","Are you coming to the party?","kommen: du → kommst"
"Er null mir ein Buch.","schenkt","schenken","to give (as gift)","He gives me a book.","schenken: er → schenkt"
