sentence,words,tip,translation_en
"Meine Wohnung hat drei Zimmer.","Meine|Wohnung|hat|drei|Zimmer|.","drei = three","My apartment has three rooms."
"Das Wohnzimmer ist hell.","Das|Wohnzimmer|ist|hell|.","hell = bright","The living room is bright."
"Ich wohne in einem Haus.","Ich|wohne|in|einem|Haus|.","in einem = in a (dative masculine/neuter)","I live in a house."
"Die Küche ist modern.","Die|Küche|ist|modern|.","modern = modern","The kitchen is modern."
"Das Bad ist klein.","Das|Bad|ist|klein|.","klein = small","The bathroom is small."
"Haben Sie ein Schlafzimmer?","Haben|Sie|ein|Schlafzimmer|?","ein = indefinite article (neuter accusative)","Do you have a bedroom?"
"Der Stuhl ist bequem.","Der|Stuhl|ist|bequem|.","bequem = comfortable","The chair is comfortable."
"Wie viele Zimmer hat die Wohnung?","Wie|viele|Zimmer|hat|die|Wohnung|?","Wie viele = how many","How many rooms does the apartment have?"
"Das Bett ist sehr groß.","Das|Bett|ist|sehr|groß|.","sehr = very","The bed is very big."
"Die Wohnung ist schön und ruhig.","Die|Wohnung|ist|schön|und|ruhig|.","und = and","The apartment is nice and quiet."
