sentence,words,tip,translation_en
"Ich heiße Anna.","Ich|heiße|Anna|.","heißen introduces names","My name is Anna."
"Woher kommst du?","Woher|kommst|du|?","W-question: Woher = from where","Where do you come from?"
"Ich komme aus Deutschland.","Ich|komme|aus|Deutschland|.","aus + country name (no article)","I come from Germany."
"Wo wohnst du?","Wo|wohnst|du|?","W-question: Wo = where","Where do you live?"
"Ich wohne in Berlin.","Ich|wohne|in|Berlin|.","in + city name (no article)","I live in Berlin."
"Guten Morgen!","Guten|Morgen|!","Morning greeting — used until about noon","Good morning!"
"Guten Tag!","Guten|Tag|!","General daytime greeting","Good day!"
"Tschüss!","Tschüss|!","Informal farewell","Bye!"
"Auf Wiedersehen!","Auf|Wiedersehen|!","Formal farewell","Goodbye!"
"Sprechen Sie Deutsch?","Sprechen|Sie|Deutsch|?","Formal address: verb first, capital S for Sie","Do you speak German?"
"Ich bin Student.","Ich|bin|Student|.","sein: ich bin — no article before professions","I am a student."
"Wie heißen Sie?","Wie|heißen|Sie|?","Formal: heißen + Sie","What is your name (formal)?"
