sentence,words,tip,translation_en
"Ich bin krank.","Ich|bin|krank|.","sein: ich → bin","I am ill."
"Mein Arm tut weh.","Mein|Arm|tut|weh|.","wehtun is separable: tut...weh","My arm hurts."
"Ich gehe zum Arzt.","Ich|gehe|zum|Arzt|.","zum = zu dem (dative masculine)","I go to the doctor."
"Wie fühlen Sie sich?","Wie|fühlen|Sie|sich|?","reflexive verb sich fühlen","How do you feel?"
"Er ist im Krankenhaus.","Er|ist|im|Krankenhaus|.","im = in dem (dative neuter)","He is in hospital."
"Ich nehme das Medikament.","Ich|nehme|das|Medikament|.","nehmen irregular: ich → nehme","I take the medicine."
"Die Ärztin hilft mir.","Die|Ärztin|hilft|mir|.","helfen + dative: mir = to me","The doctor helps me."
"Hast du Bauchschmerzen?","Hast|du|Bauchschmerzen|?","Bauchschmerzen — always plural","Do you have a stomachache?"
"Ich schlafe nicht gut.","Ich|schlafe|nicht|gut|.","nicht gut = not well","I don't sleep well."
"Das Medikament hilft gut.","Das|Medikament|hilft|gut|.","hilft = helps (3rd pers. sing.)","The medicine helps well."
