sentence,words,tip,translation_en
"Ich bin Studentin.","Ich|bin|Studentin|.","No article before professions","I am a (female) student."
"Was machst du beruflich?","Was|machst|du|beruflich|?","beruflich = professionally","What do you do for work?"
"Er studiert Medizin.","Er|studiert|Medizin|.","studieren for university study","He studies medicine."
"Meine Mutter arbeitet in Berlin.","Meine|Mutter|arbeitet|in|Berlin|.","arbeiten: sie → arbeitet","My mother works in Berlin."
"Ich lerne jeden Tag Deutsch.","Ich|lerne|jeden|Tag|Deutsch|.","jeden Tag = every day","I learn German every day."
"Spielst du Fußball?","Spielst|du|Fußball|?","Yes/No question — verb comes first","Do you play football?"
"Wir gehen zur Schule.","Wir|gehen|zur|Schule|.","gehen + zur (= zu + der, dative feminine)","We go to school."
"Er ist Arzt.","Er|ist|Arzt|.","No article before professions","He is a doctor."
"Was machst du gern?","Was|machst|du|gern|?","gern = gladly / like to","What do you like doing?"
"Ich mache meine Hausaufgaben.","Ich|mache|meine|Hausaufgaben|.","Hausaufgaben = homework (always plural)","I am doing my homework."
