sentence,words,tip,translation_en
"Ich habe einen Bruder.","Ich|habe|einen|Bruder|.","einen = indefinite article (accusative masculine)","I have one brother."
"Meine Mutter heißt Anna.","Meine|Mutter|heißt|Anna|.","meine = my (feminine noun)","My mother's name is Anna."
"Hast du Geschwister?","Hast|du|Geschwister|?","Geschwister = siblings, always plural","Do you have siblings?"
"Das ist mein Vater.","Das|ist|mein|Vater|.","Das ist = That is","That is my father."
"Meine Familie ist groß.","Meine|Familie|ist|groß|.","groß = big","My family is big."
"Haben Sie Kinder?","Haben|Sie|Kinder|?","formal question — verb first, capital Sie","Do you have children?"
"Mein Sohn ist sieben Jahre alt.","Mein|Sohn|ist|sieben|Jahre|alt|.","Jahre alt = years old","My son is seven years old."
"Ich habe keine Geschwister.","Ich|habe|keine|Geschwister|.","keine = not any (plural)","I have no siblings."
"Wie alt ist deine Tochter?","Wie|alt|ist|deine|Tochter|?","Wie alt = how old; deine = your (informal)","How old is your daughter?"
"Mein Großvater kocht sehr gern.","Mein|Großvater|kocht|sehr|gern|.","gern = gladly / likes to; sehr = very","My grandfather loves to cook."
