sentence,words,tip,translation_en
"Ich fahre mit dem Bus.","Ich|fahre|mit|dem|Bus|.","mit + dative: dem Bus","I travel by bus."
"Wo ist der Bahnhof?","Wo|ist|der|Bahnhof|?","Wo = where","Where is the station?"
"Gehen Sie geradeaus.","Gehen|Sie|geradeaus|.","formal imperative: Verb first","Go straight ahead."
"Biegen Sie rechts ab.","Biegen|Sie|rechts|ab|.","abbiegen separable: ab at the end","Turn right."
"Der Bahnhof ist nicht weit.","Der|Bahnhof|ist|nicht|weit|.","nicht weit = not far","The station is not far."
"Ich kaufe ein Ticket.","Ich|kaufe|ein|Ticket|.","ein (neuter) = indefinite article","I buy a ticket."
"Die Haltestelle ist links.","Die|Haltestelle|ist|links|.","links = on the left","The bus stop is on the left."
"Er fährt jeden Tag mit der Bahn.","Er|fährt|jeden|Tag|mit|der|Bahn|.","mit + dative; jeden Tag = every day","He travels by train every day."
"Wie komme ich zum Flughafen?","Wie|komme|ich|zum|Flughafen|?","zum = zu dem (dative masc.)","How do I get to the airport?"
"Das Auto ist zu weit weg.","Das|Auto|ist|zu|weit|weg|.","zu weit weg = too far away","The car is too far away."
