sentence,words,tip,translation_en
"Guten Tag, was fehlt Ihnen?","Guten|Tag|,|was|fehlt|Ihnen|?","At the doctor's","Good day, what ails you? (What seems to be the problem?)"
"Mein Kopf tut schrecklich weh.","Mein|Kopf|tut|schrecklich|weh|.","wehtun (separable)","My head hurts terribly."
"Ich habe starke Bauchschmerzen und Fieber.","Ich|habe|starke|Bauchschmerzen|und|Fieber|.","Symptoms","I have severe stomachache and fever."
"Bitte machen Sie den Mund auf.","Bitte|machen|Sie|den|Mund|auf|.","At the doctor's","Please open your mouth."
"Ihr Hals ist sehr rot, Sie haben eine Erkältung.","Ihr|Hals|ist|sehr|rot|,|Sie|haben|eine|Erkältung|.","Diagnosis","Your throat is very red, you have a cold."
"Ich verschreibe Ihnen ein paar Tabletten.","Ich|verschreibe|Ihnen|ein|paar|Tabletten|.","verschreiben","I am prescribing you some pills."
"Wie muss ich die Medikamente einnehmen?","Wie|muss|ich|die|Medikamente|einnehmen|?","einnehmen","How must I take the medication?"
"Nehmen Sie das zweimal täglich nach dem Essen.","Nehmen|Sie|das|zweimal|täglich|nach|dem|Essen|.","Dosage instructions","Take that twice daily after eating."
"Diese Salbe hilft gegen die Schmerzen im Bein.","Diese|Salbe|hilft|gegen|die|Schmerzen|im|Bein|.","Medicine vocabulary","This ointment helps against the pain in the leg."
"Haben Sie ein Pflaster für meinen Finger?","Haben|Sie|ein|Pflaster|für|meinen|Finger|?","Pharmacy vocabulary","Do you have a Band-Aid for my finger?"
"Die Apotheke ist von 8 bis 18 Uhr geöffnet.","Die|Apotheke|ist|von|8|bis|18|Uhr|geöffnet|.","von ... bis","The pharmacy is open from 8 to 6 PM."
"Ich arbeite heute nur bis 14 Uhr.","Ich|arbeite|heute|nur|bis|14|Uhr|.","bis + Zeit","I am only working until 2 PM today."
"Ich wünsche Ihnen gute Besserung!","Ich|wünsche|Ihnen|gute|Besserung|!","Common phrase","I wish you a good recovery! (Get well soon!)"
"Wenn ich gesund wäre, wäre ich glücklich.","Wenn|ich|gesund|wäre|,|wäre|ich|glücklich|.","Konjunktiv II (wäre)","If I were healthy, I would be happy."
"Ich wäre gern am Strand und nicht im Büro.","Ich|wäre|gern|am|Strand|und|nicht|im|Büro|.","Konjunktiv II (wäre)","I would like to be at the beach and not in the office."
"Wärst du gern ein Millionär?","Wärst|du|gern|ein|Millionär|?","Konjunktiv II (wärst)","Would you like to be a millionaire?"
"Ein guter Freund ist das Wichtigste im Leben.","Ein|guter|Freund|ist|das|Wichtigste|im|Leben|.","Adjektivdeklination (ein guter)","A good friend is the most important thing in life."
"Eine nette Familie macht mich glücklich.","Eine|nette|Familie|macht|mich|glücklich|.","Adjektivdeklination (eine nette)","A nice family makes me happy."
"Ein gesundes Leben ist besser als viel Geld.","Ein|gesundes|Leben|ist|besser|als|viel|Geld|.","Adjektivdeklination (ein gesundes)","A healthy life is better than a lot of money."
