test_text,answer,test_verb,tip,meaning,grammar_tip
"null Mantel gefällt dir? (Which)","Welcher","welcher","Which coat (masculine, nominative)","Which coat do you like?","Welcher (Nominativ, maskulin)"
"Ich finde null Mantel schön. (This)","diesen","dieser","This coat (masculine, accusative)","I find this coat beautiful.","diesen (Akkusativ, maskulin)"
"null Jacke suchst du? (Which)","Welche","welcher","Which jacket (feminine, accusative)","Which jacket are you looking for?","Welche (Akkusativ, feminin)"
"Ich nehme null Jacke. (This)","diese","dieser","This jacket (feminine, accusative)","I'll take this jacket.","diese (Akkusativ, feminin)"
"null Kleid trägst du? (Which)","Welches","welcher","Which dress (neuter, accusative)","Which dress are you wearing?","Welches (Akkusativ, neutral)"
"Ich trage null Kleid. (This)","dieses","dieser","This dress (neuter, accusative)","I wear this dress.","dieses (Akkusativ, neutral)"
"null Schuhe kaufst du? (Which)","Welche","welcher","Which shoes (plural, accusative)","Which shoes are you buying?","Welche (Akkusativ, plural)"
"Ich kaufe null Schuhe. (These)","diese","dieser","These shoes (plural, accusative)","I am buying these shoes.","diese (Akkusativ, plural)"
"null Anzug ist chic? (Which)","Welcher","welcher","Which suit (masculine, nominative)","Which suit is chic?","Welcher (Nominativ, maskulin)"
"null Anzug kauft er? (Which)","Welchen","welcher","Which suit (masculine, accusative)","Which suit is he buying?","Welchen (Akkusativ, maskulin)"
"null Hose passt dir? (Which)","Welche","welcher","Which pants (feminine, nominative)","Which pants fit you?","Welche (Nominativ, feminin)"
"Ich mag null Hose. (This)","diese","dieser","This pants (feminine, accusative)","I like these pants.","diese (Akkusativ, feminin)"
"null T-Shirt ist zu klein. (This)","Dieses","dieser","This T-Shirt (neuter, nominative)","This t-shirt is too small.","Dieses (Nominativ, neutral)"
"Wir brauchen null Größe. (Which)","welche","welcher","Which size (feminine, accusative)","Which size do we need?","welche (Akkusativ, feminin)"
"null Stiefel (Pl.) sind warm? (Which)","Welche","welcher","Which boots (plural, nominative)","Which boots are warm?","Welche (Nominativ, plural)"
"Ich kaufe null Mantel hier. (This)","diesen","dieser","This coat (masculine, accusative)","I am buying this coat here.","diesen (Akkusativ, maskulin)"
"null Kleid steht ihr gut. (This)","Dieses","dieser","This dress (neuter, nominative)","This dress suits her well.","Dieses (Nominativ, neutral)"
"Ich trage null Rock am liebsten. (This)","diesen","dieser","This skirt (masculine, accusative)","I prefer to wear this skirt most of all.","diesen (Akkusativ, maskulin)"
"null T-Shirt gefällt mir. (This)","Dieses","dieser","This t-shirt (neuter, nominative)","This t-shirt pleases me.","Dieses (Nominativ, neutral)"
"Gefällt dir null Anzug? (this)","dieser","dieser","This suit (masculine, nominative)","Do you like this suit?","dieser (Nominativ, maskulin)"
"Die Jacke ist null als der Mantel. (more beautiful)","schöner","schön","more beautiful","The jacket is more beautiful than the coat.","Komparativ: schön -> schöner"
"Anna ist groß, aber Maria ist noch null. (taller)","größer","groß","taller","Anna is tall, but Maria is even taller.","Komparativ: groß -> größer (umlaut)"
"Der Rock ist null als das Kleid. (shorter)","kürzer","kurz","shorter","The skirt is shorter than the dress.","Komparativ: kurz -> kürzer (umlaut)"
"Die Hose ist null als das T-Shirt. (tighter)","enger","eng","tighter","The pants are tighter than the t-shirt.","Komparativ: eng -> enger"
"Das Kleid ist lang, aber der Mantel ist null. (longer)","länger","lang","longer","The dress is long, but the coat is longer.","Komparativ: lang -> länger (umlaut)"
"Ich spiele gut Tennis, aber du spielst null. (better)","besser","gut","better","I play tennis well, but you play better.","Irregular Komparativ: gut -> besser"
"Berliner Mode finde ich am null. (best)","besten","gut","best","I find Berlin fashion the best.","Superlativ: gut -> am besten"
"Er isst gerne Pizza, aber Pasta isst er null. (rather)","lieber","gerne","rather/prefer","He likes eating pizza, but he prefers eating pasta.","Irregular Komparativ: gerne -> lieber"
"Am null trage ich Jeans. (most of all)","liebsten","gerne","most of all / preferably","I prefer wearing jeans the most.","Superlativ: gerne -> am liebsten"
"Sie arbeitet viel, aber er arbeitet noch null. (more)","mehr","viel","more","She works a lot, but he works even more.","Irregular Komparativ: viel -> mehr"
"Am null lernt sie Deutsch. (most)","meisten","viel","most","She learns German the most.","Superlativ: viel -> am meisten"
"Dieses Auto ist null als mein Auto. (smaller)","kleiner","klein","smaller","This car is smaller than my car.","Komparativ: klein -> kleiner"
"Das T-Shirt ist null als die Bluse. (cheaper)","billiger","billig","cheaper","The t-shirt is cheaper than the blouse.","Komparativ: billig -> billiger"
"Mode in Paris ist null als in Berlin. (more expensive)","teurer","teuer","more expensive","Fashion in Paris is more expensive than in Berlin.","Komparativ: teuer -> teurer (e drops)"
"Das ist der null Filmstar! (most successful)","erfolgreichste","erfolgreich","most successful","That is the most successful movie star!","Superlativ before noun"
"Ich finde diesen Anzug null als jenen. (more chic)","chicer","chic","more chic","I find this suit more chic than that one.","Komparativ: chic -> chicer"
"Welcher Mantel gefällt dir null? (better)","besser","gut","better","Which coat do you like better?","Irregular Komparativ: gut -> besser"
"Diesen Mantel finde ich am null. (best)","besten","gut","best","I like this coat the best.","Superlativ: gut -> am besten"
"Ich trage null T-Shirts als Hemden. (prefer/rather)","lieber","gerne","rather","I prefer wearing t-shirts over shirts.","Irregular Komparativ: gerne -> lieber"
"Welche Kleidung magst du am null? (most of all)","liebsten","gerne","most of all","Which clothing do you like the most?","Superlativ: gerne -> am liebsten"
"Du hast viel Kleidung, aber sie hat null. (more)","mehr","viel","more","You have a lot of clothes, but she has more.","Irregular Komparativ: viel -> mehr"
"Wer hat am null Schuhe? (the most)","meisten","viel","most","Who has the most shoes?","Superlativ: viel -> am meisten"
"Ist die Hose null als die Jeans? (wider/looser)","weiter","weit","looser","Are the pants looser than the jeans?","Komparativ: weit -> weiter"
"Das ist das null Kleid hier. (most beautiful)","schönste","schön","most beautiful","That is the most beautiful dress here.","Superlativ before noun: schön -> schönste"
"Die Jacke steht dir null. (well/good)","gut","gut","good","The jacket looks good on you.","Positive form: gut"
"Welches T-Shirt ist null? (cheaper)","billiger","billig","cheaper","Which t-shirt is cheaper?","Komparativ: billig -> billiger"
"null Rock kaufst du? (Which)","Welchen","welcher","Which skirt (masculine, accusative)","Which skirt are you buying?","Welchen (Akkusativ, maskulin)"
"Ich finde null Stiefel (Pl.) toll. (these)","diese","dieser","These boots (plural, accusative)","I find these boots great.","diese (Akkusativ, plural)"
"Wie sieht null Mann aus? (this)","dieser","dieser","This man (masculine, nominative)","What does this man look like?","dieser (Nominativ, maskulin)"
"null Frau hat blaue Augen. (This)","Diese","dieser","This woman (feminine, nominative)","This woman has blue eyes.","Diese (Nominativ, feminin)"
"Kaufst du null Mantel? (this)","diesen","dieser","This coat (masculine, accusative)","Are you buying this coat?","diesen (Akkusativ, maskulin)"
"Trägst du null Kleid? (this)","dieses","dieser","This dress (neuter, accusative)","Are you wearing this dress?","dieses (Akkusativ, neutral)"
"null Hemden sind chic. (These)","Diese","dieser","These shirts (plural, nominative)","These shirts are chic.","Diese (Nominativ, plural)"
"Ich brauche null T-Shirt. (this)","dieses","dieser","This t-shirt (neuter, accusative)","I need this t-shirt.","dieses (Akkusativ, neutral)"
"null Brille passt mir nicht. (This)","Diese","dieser","This glasses (feminine, nominative)","These glasses don't fit me.","Diese (Nominativ, feminin)"
