text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Entschuldigung, wo finde ich die Herrenschuhe? Fahren Sie mit der Rolltreppe ins erste Obergeschoss.","Wo sind die Herrenschuhe?","Im ersten Obergeschoss.","Im Erdgeschoss.","Im Untergeschoss.","Im zweiten Stock.","Excuse me, where do I find men's shoes? Take the escalator to the first upper floor.","Listen for the floor 'im ersten Obergeschoss'."
"Der Aufzug ist leider kaputt. Sie müssen die Treppe nehmen.","Wie müssen die Kunden nach oben?","Sie müssen die Treppe nehmen.","Mit dem Aufzug.","Mit der Rolltreppe.","Sie dürfen nicht nach oben.","The elevator is unfortunately broken. You must take the stairs.","Listen for the alternative 'die Treppe nehmen'."
"Wenn Sie den Pullover umtauschen möchten, gehen Sie bitte mit dem Kassenbon zum Kundenservice.","Was braucht der Kunde für den Umtausch?","Den Kassenbon.","Einen neuen Pullover.","Eine Garantie.","Geld.","If you want to exchange the sweater, please go to customer service with the receipt.","Listen for 'mit dem Kassenbon'."
"Ich habe das neue Handy gekauft, aber es funktioniert nicht. Ich möchte die Garantie nutzen.","Was ist das Problem des Kunden?","Das neue Handy funktioniert nicht.","Er hat den Kassenbon verloren.","Die Garantie ist abgelaufen.","Das Handy ist zu teuer.","I bought the new cell phone, but it doesn't work. I want to use the warranty.","Listen for the problem 'funktioniert nicht'."
"Der Tisch in der Mitte ist aus Glas, aber die Stühle sind aus Metall.","Woraus sind die Stühle?","Aus Metall.","Aus Glas.","Aus Holz.","Aus Plastik.","The table in the middle is made of glass, but the chairs are made of metal.","Listen for the material of the chairs 'aus Metall'."
"Ist das eine Ledertasche? Nein, die Tasche ist aus festem Stoff, aber sie sieht aus wie Leder.","Aus welchem Material ist die Tasche?","Aus festem Stoff.","Aus Leder.","Aus Plastik.","Aus Baumwolle.","Is that a leather bag? No, the bag is made of firm fabric, but it looks like leather.","Listen for the actual material 'aus festem Stoff'."
"Wir suchen einen runden Tisch für die Küche. Eckige Tische nehmen zu viel Platz weg.","Welche Form soll der Tisch haben?","Rund.","Eckig.","Flach.","Spitz.","We are looking for a round table for the kitchen. Square tables take up too much space.","Listen for the desired shape 'runden Tisch'."
"Der Karton ist aus Pappe und deshalb extrem leicht.","Warum ist der Karton sehr leicht?","Weil er aus Pappe ist.","Weil er leer ist.","Weil er klein ist.","Weil er aus Plastik ist.","The box is made of cardboard and therefore extremely light.","Listen for the material 'aus Pappe'."
"Ich habe heute keine Zeit zum Kochen. Wir lassen uns einfach Pizza liefern!","Was machen sie für das Abendessen?","Sie lassen sich Pizza liefern.","Sie kochen selbst.","Sie gehen ins Restaurant.","Sie essen Reste aus dem Kühlschrank.","I have no time to cook today. We will just have pizza delivered!","Listen for the phrase 'Pizza liefern' with 'lassen'."
"Mein Auto ist kaputt. Ich muss es dringend reparieren lassen.","Was muss er mit dem Auto machen?","Er muss es reparieren lassen.","Er muss es putzen.","Er muss es verkaufen.","Er muss es waschen lassen.","My car is broken. I urgently need to have it repaired.","Listen for 'reparieren lassen'."
"Gehst du morgen zum Friseur? Ja, ich lasse mir die Haare ganz kurz schneiden.","Was passiert morgen beim Friseur?","Sie lässt sich die Haare ganz kurz schneiden.","Sie wäscht ihre Haare.","Sie kauft Shampoo.","Sie bewirbt sich als Friseurin.","Are you going to the hairdresser tomorrow? Yes, I am having my hair cut very short.","Listen for 'Haare ganz kurz schneiden'."
