test_text,answer,test_verb,tip,meaning,grammar_tip
"Wie geht es null? (you, informal)","dir","gehen","How are you?","How are you? (informal)","Dativ: du -> dir"
"Wie geht es null? (you, formal)","Ihnen","gehen","How are you?","How are you? (formal)","Dativ: Sie -> Ihnen"
"Wie geht es null? (him)","ihm","gehen","How is he?","How is he?","Dativ: er -> ihm"
"Wie geht es null? (her)","ihr","gehen","How is she?","How is she?","Dativ: sie -> ihr"
"Wie geht es null? (you guys)","euch","gehen","How are you guys?","How are you all?","Dativ: ihr -> euch"
"Wie geht es null? (us)","uns","gehen","How are we?","How are we?","Dativ: wir -> uns"
"Mir geht null sehr gut.","es","gehen","I am doing very well.","I am doing very well.","es geht + Dativ"
"Hallo, wie geht's null? (you, informal)","dir","gehen","How are you?","Hello, how are you?","Short form of 'Wie geht es dir?'"
"Das gefällt null sehr. (me)","mir","gefallen","I like that very much.","I like that very much. (It is pleasing to me)","Dativ: ich -> mir"
"Ich helfe null. (you, formal)","Ihnen","helfen","I help you.","I am helping you.","Dativ: Sie -> Ihnen"
"Hast du das Auto null?","abgeholt","abholen","Did you pick up the car?","Did you pick up the car?","Perfekt trennbar: ab + ge + holt"
"Ich habe es schon null.","abgeholt","abholen","I already picked it up.","I already picked it up.","Perfekt trennbar: ab + ge + holt"
"Wir haben die Getränke null.","eingekauft","einkaufen","We shopped for drinks.","We bought the drinks.","Perfekt trennbar: ein + ge + kauft"
"Hast du deine Mutter null?","angerufen","anrufen","Did you call your mother?","Did you call your mother?","Perfekt trennbar: an + ge + rufen"
"Ich habe die E-Mail null.","ausgedruckt","ausdrucken","I printed the email.","I printed the email.","Perfekt trennbar: aus + ge + druckt"
"Er hat das Licht null.","ausgemacht","ausmachen","He turned off the light.","He turned off the light.","Perfekt trennbar: aus + ge + macht"
"Ich bin heute früh null.","aufgestanden","aufstehen","I got up early.","I got up early today.","Perfekt trennbar with sein: auf + ge + standen"
"Wann bist du null?","aufgestanden","aufstehen","When did you get up?","When did you get up?","Perfekt trennbar with sein: auf + ge + standen"
"Ich habe sie im Kurs null.","kennengelernt","kennenlernen","I got to know her.","I met her in the course.","Perfekt trennbar: kennen + ge + lernt"
"Hast du ihn null?","eingeladen","einladen","Did you invite him?","Did you invite him?","Perfekt trennbar: ein + ge + laden"
"Sie hat alle Freunde null.","eingeladen","einladen","She invited all friends.","She invited all her friends.","Perfekt trennbar: ein + ge + laden"
"Ich habe mein Profil im Internet null.","vorgestellt","vorstellen","I introduced my profile.","I presented my profile on the internet.","Perfekt trennbar: vor + ge + stellt"
"Er hat gestern null.","eingekauft","einkaufen","He went shopping yesterday.","He shopped yesterday.","Perfekt trennbar: ein + ge + kauft"
"Sie hat das Dokument null.","ausgedruckt","ausdrucken","She printed the document.","She printed the document.","Perfekt trennbar: aus + ge + druckt"
"Hast du das Licht null?","ausgemacht","ausmachen","Did you turn off the light?","Did you turn off the light?","Perfekt trennbar: aus + ge + macht"
"Wir sind um acht Uhr null.","aufgestanden","aufstehen","We got up at eight.","We got up at 8 o'clock.","Perfekt trennbar with sein: auf + ge + standen"
"Er lernt null einem Jahr Deutsch.","seit","lernen","For a year","He has been learning German for a year.","seit + Dativ (das Jahr -> einem Jahr)"
"Ich wohne null vier Monaten in Berlin.","seit","wohnen","For four months","I have been living in Berlin for four months.","seit + Dativ (Plural + n -> vier Monaten)"
"Sie studiert null einer Woche hier.","seit","studieren","For a week","She has been studying here for a week.","seit + Dativ (die Woche -> einer Woche)"
"Wir kennen uns null einem Monat.","seit","kennen","For a month","We have known each other for a month.","seit + Dativ (der Monat -> einem Monat)"
"Ich arbeite hier null drei Jahren.","seit","arbeiten","For three years","I have been working here for three years.","seit + Dativ (Plural + n -> drei Jahren)"
"Seit null (when) lernst du Deutsch?","wann","lernen","Since when","Since when have you been learning German?","Seit wann (fixed question word)"
"Ich bin null einem Tag hier.","seit","sein","For one day","I have been here for one day.","seit + Dativ (der Tag -> einem Tag)"
"Null zwei Wochen besuche ich den Kurs.","Seit","besuchen","For two weeks","I have been attending the course for two weeks.","seit + Dativ (Plural -> zwei Wochen)"
"Ich lerne Deutsch, null ich in Berlin arbeiten möchte.","weil","lernen","because","I am learning German because I want to work in Berlin.","weil sends the conjugated verb to the end"
"Sie kauft ein, null sie Hunger hat.","weil","einkaufen","because","She is shopping because she is hungry.","weil sends the conjugated verb to the end"
"Er lernt, null er einen Test schreibt.","weil","lernen","because","He is studying because he is taking a test.","weil sends the conjugated verb to the end"
"Ich stehe früh auf, null ich arbeiten muss.","weil","aufstehen","because","I get up early because I have to work.","weil sends the conjugated verb to the end"
