text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Können Sie mir sagen, wo der nächste Geldautomat ist? Ja, gleich um die Ecke.","Was sucht die Person?","Einen Geldautomaten.","Die Post.","Eine Briefmarke.","Einen Kredit.","Can you tell me where the nearest ATM is? Yes, right around the corner.","Listen for 'wo der nächste Geldautomat ist'."
"Ich möchte 200 Euro von meinem Girokonto abheben, bitte. Gern, haben Sie Ihre Karte dabei?","Was möchte der Kunde machen?","200 Euro abheben.","Ein Konto eröffnen.","Geld überweisen.","Einen Brief schicken.","I would like to withdraw 200 euros from my checking account, please. Gladly, do you have your card with you?","Listen for '200 Euro ... abheben'."
"Wissen Sie, ob diese Bank Gebühren für die Kontoführung verlangt?","Was möchte die Person wissen?","Ob die Bank Gebühren verlangt.","Wo der Schalter ist.","Wann die Bank schließt.","Wem das Geld gehört.","Do you know if this bank charges fees for account management?","Listen for the indirect question 'ob diese Bank Gebühren ... verlangt'."
"Guten Tag, Herr Weber. Ist das hier Ihre EC-Karte? Ja, die habe ich gesucht!","Was hat Herr Weber gesucht?","Seine EC-Karte.","Seinen Pass.","Seine Geheimzahl.","Sein Bargeld.","Good day, Mr. Weber. Is this your debit card here? Yes, I was looking for it!","Listen for 'Ihre EC-Karte'."
"Das Geld wird morgen auf Ihr Konto überwiesen. Es dauert einen Tag.","Was passiert mit dem Geld?","Es wird morgen überwiesen.","Es wird bar ausgezahlt.","Es wird gestohlen.","Es wird heute gesendet.","The money will be transferred to your account tomorrow. It takes one day.","Listen for the passive construction 'wird morgen ... überwiesen'."
"Wem gehört die Tasche am Schalter? Ah, die gehört mir. Danke!","Wem gehört die Tasche?","Der Person, die antwortet (mir).","Dem Bankmitarbeiter.","Frau Müller.","Dem Chef.","Who does the bag at the counter belong to? Ah, it belongs to me. Thanks!","Listen for the response 'die gehört mir'."
"Darf ich fragen, wie viel Sie in Ihrem neuen Job verdienen? Tut mir leid, das ist ein Tabu.","Worüber möchte die Person nicht sprechen?","Über ihr Gehalt / wie viel sie verdient (Tabu).","Über ihre Gesundheit.","Über ihre Familie.","Über ihre Freunde.","May I ask how much you earn in your new job? I'm sorry, that is a taboo.","Listen for 'wie viel Sie in Ihrem neuen Job verdienen' and 'Tabu'."
"Gesundheit und eine gute Familie sind mir viel wichtiger als Geld.","Was ist der Person wichtiger als Geld?","Gesundheit und Familie.","Autos und Häuser.","Urlaub und Reisen.","Briefe und E-Mails.","Health and a good family are much more important to me than money.","Listen for 'Gesundheit und eine gute Familie'."
"Das Päckchen wird heute vom Postboten geliefert. Sie müssen zu Hause sein.","Wer liefert das Päckchen?","Der Postbote.","Der Bankmitarbeiter.","Der Nachbar.","Niemand.","The small package is being delivered by the postman today. You have to be at home.","Listen for the passive 'wird ... vom Postboten geliefert'."
"Können Sie mir sagen, wie viel eine Briefmarke für diesen Umschlag kostet?","Was fragt die Kundin?","Wie viel eine Briefmarke kostet.","Wo der Ausgang ist.","Wann die Post öffnet.","Ob das Paket ankommt.","Can you tell me how much a stamp for this envelope costs?","Listen for 'wie viel eine Briefmarke ... kostet'."
"Ich habe einen Brief geschrieben. Er wird morgen früh verschickt.","Wann wird der Brief verschickt?","Morgen früh.","Heute Abend.","Gleich jetzt.","Übermorgen.","I wrote a letter. It is being sent tomorrow morning.","Listen for the time in the passive sentence: 'wird morgen früh verschickt'."
