sentence,words,tip,translation_en
Wir planen gemeinsam einen Kurzurlaub.,Wir|planen|gemeinsam|einen|Kurzurlaub|.,gemeinsam means together.,We are planning a short vacation together.
Unser Reiseziel ist die Nordsee.,Unser|Reiseziel|ist|die|Nordsee|.,Reiseziel is neuter.,Our destination is the North Sea.
Ich freue mich auf den Strand.,Ich|freue|mich|auf|den|Strand|.,sich freuen auf takes accusative.,I am looking forward to the beach.
Worauf freust du dich am meisten?,Worauf|freust|du|dich|am|meisten|?,worauf asks about a thing with auf.,What are you looking forward to most?
Ich freue mich darauf.,Ich|freue|mich|darauf|.,darauf refers back to a thing or event.,I am looking forward to it.
Denk bitte an die Fahrkarten.,Denk|bitte|an|die|Fahrkarten|.,denken an takes accusative.,Please remember the tickets.
Wir warten an der Haltestelle auf den Bus.,Wir|warten|an|der|Haltestelle|auf|den|Bus|.,Location plus prepositional verb.,We are waiting for the bus at the stop.
Gehen Sie an der Kreuzung nach links.,Gehen|Sie|an|der|Kreuzung|nach|links|.,Wegbeschreibung phrase.,Turn left at the intersection.
Der Zug hat zwanzig Minuten Verspätung.,Der|Zug|hat|zwanzig|Minuten|Verspätung|.,Verspätung is feminine.,The train is delayed by twenty minutes.
Wir fahren vom Bahnhof bis zum Hotel.,Wir|fahren|vom|Bahnhof|bis|zum|Hotel|.,von ... bis zu marks a route.,We travel from the station to the hotel.
Wir bleiben für drei Tage in Wien.,Wir|bleiben|für|drei|Tage|in|Wien|.,für expresses duration.,We are staying in Vienna for three days.
Auf Reisen mache ich gern Selfies.,Auf|Reisen|mache|ich|gern|Selfies|.,auf Reisen means while traveling.,I like taking selfies while traveling.
