test_text,answer,test_verb,tip,meaning,grammar_tip
"Das Geld null überwiesen. (is being)","wird","werden","is being (Passive Present)","The money is being transferred.","Passiv Präsens: werden + Partizip II (Geld -> wird)"
"Der Brief null geschrieben. (is being)","wird","werden","is being (Passive Present)","The letter is being written.","Passiv Präsens: werden + Partizip II (Brief -> wird)"
"Die Pakete null geliefert. (are being)","werden","werden","are being (Passive Present)","The packages are being delivered.","Passiv Präsens: werden + Partizip II (Pakete -> werden)"
"Die Rechnung null bezahlt. (is being)","wird","werden","is being (Passive Present)","The bill is being paid.","Passiv Präsens: werden + Partizip II (Rechnung -> wird)"
"Hier null ein Haus gebaut. (is being)","wird","werden","is being (Passive Present)","A house is being built here.","Passiv Präsens: werden + Partizip II (Haus -> wird)"
"Die E-Mails null gelesen. (are being)","werden","werden","are being (Passive Present)","The emails are being read.","Passiv Präsens: werden + Partizip II (E-Mails -> werden)"
"Die SMS null sofort geschickt. (is being)","wird","werden","is being (Passive Present)","The SMS is being sent immediately.","Passiv Präsens: werden + Partizip II (SMS -> wird)"
"Das Konto null eröffnet. (is being)","wird","werden","is being (Passive Present)","The account is being opened.","Passiv Präsens: werden + Partizip II (Konto -> wird)"
"Weißt du, null die Bank heute offen ist? (if/whether)","ob","ob","if / whether","Do you know if the bank is open today?","Indirekte Frage: Ja/Nein-Frage wird mit 'ob' eingeleitet (Verb am Ende)."
"Können Sie mir sagen, null ich unterschreiben muss? (if/whether)","ob","ob","if / whether","Can you tell me if I have to sign?","Indirekte Frage: Ja/Nein-Frage wird mit 'ob' eingeleitet."
"Ich frage, null er das Geld überwiesen hat. (if/whether)","ob","ob","if / whether","I am asking if he transferred the money.","Indirekte Frage: Ja/Nein-Frage wird mit 'ob' eingeleitet."
"Weißt du, null der Geldautomat ist? (where)","wo","wo","where","Do you know where the ATM is?","Indirekte Frage mit Fragewort (wo): Verb am Ende."
"Können Sie mir sagen, null die Post schließt? (when)","wann","wann","when","Can you tell me when the post office closes?","Indirekte Frage mit Fragewort (wann): Verb am Ende."
"Ich weiß nicht, null dieses Paket kostet. (how much)","wie viel","wie viel","how much","I don't know how much this package costs.","Indirekte Frage mit Fragewort (wie viel): Verb am Ende."
