sentence,words,tip,translation_en
"Früher war alles anders.","Früher|war|alles|anders|.","Präteritum von sein","In the past, everything was different."
"Wir wohnten damals in einer kleinen Wohnung.","Wir|wohnten|damals|in|einer|kleinen|Wohnung|.","Präteritum von wohnen","We lived in a small apartment back then."
"Meine Eltern lernten sich an der Uni kennen.","Meine|Eltern|lernten|sich|an|der|Uni|kennen|.","Präteritum trennbar (kennenlernen)","My parents met each other at the university."
"Wir trafen uns auf einer Party.","Wir|trafen|uns|auf|einer|Party|.","Präteritum von treffen + reziprok","We met at a party."
"Es war Liebe auf den ersten Blick.","Es|war|Liebe|auf|den|ersten|Blick|.","Common phrase (Präteritum)","It was love at first sight."
"Sie heirateten letztes Jahr im Sommer.","Sie|heirateten|letztes|Jahr|im|Sommer|.","Präteritum von heiraten","They got married last year in the summer."
"Leider trennten sie sich im Januar.","Leider|trennten|sie|sich|im|Januar|.","Präteritum von trennen + reziprok","Unfortunately they separated in January."
"Meine Eltern sind geschieden.","Meine|Eltern|sind|geschieden|.","Family vocabulary","My parents are divorced."
"Ich wuchs in einer Patchworkfamilie auf.","Ich|wuchs|in|einer|Patchworkfamilie|auf|.","Präteritum trennbar (aufwachsen)","I grew up in a blended family."
"Hast du Geschwister?","Hast|du|Geschwister|?","Family vocabulary","Do you have siblings?"
"Ja, ich habe einen Bruder und eine Schwester.","Ja|,|ich|habe|einen|Bruder|und|eine|Schwester|.","Family vocabulary","Yes, I have a brother and a sister."
"Meine Oma und mein Opa leben in Spanien.","Meine|Oma|und|mein|Opa|leben|in|Spanien|.","Family vocabulary","My grandma and grandpa live in Spain."
"Wir besuchen oft unsere Verwandten.","Wir|besuchen|oft|unsere|Verwandten|.","Family vocabulary","We often visit our relatives."
"Mein Onkel hat zwei Kinder, meine Cousins.","Mein|Onkel|hat|zwei|Kinder|,|meine|Cousins|.","Family vocabulary","My uncle has two children, my cousins."
