test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich null so gern reich! (would be)","wäre","sein","Konjunktiv II: ich wäre","I would so much like to be rich!","Konjunktiv II von sein: ich wäre"
"Wenn ich gesund null... (were)","wäre","sein","Konjunktiv II: ich wäre","If I were healthy...","Konjunktiv II von sein: ich wäre"
"null du gern ein Millionär? (Would you be)","Wärst","sein","Konjunktiv II: du wärst","Would you like to be a millionaire?","Konjunktiv II von sein: du wärst"
"Wenn du hier null, wäre ich glücklich. (were)","wärst","sein","Konjunktiv II: du wärst","If you were here, I would be happy.","Konjunktiv II von sein: du wärst"
"Er null gern groß und stark. (would be)","wäre","sein","Konjunktiv II: er/sie/es wäre","He would like to be big and strong.","Konjunktiv II von sein: er/sie/es wäre"
"Sie null gern eine berühmte Ärztin. (would be - she)","wäre","sein","Konjunktiv II: er/sie/es wäre","She would like to be a famous doctor.","Konjunktiv II von sein: er/sie/es wäre"
"Wir null gern im Urlaub am Strand. (would be)","wären","sein","Konjunktiv II: wir wären","We would like to be on vacation at the beach.","Konjunktiv II von sein: wir wären"
"null ihr gern wieder Kinder? (Would you guys be)","Wärt","sein","Konjunktiv II: ihr wärt","Would you guys like to be children again?","Konjunktiv II von sein: ihr wärt"
"Die Kinder null gern draußen. (would be)","wären","sein","Konjunktiv II: sie (Pl) wären","The children would like to be outside.","Konjunktiv II von sein: sie (Plural) wären"
"null Sie gern jünger, Herr Müller? (Would you be - formal)","Wären","sein","Konjunktiv II: Sie wären","Would you like to be younger, Mr. Müller?","Konjunktiv II von sein: Sie wären"
"Ich bin genauso alt null mein Bruder. (as)","wie","wie","Vergleich (gleich): genauso ... wie","I am just as old as my brother.","Gleichheit: genauso + Adjektiv + wie"
"Meine Schwester ist genauso groß null ich. (as)","wie","wie","Vergleich (gleich): genauso ... wie","My sister is just as tall as I am.","Gleichheit: genauso + Adjektiv + wie"
"Der Hals tut genauso weh null der Kopf. (as)","wie","wie","Vergleich (gleich): genauso ... wie","The throat hurts just as much as the head.","Gleichheit: genauso + Adjektiv + wie"
"Berlin ist größer null München. (than)","als","als","Vergleich (ungleich): Komparativ + als","Berlin is bigger than Munich.","Ungleichheit: Komparativ + als"
"Die Tabletten helfen besser null die Salbe. (than)","als","als","Vergleich (ungleich): Komparativ + als","The pills help better than the ointment.","Ungleichheit: Komparativ + als"
"Er ist viel älter null seine Freundin. (than)","als","als","Vergleich (ungleich): Komparativ + als","He is much older than his girlfriend.","Ungleichheit: Komparativ + als"
"Yoga ist entspannender null Joggen. (than)","als","als","Vergleich (ungleich): Komparativ + als","Yoga is more relaxing than jogging.","Ungleichheit: Komparativ + als"
"Wir arbeiten von Montag null Freitag. (until/to)","bis","bis","von ... bis","We work from Monday to Friday.","Temporale Präposition: von ... bis"
"Die Apotheke hat null 18 Uhr geöffnet. (until)","bis","bis","bis + Uhrzeit","The pharmacy is open until 6 PM.","Temporale Präposition: bis"
"Der Arzt ist null 8 bis 12 Uhr in der Praxis. (from)","von","von","von ... bis","The doctor is in the practice from 8 to 12 o'clock.","Temporale Präposition: von ... bis"
"Ich habe Urlaub von Juli null August. (until/to)","bis","bis","von ... bis","I have vacation from July to August.","Temporale Präposition: von ... bis"
"Er ist ein nett null Arzt. (nice - nom m)","er","nett","ein netter (m)","He is a nice doctor.","Adjektivdeklination Nominativ (ein): maskulin -> -er"
"Das ist ein gut null Mann. (good - nom m)","er","gut","ein guter (m)","That is a good man.","Adjektivdeklination Nominativ (ein): maskulin -> -er"
"Sie ist eine freundlich null Ärztin. (friendly - nom f)","e","freundlich","eine freundliche (f)","She is a friendly doctor.","Adjektivdeklination Nominativ (eine): feminin -> -e"
"Das ist eine stark null Tablette. (strong - nom f)","e","stark","eine starke (f)","That is a strong pill.","Adjektivdeklination Nominativ (eine): feminin -> -e"
"Wir haben ein klein null Problem. (small - nom n)","es","klein","ein kleines (n)","We have a small problem.","Adjektivdeklination Nominativ (ein): neutral -> -es"
"Das ist ein krank null Kind. (sick - nom n)","es","krank","ein krankes (n)","That is a sick child.","Adjektivdeklination Nominativ (ein): neutral -> -es"
