sentence,words,tip,translation_en
"Was war dein Lebenstraum als Kind?","Was|war|dein|Lebenstraum|als|Kind|?","Asking about childhood dreams","What was your lifelong dream as a child?"
"Als Kind wollte ich Tierarzt werden.","Als|Kind|wollte|ich|Tierarzt|werden|.","Präteritum (wollte)","As a child I wanted to become a veterinarian."
"Ich wollte schon immer Pilot werden.","Ich|wollte|schon|immer|Pilot|werden|.","Präteritum (wollte)","I always wanted to become a pilot."
"Was ist wichtig in deinem Job?","Was|ist|wichtig|in|deinem|Job|?","Talking about work","What is important in your job?"
"Gutes Gehalt und flexible Arbeitszeiten sind mir wichtig.","Gutes|Gehalt|und|flexible|Arbeitszeiten|sind|mir|wichtig|.","Workplace priorities","Good salary and flexible working hours are important to me."
"Teamarbeit ist extrem wichtig für mich.","Teamarbeit|ist|extrem|wichtig|für|mich|.","Workplace priorities","Teamwork is extremely important to me."
"Ich möchte gerne selbstständig arbeiten.","Ich|möchte|gerne|selbstständig|arbeiten|.","Workplace preferences","I would like to work independently."
"Welche Schulfächer hattest du?","Welche|Schulfächer|hattest|du|?","Präteritum (hattest)","Which school subjects did you have?"
"In welchem Fach warst du gut?","In|welchem|Fach|warst|du|gut|?","Präteritum (warst)","In which subject were you good?"
"Ich war sehr gut in Mathematik und Chemie.","Ich|war|sehr|gut|in|Mathematik|und|Chemie|.","Talking about school","I was very good in mathematics and chemistry."
"In Physik war ich leider ziemlich schlecht.","In|Physik|war|ich|leider|ziemlich|schlecht|.","Talking about school","Unfortunately, I was quite bad in physics."
"Wer war dein Lieblingslehrer in der Schule?","Wer|war|dein|Lieblingslehrer|in|der|Schule|?","Präteritum (war)","Who was your favorite teacher in school?"
"Meine Musiklehrerin war fantastisch, ich mochte sie sehr.","Meine|Musiklehrerin|war|fantastisch|,|ich|mochte|sie|sehr|.","Präteritum (mochte)","My music teacher was fantastic, I liked her a lot."
"Ich konnte die Grammatik nie richtig verstehen.","Ich|konnte|die|Grammatik|nie|richtig|verstehen|.","Präteritum (konnte)","I could never really understand the grammar."
"Wir mussten für das Abitur sehr viel lernen.","Wir|mussten|für|das|Abitur|sehr|viel|lernen|.","Präteritum (mussten)","We had to study a lot for the high school diploma."
"Als Kind durfte ich nicht so lange fernsehen.","Als|Kind|durfte|ich|nicht|so|lange|fernsehen|.","Präteritum (durfte)","As a child I wasn't allowed to watch TV that long."
"Ich bewerbe mich um die Stelle als Koch.","Ich|bewerbe|mich|um|die|Stelle|als|Koch|.","sich bewerben um","I am applying for the position as a cook."
"Ich habe die Stellenanzeige in der Zeitung gelesen.","Ich|habe|die|Stellenanzeige|in|der|Zeitung|gelesen|.","Job application vocabulary","I read the job advertisement in the newspaper."
"Ein gutes Bewerbungsschreiben ist der erste Schritt.","Ein|gutes|Bewerbungsschreiben|ist|der|erste|Schritt|.","Job application vocabulary","A good cover letter is the first step."
"Sie müssen auch Ihren Lebenslauf mitschicken.","Sie|müssen|auch|Ihren|Lebenslauf|mitschicken|.","Job application vocabulary","You must also send your CV along."
"Ich habe heute ein wichtiges Interview mit der Chefin.","Ich|habe|heute|ein|wichtiges|Interview|mit|der|Chefin|.","Workplace vocabulary","Today I have an important interview with the boss."
"Man muss zwischen formellen und informellen E-Mails unterscheiden.","Man|muss|zwischen|formellen|und|informellen|E-Mails|unterscheiden|.","Writing skills","One must distinguish between formal and informal emails."
"Das ist eine formelle Nachricht an meinen Chef.","Das|ist|eine|formelle|Nachricht|an|meinen|Chef|.","Workplace vocabulary","That is a formal message to my boss."
"Ich arbeite nicht ohne meinen Computer.","Ich|arbeite|nicht|ohne|meinen|Computer|.","ohne + Akkusativ","I don't work without my computer."
"Ich komme morgen mit dem Auto zur Arbeit.","Ich|komme|morgen|mit|dem|Auto|zur|Arbeit|.","mit + Dativ","I am coming to work by car tomorrow."
"Sprichst du nachher mit dem Chef?","Sprichst|du|nachher|mit|dem|Chef|?","mit + Dativ","Are you speaking with the boss later?"
"Ich war krank, deshalb konnte ich nicht kommen.","Ich|war|krank|,|deshalb|konnte|ich|nicht|kommen|.","deshalb + Inversion","I was sick, therefore I couldn't come."
"Er hat viel Erfahrung, deshalb bekommt er den Job.","Er|hat|viel|Erfahrung|,|deshalb|bekommt|er|den|Job|.","deshalb + Inversion","He has a lot of experience, therefore he gets the job."
"Wenn ich die Stelle bekomme, feiere ich eine Party.","Wenn|ich|die|Stelle|bekomme|,|feiere|ich|eine|Party|.","wenn (Bedingung)","If I get the position, I will throw a party."
"Sag mir Bescheid, wenn du Hilfe brauchst.","Sag|mir|Bescheid|,|wenn|du|Hilfe|brauchst|.","wenn (Bedingung)","Let me know if you need help."
"Ich hoffe, dass wir das Projekt bald abschließen.","Ich|hoffe|,|dass|wir|das|Projekt|bald|abschließen|.","dass-Satz","I hope that we finish the project soon."
"Er denkt, dass der Job zu stressig ist.","Er|denkt|,|dass|der|Job|zu|stressig|ist|.","dass-Satz","He thinks that the job is too stressful."
"Es ist wichtig, dass Sie immer pünktlich sind.","Es|ist|wichtig|,|dass|Sie|immer|pünktlich|sind|.","dass-Satz","It is important that you are always on time."
"Unter diesen Bedingungen kann ich nicht arbeiten.","Unter|diesen|Bedingungen|kann|ich|nicht|arbeiten|.","Bedingungen nennen","I cannot work under these conditions."
"Wenn du immer zu spät kommst, hat das Konsequenzen.","Wenn|du|immer|zu|spät|kommst|,|hat|das|Konsequenzen|.","Konsequenzen nennen","If you always arrive late, that has consequences."
"Ich brauche Geld, deshalb suche ich Arbeit.","Ich|brauche|Geld|,|deshalb|suche|ich|Arbeit|.","deshalb (Konsequenz)","I need money, therefore I am looking for work."
"Der Beruf als Feuerwehrmann ist manchmal gefährlich.","Der|Beruf|als|Feuerwehrmann|ist|manchmal|gefährlich|.","Professions","The profession of a firefighter is sometimes dangerous."
"Ich mache eine Ausbildung zum Kaufmann.","Ich|mache|eine|Ausbildung|zum|Kaufmann|.","Professions","I am doing an apprenticeship as a merchant."
"Nach dem Abitur habe ich ein Praktikum gemacht.","Nach|dem|Abitur|habe|ich|ein|Praktikum|gemacht|.","Education vocabulary","After high school graduation, I did an internship."
"Ich studiere Medizin, weil ich Ärztin werden will.","Ich|studiere|Medizin|,|weil|ich|Ärztin|werden|will|.","Education/Professions","I am studying medicine because I want to become a doctor."
"In diesem Job verdient man wirklich gutes Gehalt.","In|diesem|Job|verdient|man|wirklich|gutes|Gehalt|.","Workplace vocabulary","In this job one really earns a good salary."
"Er möchte in seiner Firma Karriere machen.","Er|möchte|in|seiner|Firma|Karriere|machen|.","Workplace vocabulary","He wants to make a career in his company."
"Ich organisiere das Meeting für morgen.","Ich|organisiere|das|Meeting|für|morgen|.","Workplace verbs","I am organizing the meeting for tomorrow."
"Heute muss ich das neue Projekt präsentieren.","Heute|muss|ich|das|neue|Projekt|präsentieren|.","Workplace verbs","Today I have to present the new project."
"Das Zeugnis ist wichtig für die Bewerbung.","Das|Zeugnis|ist|wichtig|für|die|Bewerbung|.","Job application","The report card is important for the application."
"Wir suchen zuverlässige und flexible Mitarbeiter.","Wir|suchen|zuverlässige|und|flexible|Mitarbeiter|.","Job advertisement adjectives","We are looking for reliable and flexible employees."
"Ich hatte immer eine Eins in Englisch.","Ich|hatte|immer|eine|Eins|in|Englisch|.","Grades","I always had an A (a one) in English."
"Geografie fand ich immer sehr langweilig.","Geografie|fand|ich|immer|sehr|langweilig|.","School subjects","I always found geography very boring."
"Biologie war mein absolutes Lieblingsfach.","Biologie|war|mein|absolutes|Lieblingsfach|.","School subjects","Biology was my absolute favorite subject."
"Ich sollte das Dokument ohne Fehler schreiben.","Ich|sollte|das|Dokument|ohne|Fehler|schreiben|.","Modalverb Präteritum + ohne","I was supposed to write the document without errors."
"Könntest du mir mit der Aufgabe helfen?","Könntest|du|mir|mit|der|Aufgabe|helfen|?","mit + Dativ","Could you help me with the task?"
"Wenn das Gehalt stimmt, nehme ich die Stelle.","Wenn|das|Gehalt|stimmt|,|nehme|ich|die|Stelle|.","wenn-Satz (Bedingung)","If the salary is right, I will take the position."
"Das Meeting war langweilig, deshalb bin ich fast eingeschlafen.","Das|Meeting|war|langweilig|,|deshalb|bin|ich|fast|eingeschlafen|.","deshalb (Konsequenz)","The meeting was boring, therefore I almost fell asleep."
"Wussten Sie, dass er gekündigt hat?","Wussten|Sie|,|dass|er|gekündigt|hat|?","dass-Satz","Did you know that he resigned?"
"Ich bin sicher, dass Teamarbeit den Erfolg bringt.","Ich|bin|sicher|,|dass|Teamarbeit|den|Erfolg|bringt|.","dass-Satz","I am sure that teamwork brings success."
"Als Kind wollte ich nie in die Schule gehen.","Als|Kind|wollte|ich|nie|in|die|Schule|gehen|.","Präteritum (wollte)","As a child I never wanted to go to school."
"Er konnte nicht schwimmen, deshalb mochte er Sport nicht.","Er|konnte|nicht|schwimmen|,|deshalb|mochte|er|Sport|nicht|.","Modal verbs + deshalb","He couldn't swim, therefore he didn't like PE."
"Wir durften in der Pause nicht im Klassenzimmer bleiben.","Wir|durften|in|der|Pause|nicht|im|Klassenzimmer|bleiben|.","Präteritum (durften)","We weren't allowed to stay in the classroom during the break."
"Ich musste gestern Abend noch für die Prüfung lernen.","Ich|musste|gestern|Abend|noch|für|die|Prüfung|lernen|.","Präteritum (musste)","I had to study for the exam yesterday evening."
"Sie bewarb sich erfolgreich um die offene Stelle.","Sie|bewarb|sich|erfolgreich|um|die|offene|Stelle|.","Bewerben (Präteritum)","She successfully applied for the open position."
"Ohne gute Noten ist es schwer, einen Studienplatz zu finden.","Ohne|gute|Noten|ist|es|schwer|,|einen|Studienplatz|zu|finden|.","ohne + Akkusativ","Without good grades it is hard to find a university spot."
"Bitte kommen Sie pünktlich zum Interview.","Bitte|kommen|Sie|pünktlich|zum|Interview|.","Imperative formal","Please come to the interview punctually."
"Ich freue mich, dass Sie sich für uns entschieden haben.","Ich|freue|mich|,|dass|Sie|sich|für|uns|entschieden|haben|.","dass-Satz","I am happy that you decided on us."
"Mein Kollege ist krank, deshalb muss ich heute länger arbeiten.","Mein|Kollege|ist|krank|,|deshalb|muss|ich|heute|länger|arbeiten|.","deshalb (Konsequenz)","My colleague is sick, therefore I have to work longer today."
"Wenn du Fragen hast, frag einfach den Chef.","Wenn|du|Fragen|hast|,|frag|einfach|den|Chef|.","wenn (Bedingung)","If you have questions, just ask the boss."
