test_text,answer,test_verb,tip,meaning,grammar_tip
"Das Sofa steht in null Wohnzimmer. (Dativ)","dem","stehen","in the living room (neuter)","The sofa is in the living room.","Wo? -> Dativ. das Wohnzimmer -> dem Wohnzimmer."
"Ich stelle das Sofa in null Wohnzimmer. (Akkusativ)","das","stellen","into the living room (neuter)","I am putting the sofa in the living room.","Wohin? -> Akkusativ. das Wohnzimmer -> das Wohnzimmer."
"Der Teppich liegt auf null Boden. (Dativ)","dem","liegen","on the floor (masculine)","The rug lies on the floor.","Wo? -> Dativ. der Boden -> dem Boden."
"Ich lege den Teppich auf null Boden. (Akkusativ)","den","legen","onto the floor (masculine)","I put the rug on the floor.","Wohin? -> Akkusativ. der Boden -> den Boden."
"Die Lampe hängt an null Wand. (Dativ)","der","hängen","on the wall (feminine)","The lamp hangs on the wall.","Wo? -> Dativ. die Wand -> der Wand."
"Ich hänge die Lampe an null Wand. (Akkusativ)","die","hängen","onto the wall (feminine)","I hang the lamp on the wall.","Wohin? -> Akkusativ. die Wand -> die Wand."
"Der Stuhl steht neben null Tisch. (Dativ)","dem","stehen","next to the table (masculine)","The chair is next to the table.","Wo? -> Dativ. der Tisch -> dem Tisch."
"Stell den Stuhl neben null Tisch. (Akkusativ)","den","stellen","next to the table (masculine)","Put the chair next to the table.","Wohin? -> Akkusativ. der Tisch -> den Tisch."
"Das Bild hängt über null Bett. (Dativ)","dem","hängen","over the bed (neuter)","The picture hangs over the bed.","Wo? -> Dativ. das Bett -> dem Bett."
"Wir hängen das Bild über null Bett. (Akkusativ)","das","hängen","over the bed (neuter)","We hang the picture over the bed.","Wohin? -> Akkusativ. das Bett -> das Bett."
"Der Ball ist unter null Sofa. (Dativ)","dem","sein","under the sofa (neuter)","The ball is under the sofa.","Wo? -> Dativ. das Sofa -> dem Sofa."
"Der Ball rollt unter null Sofa. (Akkusativ)","das","rollen","under the sofa (neuter)","The ball rolls under the sofa.","Wohin? -> Akkusativ. das Sofa -> das Sofa."
"Der Tisch steht zwischen null Stühlen. (Dativ)","den","stehen","between the chairs (plural)","The table stands between the chairs.","Wo? -> Dativ Plural. die Stühle -> den Stühlen."
"Der Teppich liegt vor null Tür. (Dativ)","der","liegen","in front of the door (feminine)","The rug lies in front of the door.","Wo? -> Dativ. die Tür -> der Tür."
"Ich lege den Teppich vor null Tür. (Akkusativ)","die","legen","in front of the door (feminine)","I put the rug in front of the door.","Wohin? -> Akkusativ. die Tür -> die Tür."
"Die Katze schläft hinter null Schrank. (Dativ)","dem","schlafen","behind the closet (masculine)","The cat is sleeping behind the closet.","Wo? -> Dativ. der Schrank -> dem Schrank."
"Das Regal steht in null Küche. (Dativ)","der","stehen","in the kitchen (feminine)","The shelf is in the kitchen.","Wo? -> Dativ. die Küche -> der Küche."
"Wir stellen das Regal in null Küche. (Akkusativ)","die","stellen","into the kitchen (feminine)","We put the shelf in the kitchen.","Wohin? -> Akkusativ. die Küche -> die Küche."
"Ich null gern eine große Wohnung. (would have)","hätte","haben","would have","I would like to have a big apartment.","Konjunktiv II: ich hätte (gern)"
"null du gern ein Haus am Meer? (would you have)","Hättest","haben","would have","Would you like a house by the sea?","Konjunktiv II: du hättest"
"Er null gern ein Sofa im Büro. (would have)","hätte","haben","would have","He would like a sofa in the office.","Konjunktiv II: er hätte"
"Wir null gern einen Balkon. (would have)","hätten","haben","would have","We would like a balcony.","Konjunktiv II: wir hätten"
"Ihr null gern mehr Platz, oder? (would have)","hättet","haben","would have","You guys would like more space, right?","Konjunktiv II: ihr hättet"
"Sie (Pl.) null gern einen Garten. (would have)","hätten","haben","would have","They would like a garden.","Konjunktiv II: sie (Pl) hätten"
"null Sie mir helfen? (could)","Könnten","können","could","Could you help me? (formal)","Konjunktiv II: Sie könnten"
"null du das Sofa in die Ecke stellen? (could)","Könntest","können","could","Could you put the sofa in the corner?","Konjunktiv II: du könntest"
"Ich null das machen. (could)","könnte","können","could","I could do that.","Konjunktiv II: ich könnte"
"Er null das Bad putzen. (could)","könnte","können","could","He could clean the bathroom.","Konjunktiv II: er könnte"
"Wir null den Schrank aufbauen. (could)","könnten","können","could","We could build the closet.","Konjunktiv II: wir könnten"
"Hast du einen Tisch? - Ja, ich habe null. (one)","einen","haben","one (masculine, accusative)","Do you have a table? - Yes, I have one.","Indefinitpronomen: einen (Akk, maskulin)"
