text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Hallo Maria, können wir unseren Termin auf Freitag verschieben? Mir passt es am Donnerstag leider nicht.","Was möchte die Person tun?","Den Termin auf Freitag verschieben.","Den Termin absagen.","Einen neuen Termin für Donnerstag vereinbaren.","Die Uhrzeit ändern.","Hello Maria, can we postpone our appointment to Friday? Thursday unfortunately doesn't suit me.","Listen for 'Termin auf Freitag verschieben'."
"Es tut mir leid, Herr Müller, aber ich bin krank und muss den Termin heute absagen.","Warum sagt die Person den Termin ab?","Weil sie krank ist.","Weil sie keine Zeit hat.","Weil sie im Urlaub ist.","Weil sie den Termin vergessen hat.","I am sorry, Mr. Müller, but I am sick and have to cancel the appointment today.","Listen for the reason 'ich bin krank'."
"Wir wollen einen Termin für nächste Woche vereinbaren. Passt es Ihnen am Dienstag?","Was wollen die beiden machen?","Einen Termin vereinbaren.","Einen Termin absagen.","Den Dienstag verschieben.","Ins Kino gehen.","We want to arrange an appointment for next week. Does Tuesday suit you?","Listen for 'Termin ... vereinbaren'."
"Streetart finde ich toll. Die bunten Bilder machen die grauen Wände der Stadt so schön!","Wie findet die Person Streetart?","Toll, weil sie die Wände bunt macht.","Hässlich und grau.","Sie interessiert sich nicht dafür.","Zu teuer.","I find street art great. The colorful pictures make the gray walls of the city so beautiful!","Listen for the positive adjectives 'toll' and 'bunte Bilder'."
"Ich interessiere mich überhaupt nicht für Kunst. Museen sind mir zu langweilig.","Interessiert sich die Person für Kunst?","Nein, sie findet es langweilig.","Ja, sie liebt Museen.","Ja, sie ist Künstlerin.","Nur für Streetart.","I am not interested in art at all. Museums are too boring for me.","Listen for 'überhaupt nicht' and 'langweilig'."
"Wir reisen am liebsten mit dem Rucksack und schlafen draußen im Zelt.","Wie reisen die beiden am liebsten?","Mit dem Rucksack und schlafen im Zelt.","Mit dem Auto und im Hotel.","Sie bleiben zu Hause.","Sie fliegen in den Urlaub.","We prefer traveling with a backpack and sleeping outside in a tent.","Listen for 'Rucksack' and 'Zelt'."
"Es war nachts extrem kalt! Zum Glück hatte ich einen dicken Schlafsack dabei.","Warum war der Schlafsack wichtig?","Weil es extrem kalt war.","Weil es im Zelt dunkel war.","Weil er draußen geschlafen hat.","Weil er weich war.","It was extremely cold at night! Luckily I had a thick sleeping bag with me.","Listen for 'extrem kalt'."
"Ich freue mich total auf den neuen Film mit meinem Lieblingsschauspieler!","Wie fühlt sich die Person?","Sie freut sich.","Sie ist wütend.","Sie ist traurig.","Sie ist enttäuscht.","I am totally looking forward to the new movie with my favorite actor!","Listen for the reflexive verb 'Ich freue mich'."
"Der Film war leider sehr langweilig. Ich bin wirklich enttäuscht von der Komödie.","Wie war der Film?","Langweilig und enttäuschend.","Sehr lustig.","Ein spannender Dokumentarfilm.","Traurig.","The movie was unfortunately very boring. I am really disappointed by the comedy.","Listen for 'langweilig' and 'enttäuscht'."
"Ich ärgere mich so sehr! Die Tickets für das Open-Air-Kino sind schon ausverkauft.","Warum ärgert sich die Person?","Weil die Tickets ausverkauft sind.","Weil der Film schlecht war.","Weil es regnet.","Weil der Termin verschoben wurde.","I am so angry! The tickets for the open-air cinema are already sold out.","Listen for 'Tickets ... ausverkauft'."
"Kümmerst du dich um die Karten für den Poetry Slam heute Abend?","Was soll die andere Person tun?","Sich um die Karten kümmern.","Ein Gedicht schreiben.","Auf die Bühne gehen.","Klatschen.","Are you taking care of the tickets for the poetry slam tonight?","Listen for 'um die Karten kümmern'."
"Die Schauspielerin stand auf der Bühne und hat ein wunderschönes Gedicht gelesen.","Was hat die Schauspielerin gemacht?","Auf der Bühne ein Gedicht gelesen.","In einem Film gespielt.","Dem Regisseur geholfen.","Im Publikum gesessen.","The actress stood on the stage and read a beautiful poem.","Listen for 'auf der Bühne' and 'Gedicht gelesen'."
"Das Publikum war begeistert und hat fünf Minuten lang laut geklatscht!","Wie reagierte das Publikum?","Es war begeistert und hat geklatscht.","Es war enttäuscht.","Es ist nach Hause gegangen.","Es hat gelacht.","The audience was enthusiastic and clapped loudly for five minutes!","Listen for 'begeistert' and 'geklatscht'."
"Erinnerst du dich an unseren Urlaub in Spanien vor zwei Jahren? Das war toll!","Woran soll die Person sich erinnern?","An den Urlaub in Spanien vor zwei Jahren.","An den Termin gestern.","An den Film im Kino.","An das Gedicht vom Poetry Slam.","Do you remember our vacation in Spain two years ago? That was great!","Listen for 'an unseren Urlaub in Spanien'."
"Wir treffen uns in einer Woche im Café und besprechen das neue Projekt für die Umwelt.","Wann treffen sie sich?","In einer Woche.","In einem Monat.","Morgen.","In diesem Jahr.","We are meeting in a week at the café and discussing the new project for the environment.","Listen for the time 'in einer Woche'."
"In diesem Jahr gibt es einen neuen Trend: Alle reisen in die Natur zum Wandern.","Was ist der neue Trend in diesem Jahr?","Reisen in die Natur zum Wandern.","Ins Kino gehen.","Gedichte schreiben.","Streetart malen.","In this year there is a new trend: Everyone travels to nature to hike.","Listen for 'Reisen in die Natur zum Wandern'."
"Während des Films hat mein Sitznachbar in Reihe vier die ganze Zeit laut geredet. Ich war echt sauer!","Warum war die Person sauer?","Weil jemand während des Films laut geredet hat.","Weil der Film schlecht war.","Weil sie keinen Platz hatte.","Weil die Karte zu teuer war.","During the movie my neighbor in row four talked loudly the whole time. I was really mad!","Listen for 'während des Films ... laut geredet'."
"Ich verstehe das nicht. Die Leute werfen ihren Müll einfach auf die Straße.","Worüber beschwert sich die Person?","Dass Leute Müll auf die Straße werfen.","Über das schlechte Wetter.","Über den lauten Film.","Über den Regisseur.","I don't understand that. People just throw their trash on the street.","Listen for 'Müll ... auf die Straße'."
"Bitte füllen Sie den Fragebogen zum Thema Umweltschutz aus. Es dauert nur fünf Minuten.","Was soll die Person ausfüllen?","Einen Fragebogen zum Umweltschutz.","Ein Formular für eine Reise.","Eine Karte fürs Kino.","Einen Test über Filme.","Please fill out the questionnaire on the topic of environmental protection. It only takes five minutes.","Listen for 'Fragebogen zum Thema Umweltschutz'."
"Das Ergebnis der Umfrage ist überraschend: Viele interessieren sich nicht für neue Trends.","Was zeigt das Ergebnis der Umfrage?","Dass sich viele nicht für Trends interessieren.","Dass alle wandern wollen.","Dass Kino sehr beliebt ist.","Das wird nicht gesagt.","The result of the survey is surprising: Many are not interested in new trends.","Listen for 'viele interessieren sich nicht für neue Trends'."
"Das Lesen am Abend hilft mir, mich nach einem langen Tag zu entspannen.","Was hilft der Person beim Entspannen?","Das Lesen.","Das Reisen.","Das Essen.","Das Kino.","Reading in the evening helps me to relax after a long day.","Listen for 'Das Lesen'."
"Wir spekulieren darüber, wer der Künstler von diesem tollen Wandbild ist. Niemand weiß es.","Was wissen sie über den Künstler?","Niemand weiß, wer es ist (sie spekulieren nur).","Er ist sehr berühmt.","Er heißt Müller.","Er kommt aus Berlin.","We are speculating about who the artist of this great mural is. Nobody knows.","Listen for 'Niemand weiß es' and 'Wir spekulieren'."
"Das ist mir völlig egal! Ich möchte diesen langweiligen Dokumentarfilm nicht ansehen!","Wie findet die Person den Dokumentarfilm?","Langweilig und es ist ihr egal.","Interessant.","Lustig.","Sehr traurig.","That doesn't matter to me at all! I don't want to watch this boring documentary!","Listen for 'langweiligen' and 'egal'."
"Bitte begründen Sie Ihre Antwort im Fragebogen in zwei bis drei Sätzen.","Was sollen die Leute im Fragebogen machen?","Ihre Antwort begründen.","Nur ankreuzen.","Ein Gedicht schreiben.","Einen Termin vereinbaren.","Please justify your answer in the questionnaire in two to three sentences.","Listen for 'begründen Sie Ihre Antwort'."
"Ich vermute, dass das Verhältnis zwischen dem Regisseur und dem Schauspieler nicht gut ist.","Was vermutet die Person?","Dass das Verhältnis zwischen Regisseur und Schauspieler nicht gut ist.","Dass der Film erfolgreich wird.","Dass der Schauspieler krank ist.","Dass sie den Film verschieben.","I suspect that the relationship between the director and the actor is not good.","Listen for 'das Verhältnis ... nicht gut ist'."
"In diesem Monat habe ich leider keine Zeit für einen Kinobesuch. Aber vielleicht in zwei Wochen?","Wann hat die Person vielleicht Zeit?","In zwei Wochen.","In diesem Monat.","Morgen.","Nie.","In this month I unfortunately have no time for a cinema visit. But maybe in two weeks?","Listen for the future possibility 'in zwei Wochen'."
"Wir freuen uns sehr auf euch! Bis zum Wochenende im Zeltlager!","Worauf freuen sie sich?","Auf die anderen Personen und das Zeltlager.","Auf das Kino.","Auf das Essen.","Auf den Poetry Slam.","We are looking forward to you guys very much! See you at the tent camp on the weekend!","Listen for 'Auf euch' and 'Zeltlager'."
"Ich habe mich riesig über das Geschenk gefreut! Es war eine tolle Überraschung!","Wie fand sie das Geschenk?","Sie hat sich gefreut (tolle Überraschung).","Sie war enttäuscht.","Sie hat sich geärgert.","Sie fand es langweilig.","I was hugely happy about the gift! It was a great surprise!","Listen for 'riesig über das Geschenk gefreut'."
"Ich erinnere mich gerne an unsere Reise nach Italien. Das Essen dort war fantastisch.","Woran erinnert sie sich gerne?","An die Reise nach Italien.","An den Film.","An den Termin.","An den Künstler.","I like to remember our trip to Italy. The food there was fantastic.","Listen for 'an unsere Reise nach Italien'."
"Kümmerst du dich bitte um das Essen? Ich kümmere mich um die Getränke für die Party.","Wer kümmert sich um die Getränke?","Die Person, die spricht.","Die andere Person.","Der Kellner.","Niemand.","Are you taking care of the food, please? I will take care of the drinks for the party.","Listen to who says 'Ich kümmere mich um die Getränke'."
"Wir waren gestern beim Poetry Slam. Die Texte waren so kreativ und das Publikum hat gelacht.","Wie waren die Texte beim Poetry Slam?","Kreativ.","Langweilig.","Traurig.","Wütend.","We were at the poetry slam yesterday. The texts were so creative and the audience laughed.","Listen for 'kreativ'."
"Ich habe für uns Plätze in Reihe acht reserviert. Der Eintritt kostet zwölf Euro pro Person.","Wo sitzen sie im Kino?","In Reihe acht.","In Reihe zwölf.","Ganz vorne.","Auf dem Balkon.","I reserved seats for us in row eight. Admission costs twelve euros per person.","Listen for 'Plätze in Reihe acht'."
"Der Filmstar war gestern hier auf der Bühne. Alle wollten ein Foto mit ihm machen!","Wer war gestern auf der Bühne?","Der Filmstar.","Der Regisseur.","Der Kellner.","Der Maler.","The movie star was here on the stage yesterday. Everyone wanted to take a picture with him!","Listen for 'Der Filmstar'."
"Streetart in dieser Straße ist nicht erlaubt. Die Künstler bekommen oft Ärger mit der Polizei.","Ist Streetart in dieser Straße erlaubt?","Nein, es ist nicht erlaubt.","Ja, immer.","Nur am Wochenende.","Nur für berühmte Künstler.","Street art is not allowed in this street. The artists often get in trouble with the police.","Listen for 'nicht erlaubt'."
"Ich entspanne mich am Wochenende immer beim Lesen in der Natur.","Wie entspannt sich die Person?","Beim Lesen in der Natur.","Beim Wandern.","Im Kino.","Im Bett.","I always relax on the weekend by reading in nature.","Listen for 'beim Lesen in der Natur'."
