sentence,words,tip,translation_en
"Wem gehört dieses Geld?","Wem|gehört|dieses|Geld|?","Fragepronomen Wem","To whom does this money belong?"
"Das Geld gehört mir nicht.","Das|Geld|gehört|mir|nicht|.","gehören + Dativ","The money doesn't belong to me."
"Können Sie mir sagen, wo der Geldautomat ist?","Können|Sie|mir|sagen|,|wo|der|Geldautomat|ist|?","Indirekte Frage (wo)","Can you tell me where the ATM is?"
"Wissen Sie, ob die Bank am Samstag offen ist?","Wissen|Sie|,|ob|die|Bank|am|Samstag|offen|ist|?","Indirekte Frage (ob)","Do you know if the bank is open on Saturday?"
"Ich möchte wissen, wie das Online-Banking funktioniert.","Ich|möchte|wissen|,|wie|das|Online-Banking|funktioniert|.","Indirekte Frage (wie)","I would like to know how online banking works."
"Ich hebe 100 Euro am Automaten ab.","Ich|hebe|100|Euro|am|Automaten|ab|.","abheben (separable)","I am withdrawing 100 euros at the ATM."
"Er zahlt das Bargeld auf sein Girokonto ein.","Er|zahlt|das|Bargeld|auf|sein|Girokonto|ein|.","einzahlen (separable)","He deposits the cash into his checking account."
"Bitte überweisen Sie die Gebühr auf unser Konto.","Bitte|überweisen|Sie|die|Gebühr|auf|unser|Konto|.","überweisen","Please transfer the fee to our account."
"Darf ich fragen, ob Sie mit Kreditkarte zahlen?","Darf|ich|fragen|,|ob|Sie|mit|Kreditkarte|zahlen|?","Indirekte Frage (ob)","May I ask if you are paying with a credit card?"
"Das Paket wird heute noch geliefert.","Das|Paket|wird|heute|noch|geliefert|.","Passiv Präsens","The package will still be delivered today."
"Die E-Mail wird gerade geschrieben.","Die|E-Mail|wird|gerade|geschrieben|.","Passiv Präsens","The email is being written right now."
"Die Rechnungen werden am Monatsende bezahlt.","Die|Rechnungen|werden|am|Monatsende|bezahlt|.","Passiv Präsens","The bills are paid at the end of the month."
"Der Brief wird mit der Post geschickt.","Der|Brief|wird|mit|der|Post|geschickt|.","Passiv Präsens","The letter is sent by mail."
"Ist das Ihr Pass, Frau Bauer?","Ist|das|Ihr|Pass|,|Frau|Bauer|?","Possessivartikel Ihr (formal)","Is that your passport, Ms. Bauer?"
"Haben Sie Ihre PIN vergessen?","Haben|Sie|Ihre|PIN|vergessen|?","Possessivartikel Ihre (formal, Akk)","Did you forget your PIN?"
"Geben Sie mir bitte Ihren Ausweis!","Geben|Sie|mir|bitte|Ihren|Ausweis|!","Possessivartikel Ihren (formal, Akk)","Please give me your ID!"
"Über Geld spricht man bei uns nicht.","Über|Geld|spricht|man|bei|uns|nicht|.","Tabu Thema","We don't talk about money."
"Das Gehalt ist ein Tabu-Thema in vielen Ländern.","Das|Gehalt|ist|ein|Tabu-Thema|in|vielen|Ländern|.","Cultural topic","Salary is a taboo topic in many countries."
"Was ist für dich wichtiger als Geld?","Was|ist|für|dich|wichtiger|als|Geld|?","Values","What is more important to you than money?"
"Gesundheit und Liebe sind viel wichtiger als Reichtum.","Gesundheit|und|Liebe|sind|viel|wichtiger|als|Reichtum|.","Values","Health and love are much more important than wealth."
"Geld allein macht nicht glücklich.","Geld|allein|macht|nicht|glücklich|.","Proverb / Saying","Money alone does not make you happy."
"Ich spare jeden Monat 50 Euro für den Urlaub.","Ich|spare|jeden|Monat|50|Euro|für|den|Urlaub|.","sparen","I save 50 euros every month for vacation."
"Er gibt sein ganzes Geld für Kleidung aus.","Er|gibt|sein|ganzes|Geld|für|Kleidung|aus|.","ausgeben (separable)","He spends all his money on clothes."
"Was sind die Vorteile von Online-Banking?","Was|sind|die|Vorteile|von|Online-Banking|?","Vorteile / Nachteile","What are the advantages of online banking?"
"Es ist schnell und kostet keine Gebühren.","Es|ist|schnell|und|kostet|keine|Gebühren|.","Vorteile","It is fast and costs no fees."
"Ein Nachteil ist, dass es unsicher sein kann.","Ein|Nachteil|ist|,|dass|es|unsicher|sein|kann|.","Nachteile","A disadvantage is that it can be insecure."
"Man muss sein Passwort oft ändern.","Man|muss|sein|Passwort|oft|ändern|.","Tech advice","One must change one's password often."
"Ich schicke dir eine SMS oder schreibe dir im Messenger.","Ich|schicke|dir|eine|SMS|oder|schreibe|dir|im|Messenger|.","Communication","I'll send you an SMS or write you in the messenger."
"Ich habe ein Päckchen von meiner Oma empfangen.","Ich|habe|ein|Päckchen|von|meiner|Oma|empfangen|.","empfangen","I received a small package from my grandma."
"Wer ist der Absender von diesem Brief?","Wer|ist|der|Absender|von|diesem|Brief|?","Post vocabulary","Who is the sender of this letter?"
"Ich brauche eine Briefmarke für diesen Umschlag.","Ich|brauche|eine|Briefmarke|für|diesen|Umschlag|.","Post vocabulary","I need a stamp for this envelope."
"Darf ich fragen, ob das Ihr Paket ist?","Darf|ich|fragen|,|ob|das|Ihr|Paket|ist|?","Indirekte Frage (ob) + Ihr","May I ask if that is your package?"
"Erinnert ihr euch an das Gedicht?","Erinnert|ihr|euch|an|das|Gedicht|?","Gedicht","Do you guys remember the poem?"
"Ich schreibe ein kurzes Gedicht mit Reimen.","Ich|schreibe|ein|kurzes|Gedicht|mit|Reimen|.","Gedicht","I am writing a short poem with rhymes."
"Dieser Spruch über Freundschaft ist sehr schön.","Dieser|Spruch|über|Freundschaft|ist|sehr|schön|.","Spruch","This saying about friendship is very beautiful."
"Die E-Mail wird heute Abend noch geschickt.","Die|E-Mail|wird|heute|Abend|noch|geschickt|.","Passiv Präsens","The email will still be sent tonight."
"Wir wissen nicht, wem dieses Fahrrad gehört.","Wir|wissen|nicht|,|wem|dieses|Fahrrad|gehört|.","Indirekte Frage (wem)","We don't know who this bike belongs to."
"Wissen Sie, wann die Postfiliale aufmacht?","Wissen|Sie|,|wann|die|Postfiliale|aufmacht|?","Indirekte Frage (wann)","Do you know when the post office branch opens?"
"Können Sie mir sagen, wie hoch die Zinsen sind?","Können|Sie|mir|sagen|,|wie|hoch|die|Zinsen|sind|?","Indirekte Frage (wie hoch)","Can you tell me how high the interest rates are?"
"Das Konto wird von der Bank geschlossen.","Das|Konto|wird|von|der|Bank|geschlossen|.","Passiv Präsens","The account is closed by the bank."
"Die Kommunikation im Internet wird immer wichtiger.","Die|Kommunikation|im|Internet|wird|immer|wichtiger|.","Kommunikation (wird = becomes here)","Communication on the internet is becoming more and more important."
"Zahlst du lieber bar oder mit Karte?","Zahlst|du|lieber|bar|oder|mit|Karte|?","Payment methods","Do you prefer paying in cash or with card?"
"Hast du einen Zehn-Euro-Schein für mich?","Hast|du|einen|Zehn-Euro-Schein|für|mich|?","Money vocabulary","Do you have a ten euro bill for me?"
"Ich habe nur ein paar Münzen.","Ich|habe|nur|ein|paar|Münzen|.","Money vocabulary","I only have a few coins."
"Geld macht das Leben leichter, aber nicht besser.","Geld|macht|das|Leben|leichter|,|aber|nicht|besser|.","Values","Money makes life easier, but not better."
"Ich frage den Mitarbeiter am Schalter.","Ich|frage|den|Mitarbeiter|am|Schalter|.","Bank vocabulary","I'll ask the employee at the counter."
"Haben Sie Ihre Kreditkarte unterschrieben?","Haben|Sie|Ihre|Kreditkarte|unterschrieben|?","Possessivartikel Ihre (formal)","Did you sign your credit card?"
"Die Welt ist im ständigen Wandel.","Die|Welt|ist|im|ständigen|Wandel|.","Wandel","The world is in constant change."
"Früher schrieb man Briefe, heute textet man.","Früher|schrieb|man|Briefe|,|heute|textet|man|.","Communication change","In the past one wrote letters, today one texts."
"Ein elektronischer Brief ist eine E-Mail.","Ein|elektronischer|Brief|ist|eine|E-Mail|.","Communication","An electronic letter is an email."
"Wissen Sie, ob man hier parken darf?","Wissen|Sie|,|ob|man|hier|parken|darf|?","Indirekte Frage (ob)","Do you know if one is allowed to park here?"
"Gehört der Koffer Ihnen, Herr Schmidt?","Gehört|der|Koffer|Ihnen|,|Herr|Schmidt|?","gehören + Dativ (formal)","Does the suitcase belong to you, Mr. Schmidt?"
"Ja, der Koffer gehört mir.","Ja|,|der|Koffer|gehört|mir|.","gehören + Dativ","Yes, the suitcase belongs to me."
"Können Sie mir sagen, wem das Buch gehört?","Können|Sie|mir|sagen|,|wem|das|Buch|gehört|?","Indirekte Frage (wem)","Can you tell me who the book belongs to?"
"Das Passwort wird sofort geändert.","Das|Passwort|wird|sofort|geändert|.","Passiv Präsens","The password is changed immediately."
"Ich freue mich über Ihren Brief.","Ich|freue|mich|über|Ihren|Brief|.","Possessivartikel Ihren (Akk M, formal)","I am happy about your letter."
"Haben Sie Ihr Handy dabei?","Haben|Sie|Ihr|Handy|dabei|?","Possessivartikel Ihr (Akk N, formal)","Do you have your cell phone with you?"
"Die Überweisung wird morgen gemacht.","Die|Überweisung|wird|morgen|gemacht|.","Passiv Präsens","The transfer will be made tomorrow."
"Ich glaube, dass Familie der größte Wert ist.","Ich|glaube|,|dass|Familie|der|größte|Wert|ist|.","Values","I believe that family is the greatest value."
"Darf ich fragen, wie viel Sie verdienen? - Das ist privat!","Darf|ich|fragen|,|wie|viel|Sie|verdienen|?|-|Das|ist|privat|!","Tabu Thema / Indirekte Frage","May I ask how much you earn? - That is private!"
"Das Päckchen wird heute Abend abgeholt.","Das|Päckchen|wird|heute|Abend|abgeholt|.","Passiv Präsens","The small package is being picked up tonight."
"Ich möchte wissen, ob die Gebühr hoch ist.","Ich|möchte|wissen|,|ob|die|Gebühr|hoch|ist|.","Indirekte Frage (ob)","I want to know if the fee is high."
"Es gibt Zinsen auf dem Sparkonto.","Es|gibt|Zinsen|auf|dem|Sparkonto|.","Bank vocabulary","There is interest on the savings account."
"Ich habe meine EC-Karte verloren!","Ich|habe|meine|EC-Karte|verloren|!","Bank vocabulary","I lost my debit card!"
