text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Die Wohnung ist sehr schön, aber die Kaltmiete ist 900 Euro im Monat.","Wie hoch ist die Kaltmiete?","900 Euro.","800 Euro.","1000 Euro.","Das wird nicht gesagt.","The apartment is very beautiful, but the cold rent is 900 euros per month.","Listen for the amount of the 'Kaltmiete' (900)."
"Die Nebenkosten sind ziemlich hoch. Sie betragen 250 Euro.","Wie viel betragen die Nebenkosten?","250 Euro.","900 Euro.","200 Euro.","150 Euro.","The utilities are quite high. They are 250 euros.","Listen for 'Nebenkosten'."
"Die Wohnung ist groß. Sie hat 85 Quadratmeter und drei Zimmer.","Wie groß ist die Wohnung?","85 Quadratmeter.","95 Quadratmeter.","3 Quadratmeter.","80 Quadratmeter.","The apartment is big. It has 85 square meters and three rooms.","Listen for the number before 'Quadratmeter'."
"Die Lage ist super! Wir wohnen ganz zentral im Zentrum.","Wie ist die Lage der Wohnung?","Sehr zentral.","Im Norden der Stadt.","Ruhig auf dem Land.","Im Osten.","The location is super! We live very centrally in the center.","Listen for 'zentral'."
"Unser Wohnzimmer ist im Süden, deshalb ist es immer sehr hell.","Warum ist das Wohnzimmer sehr hell?","Weil es im Süden ist.","Weil sie Lampen haben.","Weil das Fenster groß ist.","Weil die Wände weiß sind.","Our living room is in the south, therefore it is always very bright.","Listen for the direction 'im Süden'."
"Das Schlafzimmer ist leider im Norden und ziemlich dunkel.","Wie ist das Schlafzimmer?","Im Norden und dunkel.","Im Süden und hell.","Sehr groß.","Im Osten und warm.","The bedroom is unfortunately in the north and quite dark.","Listen for 'Norden' and 'dunkel'."
"Wo steht der Schrank? Er steht im Schlafzimmer neben dem Fenster.","Wo steht der Schrank?","Im Schlafzimmer neben dem Fenster.","Im Wohnzimmer.","In der Küche an der Wand.","Im Flur.","Where is the closet? It is in the bedroom next to the window.","Listen for the room and location 'neben dem Fenster'."
"Wohin stellst du das neue Sofa? Ich stelle es ins Wohnzimmer an die Wand.","Wohin kommt das Sofa?","Ins Wohnzimmer an die Wand.","Ins Schlafzimmer.","In den Flur.","Unter das Fenster.","Where are you putting the new sofa? I am putting it in the living room against the wall.","Listen for 'ins Wohnzimmer an die Wand'."
"Der Teppich liegt unter dem Tisch in der Küche.","Wo liegt der Teppich?","Unter dem Tisch in der Küche.","Vor der Tür im Flur.","Unter dem Bett im Schlafzimmer.","Im Wohnzimmer auf dem Boden.","The rug lies under the table in the kitchen.","Listen for 'unter dem Tisch in der Küche'."
"Ich hänge das neue Bild über das Sofa.","Wohin hängt die Person das Bild?","Über das Sofa.","Neben den Schrank.","An die Tür.","Über das Bett.","I am hanging the new picture over the sofa.","Listen for 'über das Sofa'."
"Könnten Sie mir bitte die Waschmaschine zeigen? Sie steht im Bad.","Wo steht die Waschmaschine?","Im Bad.","In der Küche.","Im Flur.","Im Keller.","Could you please show me the washing machine? It is in the bathroom.","Listen for 'im Bad'."
"Wir suchen eine möblierte Wohnung, weil wir keine Möbel haben.","Warum suchen sie eine möblierte Wohnung?","Weil sie keine Möbel haben.","Weil sie Möbel kaufen wollen.","Weil sie im Zentrum wohnen wollen.","Weil es billiger ist.","We are looking for a furnished apartment because we don't have furniture.","Listen for 'keine Möbel haben'."
