text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Hallo! Lange nicht gesehen! Wie geht's euch? Mir geht es super.","Wie geht es der Person?","Sehr gut.","Schlecht.","Sie ist müde.","Nicht so gut.","Hello! Long time no see! How are you guys? I'm doing great.","Listen to how the person feels (super = sehr gut)."
"Hallo, ich heiße David. Ich bin aus Spanien und arbeite bei Siemens in Berlin.","Wo arbeitet David?","Bei Siemens in Berlin.","In Spanien.","Er ist Student.","Er arbeitet nicht.","Hello, my name is David. I am from Spain and work at Siemens in Berlin.","Listen for the company name and city."
"Bist du verheiratet? Nein, ich bin ledig und ich habe keine Kinder.","Hat die Person Kinder?","Nein, sie hat keine Kinder.","Ja, ein Kind.","Ja, zwei Kinder.","Das wissen wir nicht.","Are you married? No, I am single and I have no children.","Listen for 'keine Kinder'."
"Holst du bitte das Auto ab? Ich habe es doch schon abgeholt!","Wo ist das Auto?","Die Person hat das Auto schon abgeholt.","Es ist noch in der Werkstatt.","Es ist kaputt.","Die Person holt es morgen ab.","Can you please pick up the car? I already picked it up!","Listen for the perfect tense 'schon abgeholt'."
"Hast du die Getränke eingekauft? Ja, ich war im Supermarkt.","Was hat die Person gemacht?","Sie hat Getränke eingekauft.","Sie hat das Auto abgeholt.","Sie hat das Licht ausgemacht.","Sie hat geschlafen.","Did you buy the drinks? Yes, I was at the supermarket.","Listen for 'Getränke eingekauft'."
"Ruf bitte deine Mutter an! Ich habe sie doch schon angerufen.","Hat er die Mutter angerufen?","Ja, er hat sie schon angerufen.","Nein, er ruft sie morgen an.","Er hat den Vater angerufen.","Er hat keine Zeit.","Please call your mother! I already called her.","Listen for the response 'schon angerufen'."
"Machst du das Licht aus? Ich habe es doch schon ausgemacht.","Brennt das Licht noch?","Nein, es ist schon aus.","Ja, es brennt noch.","Es ist kaputt.","Er macht es später aus.","Are you turning off the light? I already turned it off.","Listen for 'schon ausgemacht'."
"Wann bist du heute aufgestanden? Sehr früh, um sechs Uhr.","Wann ist die Person aufgestanden?","Um sechs Uhr.","Um sieben Uhr.","Um acht Uhr.","Um neun Uhr.","When did you get up today? Very early, at six o'clock.","Listen for the exact time."
"Ich lerne seit vier Jahren Deutsch, weil ich in Deutschland lebe.","Seit wann lernt die Person Deutsch?","Seit vier Jahren.","Seit vier Monaten.","Seit einer Woche.","Seit einem Jahr.","I have been learning German for four years because I live in Germany.","Listen for the time duration 'vier Jahren'."
"Warum lernst du Deutsch? Weil ich in Deutschland Englisch unterrichten möchte.","Was möchte die Person in Deutschland machen?","Englisch unterrichten.","Deutsch unterrichten.","Einen Job als Koch finden.","Studieren.","Why are you learning German? Because I want to teach English in Germany.","Listen to the reason starting with 'weil'."
"Jan lernt seit einer Woche Deutsch. Er möchte an einer Universität arbeiten.","Seit wann lernt Jan Deutsch?","Seit einer Woche.","Seit einem Monat.","Seit einem Jahr.","Seit vier Jahren.","Jan has been learning German for a week. He wants to work at a university.","Listen for 'seit einer Woche'."
"Ich möchte den Master in Berlin machen. Deshalb lerne ich Deutsch.","Warum lernt die Person Deutsch?","Weil sie den Master in Berlin machen möchte.","Weil sie in Berlin arbeitet.","Weil sie verheiratet ist.","Weil das Spaß macht.","I want to do my Master's in Berlin. That's why I am learning German.","Listen for 'den Master machen'."
"Was bist du von Beruf? Ich bin Köchin in einem Restaurant.","Was ist ihr Beruf?","Sie ist Köchin.","Sie ist Lehrerin.","Sie studiert an der Universität.","Sie ist selbstständig.","What is your profession? I am a cook in a restaurant.","Listen for the profession."
"Warum lernst du denn Deutsch? Weil das Spaß macht!","Warum lernt er Deutsch?","Weil es Spaß macht.","Weil er in Berlin wohnt.","Weil er einen Job braucht.","Weil er Köchin ist.","Why are you learning German? Because it's fun!","Listen for 'Spaß macht'."
"Was ist deine Lieblingsfarbe? Ich finde Blau sehr schön.","Was ist die Lieblingsfarbe der Person?","Blau.","Rot.","Grün.","Gelb.","What is your favorite color? I find blue very beautiful.","Listen for the color."
"Welche Hobbys hast du? Ich lese gerne und lerne Sprachen.","Welche Hobbys hat die Person?","Lesen und Sprachen lernen.","Kochen und Tanzen.","Sport machen.","Sie hat keine Hobbys.","What hobbies do you have? I like reading and learning languages.","Listen for the hobbies mentioned."
"Du willst in Berlin bleiben und modern sein? Ja, genau!","Was möchte die Person?","In Berlin bleiben und modern sein.","Ein Haus kaufen.","Selbstständig arbeiten.","Nach Spanien ziehen.","You want to stay in Berlin and be modern? Yes, exactly!","Listen to the question the person agrees with."
"Heute bin ich extrem kreativ, weil ich selbstständig arbeite.","Warum ist er kreativ?","Weil er selbstständig arbeitet.","Weil er in Berlin ist.","Weil er Spaß hat.","Weil er studiert.","Today I am extremely creative because I work independently.","Listen for the clause starting with 'weil'."
"Ich habe sofort einen Job gebraucht. Deshalb habe ich Deutsch gelernt.","Warum hat er Deutsch gelernt?","Weil er einen Job brauchte.","Weil er in Deutschland studiert.","Weil es sein Hobby ist.","Weil seine Mutter aus Berlin kommt.","I needed a job immediately. That's why I learned German.","Listen for 'einen Job gebraucht'."
"Wann geht Fabiana in den Deutschkurs? Sie geht montags und mittwochs in den Kurs.","Wann hat Fabiana Deutschkurs?","Montags und mittwochs.","Dienstags und donnerstags.","Nur am Wochenende.","Jeden Tag.","When does Fabiana go to the German course? She goes to the course on Mondays and Wednesdays.","Listen for the days of the week."
"Gute Frage! Das interessiert mich auch.","Wie findet die Person die Frage?","Sie findet die Frage gut und interessant.","Sie findet sie zu persönlich.","Sie findet sie langweilig.","Sie versteht die Frage nicht.","Good question! That interests me too.","Listen for the opinion 'Gute Frage'."
"Nein, die Frage nicht. Das ist zu persönlich!","Warum mag die Person die Frage nicht?","Weil sie zu persönlich ist.","Weil sie langweilig ist.","Weil sie Deutsch lernt.","Weil sie die Frage nicht versteht.","No, not that question. That is too personal!","Listen for 'zu persönlich'."
"Die Frage ist uninteressant und sehr langweilig.","Wie findet die Person die Frage?","Uninteressant und langweilig.","Ganz gut.","Sehr kreativ.","Zu persönlich.","The question is uninteresting and very boring.","Listen for 'langweilig'."
"Was bedeutet das Wort 'selbstständig'? Kannst du mir helfen?","Was fragt die Person?","Was ein Wort bedeutet.","Wie spät es ist.","Wo der Kurs ist.","Woher der Lehrer kommt.","What does the word 'independent' mean? Can you help me?","Listen for 'Was bedeutet'."
"Ich messe immer meinen Fortschritt. Das ist wichtig für mich.","Was ist wichtig für die Person?","Ihren Fortschritt zu messen.","Die Lieblingsfarbe.","Ein neues Auto.","Der Deutschkurs.","I always measure my progress. That is important to me.","Listen for 'Fortschritt'."
"Wir haben im Kurs alte Bekannte begrüßt.","Wen haben sie begrüßt?","Alte Bekannte.","Neue Studenten.","Den Lehrer.","Den Koch.","We greeted old acquaintances in the course.","Listen for 'alte Bekannte'."
"Bitte schreiben Sie alle persönlichen Informationen auf die Kursliste.","Was sollen sie auf die Kursliste schreiben?","Persönliche Informationen.","Ihre Hobbys.","Ihre Lieblingsfarbe.","Warum sie Deutsch lernen.","Please write all personal information on the course list.","Listen for 'persönlichen Informationen'."
"Ich habe sie in meinem letzten Kurs kennengelernt.","Wo hat er sie kennengelernt?","Im Kurs.","Im Restaurant.","An der Universität.","Auf der Arbeit.","I met her in my last course.","Listen for 'im Kurs'."
"Ich habe das Auto und die Kinder abgeholt.","Was hat er abgeholt?","Das Auto und die Kinder.","Nur das Auto.","Nur die Kinder.","Die Getränke.","I picked up the car and the children.","Listen for multiple items (Auto, Kinder)."
"Er lernt Deutsch, weil er seine Familie in Österreich besucht.","Warum lernt er Deutsch?","Weil er Familie in Österreich besucht.","Weil er dort arbeitet.","Weil er einen Master macht.","Weil es sein Hobby ist.","He is learning German because he is visiting his family in Austria.","Listen to the 'weil' clause."
"Ich habe gestern meine Freunde zu einer Party eingeladen.","Was hat die Person gemacht?","Sie hat Freunde eingeladen.","Sie hat Freunde besucht.","Sie hat eingekauft.","Sie hat gearbeitet.","I invited my friends to a party yesterday.","Listen for 'Freunde eingeladen'."
"Ich habe mir die E-Mail schnell ausgedruckt.","Was hat die Person ausgedruckt?","Die E-Mail.","Den Text.","Das Poster.","Die Kursliste.","I quickly printed out the email for myself.","Listen for 'E-Mail'."
