text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Wir möchten bitte bestellen. Ich nehme die Suppe als Vorspeise und dann das Steak.","Was bestellt die Person als Vorspeise?","Die Suppe.","Das Steak.","Einen Salat.","Das Dessert.","We would like to order please. I'll take the soup as an appetizer and then the steak.","Listen for 'als Vorspeise'."
"Ich hätte gern das Hähnchen mit Reis. Und zum Trinken ein Glas Wasser.","Was möchte die Person trinken?","Ein Glas Wasser.","Einen Saft.","Ein Glas Wein.","Ein Bier.","I would like the chicken with rice. And to drink, a glass of water.","Listen for 'zum Trinken'."
"Hat es Ihnen geschmeckt? Nein, leider war die Suppe sehr versalzen.","Wie war die Suppe?","Sehr versalzen.","Sehr lecker.","Zu süß.","Zu kalt.","Did you enjoy your meal? No, unfortunately the soup was very salty.","Listen for the criticism 'sehr versalzen'."
"Wir möchten bitte zahlen. Zusammen oder getrennt? Getrennt, bitte.","Wie möchten sie zahlen?","Getrennt.","Zusammen.","Mit Karte.","Gar nicht.","We would like to pay please. Together or separately? Separately, please.","Listen for the response 'Getrennt, bitte'."
"Das macht zusammen 26 Euro 50. Hier sind 30 Euro, stimmt so.","Wie viel Trinkgeld gibt er?","3,50 Euro.","4,00 Euro.","2,50 Euro.","1,50 Euro.","That makes 26 euros 50 together. Here are 30 euros, keep the change.","Calculate the difference: 30.00 - 26.50 = 3.50."
"Die Rechnung, bitte! Das macht 42 Euro. Machen Sie 45 Euro.","Wie viel bezahlt der Gast insgesamt?","45 Euro.","42 Euro.","40 Euro.","50 Euro.","The bill, please! That makes 42 euros. Make it 45 euros.","Listen for the final amount 'Machen Sie 45 Euro'."
"In Deutschland gibt man im Restaurant meistens zehn Prozent Trinkgeld.","Wie viel Trinkgeld ist in Deutschland normal?","Zehn Prozent.","Fünf Prozent.","Fünfzehn Prozent.","Gar kein Trinkgeld.","In Germany, one usually gives a ten percent tip in a restaurant.","Listen for the percentage 'zehn Prozent'."
"Bitte werfen Sie das Glas nicht in den Restmüll! Es gibt einen Altglascontainer.","Wohin soll das Glas?","In den Altglascontainer.","In den Restmüll.","In die Papiertonne.","In den gelben Sack.","Please do not throw the glass in the residual waste! There is a glass recycling bin.","Listen for 'Altglascontainer'."
"Das Papier kommt in die blaue Tonne und das Plastik in den gelben Sack.","Wohin kommt das Plastik?","In den gelben Sack.","In die blaue Tonne.","In den Restmüll.","In den Glascontainer.","The paper goes in the blue bin and the plastic in the yellow bag.","Listen for 'Plastik in den gelben Sack'."
"Was hast du eigentlich immer im Kühlschrank? Ich habe immer Milch und Eier da.","Was hat die Person immer im Kühlschrank?","Milch und Eier.","Brot und Käse.","Gemüse und Obst.","Fleisch und Wurst.","What do you actually always have in the fridge? I always have milk and eggs there.","Listen for the foods mentioned 'Milch und Eier'."
