test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich null den Apfel auf den Tisch. (lay)","lege","legen","lay / put horizontally","I lay the apple on the table.","Wohin? -> Akkusativ. Action verb: legen."
"Der Apfel null auf dem Tisch. (lies)","liegt","liegen","lies / is situated horizontally","The apple is lying on the table.","Wo? -> Dativ. Position verb: liegen."
"Wir null die Flasche in den Kühlschrank. (put/stand)","stellen","stellen","put / stand vertically","We put the bottle in the fridge.","Wohin? -> Akkusativ. Action verb: stellen."
"Die Flasche null im Kühlschrank. (stands)","steht","stehen","stands / is situated vertically","The bottle stands in the fridge.","Wo? -> Dativ. Position verb: stehen."
"Er null das Bild an die Wand. (hangs - action)","hängt","hängen","hangs (action)","He hangs the picture on the wall.","Wohin? -> Akkusativ. Action verb: hängen."
"Das Bild null an der Wand. (hangs - state)","hängt","hängen","hangs (state)","The picture hangs on the wall.","Wo? -> Dativ. Position verb: hängen."
"Ich null die Tomaten in den Korb. (lay)","lege","legen","lay","I put the tomatoes in the basket.","Wohin? -> Akkusativ. Action verb: legen."
"Die Tomaten null im Korb. (lie)","liegen","liegen","lie","The tomatoes lie in the basket.","Wo? -> Dativ. Position verb: liegen."
"null das Glas bitte auf den Tisch! (put/stand)","Stell","stellen","put/stand","Put the glass on the table please!","Wohin? -> Akkusativ. Action verb: stellen (Imperativ)."
"Das Glas null schon auf dem Tisch. (stands)","steht","stehen","stands","The glass already stands on the table.","Wo? -> Dativ. Position verb: stehen."
"Sie null die Jacke in den Schrank. (hangs - action)","hängt","hängen","hangs","She hangs the jacket in the closet.","Wohin? -> Akkusativ. Action verb: hängen."
"Die Jacke null im Schrank. (hangs - state)","hängt","hängen","hangs","The jacket is hanging in the closet.","Wo? -> Dativ. Position verb: hängen."
"Ich null die Einkaufsliste auf den Küchentisch. (lay)","lege","legen","lay","I lay the shopping list on the kitchen table.","Wohin? -> Akkusativ. Action verb: legen."
"Die Einkaufsliste null auf dem Küchentisch. (lies)","liegt","liegen","lies","The shopping list is lying on the kitchen table.","Wo? -> Dativ. Position verb: liegen."
"Wir null den Müll in die Tonne. (put/stand)","stellen","stellen","put/stand","We put the trash in the bin.","Wohin? -> Akkusativ. Action verb: stellen."
"Der Müll null in der Tonne. (stands)","steht","stehen","stands","The trash stands in the bin.","Wo? -> Dativ. Position verb: stehen."
