sentence,words,tip,translation_en
"Wir müssen die Umwelt schützen.","Wir|müssen|die|Umwelt|schützen|.","Vocabulary Umwelt","We must protect the environment."
"Ich interessiere mich sehr für Streetart.","Ich|interessiere|mich|sehr|für|Streetart|.","sich interessieren für + Akk","I am very interested in street art."
"Worauf freust du dich?","Worauf|freust|du|dich|?","W-Frage (Sachen)","What are you looking forward to?"
"Ich freue mich auf den Urlaub mit dem Rucksack.","Ich|freue|mich|auf|den|Urlaub|mit|dem|Rucksack|.","sich freuen auf + Akk","I am looking forward to the vacation with the backpack."
"Worüber ärgerst du dich?","Worüber|ärgerst|du|dich|?","W-Frage (Sachen)","What are you angry about?"
"Ich ärgere mich über die Verspätung.","Ich|ärgere|mich|über|die|Verspätung|.","sich ärgern über + Akk","I am angry about the delay."
"An wen erinnerst du dich?","An|wen|erinnerst|du|dich|?","W-Frage (Personen)","Who do you remember?"
"Ich erinnere mich an diesen Künstler.","Ich|erinnere|mich|an|diesen|Künstler|.","sich erinnern an + Akk","I remember this artist."
"Kümmerst du dich um die Tickets fürs Kino?","Kümmerst|du|dich|um|die|Tickets|fürs|Kino|?","sich kümmern um + Akk","Are you taking care of the tickets for the cinema?"
"Wir treffen uns um 20 Uhr vor dem Kino.","Wir|treffen|uns|um|20|Uhr|vor|dem|Kino|.","sich treffen","We are meeting at 8 PM in front of the cinema."
"Wie fühlst du dich heute?","Wie|fühlst|du|dich|heute|?","sich fühlen","How do you feel today?"
"Ich fühle mich heute total entspannt.","Ich|fühle|mich|heute|total|entspannt|.","Feelings","I feel totally relaxed today."
"Bist du sauer auf mich?","Bist|du|sauer|auf|mich|?","sauer sein auf + Akk","Are you mad at me?"
"Nein, ich bin nicht wütend, nur ein bisschen traurig.","Nein|,|ich|bin|nicht|wütend|,|nur|ein|bisschen|traurig|.","Feelings","No, I am not angry, just a little sad."
"Der Film war eine Komödie und sehr lustig.","Der|Film|war|eine|Komödie|und|sehr|lustig|.","Movie vocabulary","The movie was a comedy and very funny."
"Wer ist der Regisseur von deinem Lieblingsfilm?","Wer|ist|der|Regisseur|von|deinem|Lieblingsfilm|?","Movie vocabulary","Who is the director of your favorite movie?"
"Die Schauspielerin auf der Bühne war fantastisch.","Die|Schauspielerin|auf|der|Bühne|war|fantastisch|.","Theater/Stage vocab","The actress on the stage was fantastic."
"Das Publikum hat am Ende laut geklatscht.","Das|Publikum|hat|am|Ende|laut|geklatscht|.","Poetry/Stage vocab","The audience clapped loudly at the end."
"Ich schreibe gerne Gedichte für den Poetry Slam.","Ich|schreibe|gerne|Gedichte|für|den|Poetry|Slam|.","Poetry Slam","I like writing poems for the poetry slam."
