text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Als ich ein Kind war, war mein größter Traum, Pilot zu werden. Ich liebte Flugzeuge.","Was wollte die Person als Kind werden?","Pilot.","Astronaut.","Tierarzt.","Feuerwehrmann.","When I was a child, my biggest dream was to become a pilot. I loved airplanes.","Listen for the career aspiration 'Pilot'."
"Mein Berufswunsch war immer Tierärztin. Ich habe Tiere schon als Kind geliebt.","Welchen Berufswunsch hatte sie?","Tierärztin.","Lehrerin.","Chefin.","Pilotin.","My career aspiration was always a veterinarian. I loved animals even as a child.","Listen for 'Tierärztin'."
"In der Schule war ich richtig gut in Mathe, aber Physik habe ich gehasst!","In welchem Fach war die Person gut?","In Mathe.","In Physik.","In Chemie.","In Deutsch.","In school I was really good in math, but I hated physics!","Listen for 'richtig gut in Mathe'."
"Geografie war mein absolutes Lieblingsfach. Ich fand andere Länder immer spannend.","Was war das Lieblingsfach der Person?","Geografie.","Biologie.","Kunst.","Englisch.","Geography was my absolute favorite subject. I always found other countries exciting.","Listen for 'Geografie'."
"Ich konnte die englische Grammatik nie verstehen, deshalb hatte ich schlechte Noten.","Warum hatte die Person schlechte Noten in Englisch?","Sie konnte die Grammatik nicht verstehen.","Der Lehrer war streng.","Sie war nie in der Schule.","Sie mochte die Sprache nicht.","I could never understand English grammar, therefore I had bad grades.","Listen for 'konnte die englische Grammatik nie verstehen'."
"Meine Kunstlehrerin, Frau Schmidt, war meine Lieblingslehrerin. Sie war so kreativ.","Wer war die Lieblingslehrerin?","Die Kunstlehrerin.","Die Mathelehrerin.","Die Sportlehrerin.","Die Biologielehrerin.","My art teacher, Mrs. Schmidt, was my favorite teacher. She was so creative.","Listen for the subject associated with the teacher: 'Kunst'."
"Für meinen Traumjob sind mir ein gutes Gehalt und flexible Arbeitszeiten sehr wichtig.","Was ist der Person im Job wichtig?","Gutes Gehalt und flexible Arbeitszeiten.","Ein strenger Chef.","Ein großes Büro.","Teamarbeit und feste Zeiten.","For my dream job, a good salary and flexible working hours are very important to me.","Listen for 'Gehalt' and 'flexible Arbeitszeiten'."
"Ich arbeite am liebsten im Team. Alleine am Computer zu sitzen, finde ich langweilig.","Wie arbeitet die Person am liebsten?","Im Team.","Alleine am Computer.","Selbstständig.","Gar nicht.","I prefer working in a team the most. I find sitting alone at the computer boring.","Listen for 'am liebsten im Team'."
"Die Ausbildung dauert drei Jahre. Danach bist du ein fertiger Kaufmann.","Wie lange dauert die Ausbildung?","Drei Jahre.","Zwei Jahre.","Ein Jahr.","Vier Jahre.","The apprenticeship lasts three years. After that you are a qualified merchant.","Listen for the time period 'drei Jahre'."
"Gestern habe ich eine interessante Stellenanzeige in der Zeitung gelesen.","Wo hat die Person die Stellenanzeige gefunden?","In der Zeitung.","Im Internet.","Im Fernsehen.","Auf der Straße.","Yesterday I read an interesting job advertisement in the newspaper.","Listen for 'in der Zeitung'."
"Sie müssen Ihr Bewerbungsschreiben und Ihren Lebenslauf per E-Mail schicken.","Was muss per E-Mail geschickt werden?","Bewerbungsschreiben und Lebenslauf.","Nur der Lebenslauf.","Ein Foto und das Zeugnis.","Ein Brief an den Chef.","You must send your cover letter and your CV by email.","Listen for the two documents 'Bewerbungsschreiben und ... Lebenslauf'."
"Morgen habe ich endlich das Interview bei der neuen Firma. Ich bin schon nervös.","Was hat die Person morgen?","Ein Interview bei der neuen Firma.","Eine Prüfung in Mathe.","Einen Termin beim Arzt.","Eine Präsentation.","Tomorrow I finally have the interview at the new company. I am already nervous.","Listen for the event 'Interview'."
"Ich bewerbe mich um die offene Stelle als Feuerwehrmann. Das war schon immer mein Traum.","Um welche Stelle bewirbt sich die Person?","Als Feuerwehrmann.","Als Pilot.","Als Tierarzt.","Als Chef.","I am applying for the open position as a firefighter. That has always been my dream.","Listen for the profession 'Feuerwehrmann'."
