text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Damals in Berlin war alles anders. Ich wohnte in einer kleinen Wohnung.","Wo wohnte die Person damals?","In einer kleinen Wohnung in Berlin.","In einem großen Haus.","Bei ihren Eltern.","In einer WG in München.","Back then in Berlin, everything was different. I lived in a small apartment.","Listen for the location and type of housing in the past."
"Meine Eltern lernten sich 1990 an der Universität kennen.","Wo lernten sich die Eltern kennen?","An der Universität.","Auf einer Party.","Im Internet.","Im Urlaub.","My parents met in 1990 at the university.","Listen for the location 'an der Universität'."
"Wir sprachen die ganze Nacht über Musik und Filme.","Worüber sprachen sie?","Über Musik und Filme.","Über die Arbeit.","Über das Wetter.","Über die Familie.","We spoke the whole night about music and films.","Listen for the topics 'Musik und Filme'."
"Gestern ging ich ins Kino und sah einen tollen romantischen Film.","Was machte die Person gestern?","Sie ging ins Kino.","Sie lernte Deutsch.","Sie traf Freunde.","Sie war im Restaurant.","Yesterday I went to the cinema and saw a great romantic film.","Listen for 'ging ins Kino'."
"Wir hatten früher keinen Hund, sondern eine Katze.","Welches Haustier hatten sie früher?","Eine Katze.","Einen Hund.","Einen Vogel.","Gar kein Haustier.","We didn't have a dog in the past, but a cat.","Listen for the contrast 'keinen Hund, sondern eine Katze'."
"Ich arbeitete drei Jahre in Spanien als Kellner.","Wie lange arbeitete er in Spanien?","Drei Jahre.","Ein Jahr.","Zwei Monate.","Drei Monate.","I worked in Spain for three years as a waiter.","Listen for the time period 'drei Jahre'."
"Wir trafen uns zufällig in der Stadt und tranken Kaffee.","Was machten sie in der Stadt?","Sie trafen sich und tranken Kaffee.","Sie kauften ein.","Sie stritten sich.","Sie gingen ins Kino.","We met by chance in the city and drank coffee.","Listen for the actions 'trafen uns' and 'tranken Kaffee'."
"Meine Schwester und ich streiten uns oft, aber wir lieben uns.","Wie ist das Verhältnis der Geschwister?","Sie streiten sich oft, lieben sich aber.","Sie streiten sich nie.","Sie hassen sich.","Sie verstehen sich blind.","My sister and I argue often, but we love each other.","Listen for 'streiten uns oft, aber wir lieben uns'."
"Er kam gestern viel zu spät. Das war sehr unpünktlich!","Warum war die Person genervt?","Weil er zu spät / unpünktlich war.","Weil er unhöflich war.","Weil er nicht kam.","Weil er krank war.","He came much too late yesterday. That was very unpunctual!","Listen for the adjective 'unpünktlich'."
"Hast du Geschwister? Ja, ich habe zwei Brüder und eine Schwester.","Wie viele Geschwister hat die Person?","Zwei Brüder und eine Schwester (drei).","Einen Bruder.","Keine Geschwister.","Zwei Schwestern.","Do you have siblings? Yes, I have two brothers and one sister.","Listen for 'zwei Brüder und eine Schwester'."
"Meine Großeltern leben in einem kleinen Dorf in der Schweiz.","Wo leben die Großeltern?","In einem kleinen Dorf in der Schweiz.","In Berlin.","In einer Großstadt.","In Österreich.","My grandparents live in a small village in Switzerland.","Listen for 'Dorf in der Schweiz'."
"Mein Onkel Klaus ist der Bruder von meinem Vater.","Wer ist Klaus?","Der Bruder vom Vater (Onkel).","Der Bruder der Mutter.","Der Großvater.","Der Cousin.","My uncle Klaus is my father's brother.","Listen for the family relationship."
"Ich komme sehr gut mit meiner Schwiegermutter aus. Sie ist total sympathisch.","Wie findet die Person ihre Schwiegermutter?","Sehr gut und sympathisch.","Unsympathisch.","Zu streng.","Unfreundlich.","I get along very well with my mother-in-law. She is totally nice.","Listen for 'sympathisch'."
"Wir sind eine Patchworkfamilie. Mein Mann hat zwei Kinder aus erster Ehe.","Was für eine Familie sind sie?","Eine Patchworkfamilie.","Eine traditionelle Familie.","Sie haben keine Kinder.","Ein Single-Haushalt.","We are a blended family. My husband has two children from his first marriage.","Listen for 'Patchworkfamilie'."
"Die beiden heirateten im Sommer und waren sehr glücklich.","Wann heirateten sie?","Im Sommer.","Im Winter.","Letztes Jahr.","Sie sind nicht verheiratet.","The two married in the summer and were very happy.","Listen for 'im Sommer'."
"Leider trennten sie sich nach drei Jahren Ehe.","Wann trennten sie sich?","Nach drei Jahren.","Nach einem Jahr.","Gar nicht.","Nach zehn Jahren.","Unfortunately they separated after three years of marriage.","Listen for 'nach drei Jahren'."
"Mein Neffe, der Sohn meiner Schwester, ist gestern acht geworden.","Wer ist acht Jahre alt geworden?","Der Neffe (Sohn der Schwester).","Der Bruder.","Der Sohn.","Die Nichte.","My nephew, my sister's son, turned eight yesterday.","Listen for the definition 'Sohn meiner Schwester'."
