sentence,words,tip,translation_en
"Welche Kleidung tragen Sie heute?","Welche|Kleidung|tragen|Sie|heute|?","Question article 'welche'","What clothes are you wearing today?"
"Ich trage heute eine Hose und eine Bluse.","Ich|trage|heute|eine|Hose|und|eine|Bluse|.","Clothing vocabulary","I am wearing pants and a blouse today."
"Kann ich Ihnen helfen?","Kann|ich|Ihnen|helfen|?","Standard boutique phrase","Can I help you?"
"Ja, können Sie mir bitte die Hosen zeigen?","Ja|,|können|Sie|mir|bitte|die|Hosen|zeigen|?","Shopping request","Yes, can you please show me the pants?"
"Ja, gerne. Welche Größe brauchen Sie?","Ja|,|gerne|.|Welche|Größe|brauchen|Sie|?","Asking for size","Yes, gladly. What size do you need?"
"Die Jacke sieht gut aus.","Die|Jacke|sieht|gut|aus|.","aussehen (separable)","The jacket looks good."
"Du, das T-Shirt hier gefällt mir gut.","Du|,|das|T-Shirt|hier|gefällt|mir|gut|.","gefallen + Dative","Hey, I like this t-shirt here a lot."
"Ja, aber es passt mir bestimmt nicht!","Ja|,|aber|es|passt|mir|bestimmt|nicht|!","passen + Dative","Yes, but it definitely won't fit me!"
"Sieh mal, es ist viel zu klein.","Sieh|mal|,|es|ist|viel|zu|klein|.","Describing fit","Look, it is much too small."
"Wow, der Mantel steht dir richtig gut.","Wow|,|der|Mantel|steht|dir|richtig|gut|.","stehen + Dative (clothing)","Wow, the coat looks really good on you."
"Ja, aber er ist zu eng.","Ja|,|aber|er|ist|zu|eng|.","Adjective eng","Yes, but it is too tight."
"Was tragen Sie am liebsten?","Was|tragen|Sie|am|liebsten|?","Superlative am liebsten","What do you like to wear the most?"
"Ich trage gerne Jeans und T-Shirts.","Ich|trage|gerne|Jeans|und|T-Shirts|.","Adverb gerne","I like wearing jeans and t-shirts."
"Am liebsten trage ich Röcke.","Am|liebsten|trage|ich|Röcke|.","Superlative am liebsten","I prefer wearing skirts the most."
"Meine Haare sind lang und blond.","Meine|Haare|sind|lang|und|blond|.","Describing hair","My hair is long and blonde."
